nFaction	nSex	sz1	sz2	sz3	sz4
1		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
2		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
3		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
4		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
5		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
6		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
7		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
8		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
9		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
10		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
11		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
12		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
13		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
14		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
15		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
16		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
17		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
18		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
19		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
20		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
21		9527;9528;9529	9512;9513;9514	9515;9516;9517;9518	9519;9520;9521;9522;9523
