Index	NpcName	TitleID	NpcTemplateId	HideTaskId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	
enemy1	飞龙堡弟子		1245				30	2505	7056		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	2258	6752		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	2517	6437		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	2849	6701		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	2849	7343		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	2838	6166		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	3097	7090		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	3097	6448		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	3333	6741		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	3170	7670		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	3502	7270		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	3744	6718		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	3671	6279		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	3344	5930		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	2235	6149		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	1968	4005		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	3378	3996		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	2281	3438		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	3123	3457		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	2007	2948		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	2732	2939		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	2232	2332		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	3084	2410		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	3407	2988		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	2683	2019		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	3724	7608		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	4239	6041		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	2378	4084		-1	0	0	0	0	0	0	0	0	0	0	0	0
enemy1	飞龙堡弟子		1245				30	2942	4067		-1	0	0	0	0	0	0	0	0	0	0	0	0
