Info	Room	RoomLevel	Rate	MapId
1_1	a_1	1	100	201
1_2	a_2	1	100	202
1_3	a_3	1	100	203
1_4	a_4	1	100	204
1_5	a_5	1	100	205
1_6	a_6	1	100	206
1_7	a_7	1	100	207
1_8	a_8	1	100	208
1_9	a_9	1	100	209
1_10	a_10	1	100	210
2_1	b_1	2	100	211
2_2	b_2	2	100	212
2_3	b_3	2	100	213
2_4	b_4	2	100	214
2_5	b_5	2	100	215
2_6	b_6	2	100	216
2_7	b_7	2	100	217
2_8	b_8	2	100	218
2_9	b_9	2	100	219
2_10	b_10	2	100	220
3_1	c_1	3	100	221
3_2	c_2	3	100	222
3_3	c_3	3	100	223
3_4	c_4	3	100	224
3_5	c_5	3	100	225
3_6	c_6	3	100	226
3_7	c_7	3	100	227
3_8	c_8	3	100	228
3_9	c_9	3	100	229
3_10	c_10	3	100	230
4_1	d_1	4	100	231
4_2	d_2	4	100	232
4_3	d_3	4	100	233
4_4	d_4	4	100	234
4_5	d_5	4	100	235
4_6	d_6	4	100	236
4_7	d_7	4	100	237
4_8	d_8	4	100	238
4_9	d_9	4	100	239
4_10	d_10	4	100	240
5_1	e_1	5	100	241
5_2	e_2	5	100	252
5_3	e_3	5	100	243
5_4	e_4	5	100	244
5_5	e_5	5	100	245
5_6	e_6	5	100	246
5_7	e_7	5	100	247
5_8	e_8	5	100	248
5_9	e_9	5	100	249
5_10	e_10	5	100	250
6_1	f_1	6	100	251
6_2	f_2	6	100	252
6_3	f_3	6	100	253
6_4	f_4	6	100	254
6_5	f_5	6	100	255
6_6	f_6	6	100	256
6_7	f_7	6	100	257
6_8	f_8	6	100	258
6_9	f_9	6	100	259
6_10	f_10	6	100	260
7_1	g_1	7	100	261
7_2	g_2	7	100	262
7_3	g_3	7	100	263
7_4	g_4	7	100	264
7_5	g_5	7	100	265
7_6	g_6	7	100	266
7_7	g_7	7	100	267
7_8	g_8	7	100	268
7_9	g_9	7	100	269
7_10	g_10	7	100	270
