Index	NpcName	TitleID	NpcTemplateId	HideTaskId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme
nalanzhen	纳兰真		1101		100		99	4984	5807	32	-1	0	0		0	0	0	0	0	0	0	0
muzhuang_jin	天机制式傀儡-金		1374				20	5825	7584	43	-1	0	0		1	0	0	0	0	0	0	0
muzhuang_jin	天机制式傀儡-金		1374				20	5663	7473	43	-1	0	0		1	0	0	0	0	0	0	0
muzhuang_jin	天机制式傀儡-金		1374				20	5650	7278	43	-1	0	0		1	0	0	0	0	0	0	0
muzhuang_jin	天机制式傀儡-金		1374				20	6016	7462	43	-1	0	0		1	0	0	0	0	0	0	0
muzhuang_jin	天机制式傀儡-金		1374				20	6032	7245	43	-1	0	0		1	0	0	0	0	0	0	0
muzhuang_jin	天机制式傀儡-金		1374				20	5823	7363	43	-1	0	0		1	0	0	0	0	0	0	0
muzhuang_jin	天机制式傀儡-金		1374				20	5821	7148	43	-1	0	0		1	0	0	0	0	0	0	0
muzhuang_mu	天机制式傀儡-木		1375				20	8256	7551	43	-1	0	0		2	0	0	0	0	0	0	0
muzhuang_mu	天机制式傀儡-木		1375				20	8035	7409	43	-1	0	0		2	0	0	0	0	0	0	0
muzhuang_mu	天机制式傀儡-木		1375				20	8033	7150	43	-1	0	0		2	0	0	0	0	0	0	0
muzhuang_mu	天机制式傀儡-木		1375				20	8501	7442	43	-1	0	0		2	0	0	0	0	0	0	0
muzhuang_mu	天机制式傀儡-木		1375				20	8473	7160	43	-1	0	0		2	0	0	0	0	0	0	0
muzhuang_mu	天机制式傀儡-木		1375				20	8256	7318	43	-1	0	0		2	0	0	0	0	0	0	0
muzhuang_mu	天机制式傀儡-木		1375				20	8261	6994	43	-1	0	0		2	0	0	0	0	0	0	0
muzhuang_shui	天机制式傀儡-水		1376				20	5845	4299	43	-1	0	0		3	0	0	0	0	0	0	0
muzhuang_shui	天机制式傀儡-水		1376				20	5654	4173	43	-1	0	0		3	0	0	0	0	0	0	0
muzhuang_shui	天机制式傀儡-水		1376				20	5666	4416	43	-1	0	0		3	0	0	0	0	0	0	0
muzhuang_shui	天机制式傀儡-水		1376				20	5845	4610	43	-1	0	0		3	0	0	0	0	0	0	0
muzhuang_shui	天机制式傀儡-水		1376				20	6051	4233	43	-1	0	0		3	0	0	0	0	0	0	0
muzhuang_shui	天机制式傀儡-水		1376				20	5877	4045	43	-1	0	0		3	0	0	0	0	0	0	0
muzhuang_shui	天机制式傀儡-水		1376				20	6017	4452	43	-1	0	0		3	0	0	0	0	0	0	0
muzhuang_huo	天机制式傀儡-火		1377				20	7044	6106	43	-1	0	0		4	0	0	0	0	0	0	0
muzhuang_huo	天机制式傀儡-火		1377				20	6775	5934	43	-1	0	0		4	0	0	0	0	0	0	0
muzhuang_huo	天机制式傀儡-火		1377				20	6767	5655	43	-1	0	0		4	0	0	0	0	0	0	0
muzhuang_huo	天机制式傀儡-火		1377				20	7039	5407	43	-1	0	0		4	0	0	0	0	0	0	0
muzhuang_huo	天机制式傀儡-火		1377				20	7054	5774	43	-1	0	0		4	0	0	0	0	0	0	0
muzhuang_huo	天机制式傀儡-火		1377				20	7289	5630	43	-1	0	0		4	0	0	0	0	0	0	0
muzhuang_huo	天机制式傀儡-火		1377				20	7309	5973	43	-1	0	0		4	0	0	0	0	0	0	0
muzhuang_tu	天机制式傀儡-土		1378				20	8305	4281	43	-1	0	0		5	0	0	0	0	0	0	0
muzhuang_tu	天机制式傀儡-土		1378				20	8061	4124	43	-1	0	0		5	0	0	0	0	0	0	0
muzhuang_tu	天机制式傀儡-土		1378				20	8579	4124	43	-1	0	0		5	0	0	0	0	0	0	0
muzhuang_tu	天机制式傀儡-土		1378				20	8052	3875	43	-1	0	0		5	0	0	0	0	0	0	0
muzhuang_tu	天机制式傀儡-土		1378				20	8605	3864	43	-1	0	0		5	0	0	0	0	0	0	0
muzhuang_tu	天机制式傀儡-土		1378				20	8319	3763	43	-1	0	0		5	0	0	0	0	0	0	0
muzhuang_tu	天机制式傀儡-土		1378				20	8330	4026	43	-1	0	0		5	0	0	0	0	0	0	0
dashixiong	杨铁心	50	1533				20	2871	6308	32	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	玄慈	51	2668				20	2687	6343	35	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	叶青阳	52	2674				20	3149	6139	32	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	柳潇庭	53	1534				20	2350	6246	29	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	唐晓	54	2670				20	2228	6124	22	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	古嫣然	55	2673				20	2114	5985	23	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	林青羽	66	2973				20	2524	6315	20	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	段智兴	68	3454				20	2047	5828	17	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	无想	56	1535				20	2023	5658	14	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	尹筱雨	57	2669				20	2041	5502	9	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	惊雪	58	2676				20	2107	5349	10	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	李恬儿	59	1536				20	2228	5189	6	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	完颜襄	60	1538				20	2360	5067	7	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	何人我	61	2672				20	2524	5015	4	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	李天目	62	1537				20	3151	5195	59	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	宋秋石	63	2671				20	2885	5015	0	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	冰仪	64	2675				20	3028	5096	59	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	王云潇	65	2925				20	3033	6233	38	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	风行周	67	3317				20	2697	4994	1	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	张承素	69	3747				20	3248	5297	8	-1	0	0		0	0	0	0	0	0	0	0
dashixiong	杨荩忱	70	3827				20	3265	6030	30	-1	0	0		0	0	0	0	0	0	0	0
