TeamKey	DefaultTeamId	TeamId1	TeamId2	TeamId3	TeamId4	TeamId5	TeamId6	TeamId7	TeamId8	TeamId9	TeamId10	TeamId11	TeamId12	TeamId13	TeamId14	TeamId15	TeamId16	TeamId17
1	225	OpenLevel39|225	OpenLevel49|275	OpenLevel59|325	OpenLevel69|375	OpenLevel79|425	OpenLevel89|475	OpenLevel99|525	OpenLevel109|575	OpenLevel119|625	OpenLevel129|675	OpenLevel139|725	OpenLevel149|775	OpenLevel159|825	OpenLevel169|875	OpenLevel179|876	OpenLevel189|926	OpenLevel199|980
2	224	OpenLevel39|224	OpenLevel49|274	OpenLevel59|324	OpenLevel69|374	OpenLevel79|424	OpenLevel89|474	OpenLevel99|524	OpenLevel109|574	OpenLevel119|624	OpenLevel129|674	OpenLevel139|724	OpenLevel149|774	OpenLevel159|824	OpenLevel169|874	OpenLevel179|875	OpenLevel189|925	OpenLevel199|979
3	223	OpenLevel39|223	OpenLevel49|273	OpenLevel59|323	OpenLevel69|373	OpenLevel79|423	OpenLevel89|473	OpenLevel99|523	OpenLevel109|573	OpenLevel119|623	OpenLevel129|673	OpenLevel139|723	OpenLevel149|773	OpenLevel159|823	OpenLevel169|873	OpenLevel179|874	OpenLevel189|924	OpenLevel199|978
4	222	OpenLevel39|222	OpenLevel49|272	OpenLevel59|322	OpenLevel69|372	OpenLevel79|422	OpenLevel89|472	OpenLevel99|522	OpenLevel109|572	OpenLevel119|622	OpenLevel129|672	OpenLevel139|722	OpenLevel149|772	OpenLevel159|822	OpenLevel169|872	OpenLevel179|873	OpenLevel189|923	OpenLevel199|977
5	221	OpenLevel39|221	OpenLevel49|271	OpenLevel59|321	OpenLevel69|371	OpenLevel79|421	OpenLevel89|471	OpenLevel99|521	OpenLevel109|571	OpenLevel119|621	OpenLevel129|671	OpenLevel139|721	OpenLevel149|771	OpenLevel159|821	OpenLevel169|871	OpenLevel179|872	OpenLevel189|922	OpenLevel199|976
6	220	OpenLevel39|220	OpenLevel49|270	OpenLevel59|320	OpenLevel69|370	OpenLevel79|420	OpenLevel89|470	OpenLevel99|520	OpenLevel109|570	OpenLevel119|620	OpenLevel129|670	OpenLevel139|720	OpenLevel149|770	OpenLevel159|820	OpenLevel169|870	OpenLevel179|871	OpenLevel189|921	OpenLevel199|975
7	219	OpenLevel39|219	OpenLevel49|269	OpenLevel59|319	OpenLevel69|369	OpenLevel79|419	OpenLevel89|469	OpenLevel99|519	OpenLevel109|569	OpenLevel119|619	OpenLevel129|669	OpenLevel139|719	OpenLevel149|769	OpenLevel159|819	OpenLevel169|869	OpenLevel179|870	OpenLevel189|920	OpenLevel199|974
8	218	OpenLevel39|218	OpenLevel49|268	OpenLevel59|318	OpenLevel69|368	OpenLevel79|418	OpenLevel89|468	OpenLevel99|518	OpenLevel109|568	OpenLevel119|618	OpenLevel129|668	OpenLevel139|718	OpenLevel149|768	OpenLevel159|818	OpenLevel169|868	OpenLevel179|869	OpenLevel189|919	OpenLevel199|973
9	217	OpenLevel39|217	OpenLevel49|267	OpenLevel59|317	OpenLevel69|367	OpenLevel79|417	OpenLevel89|467	OpenLevel99|517	OpenLevel109|567	OpenLevel119|617	OpenLevel129|667	OpenLevel139|717	OpenLevel149|767	OpenLevel159|817	OpenLevel169|867	OpenLevel179|868	OpenLevel189|918	OpenLevel199|972
10	216	OpenLevel39|216	OpenLevel49|266	OpenLevel59|316	OpenLevel69|366	OpenLevel79|416	OpenLevel89|466	OpenLevel99|516	OpenLevel109|566	OpenLevel119|616	OpenLevel129|666	OpenLevel139|716	OpenLevel149|766	OpenLevel159|816	OpenLevel169|866	OpenLevel179|867	OpenLevel189|917	OpenLevel199|971
11	215	OpenLevel39|214	OpenLevel49|265	OpenLevel59|315	OpenLevel69|365	OpenLevel79|415	OpenLevel89|465	OpenLevel99|515	OpenLevel109|565	OpenLevel119|615	OpenLevel129|665	OpenLevel139|715	OpenLevel149|765	OpenLevel159|815	OpenLevel169|865	OpenLevel179|866	OpenLevel189|916	OpenLevel199|970
12	214	OpenLevel39|212	OpenLevel49|264	OpenLevel59|314	OpenLevel69|364	OpenLevel79|414	OpenLevel89|464	OpenLevel99|514	OpenLevel109|564	OpenLevel119|614	OpenLevel129|664	OpenLevel139|714	OpenLevel149|764	OpenLevel159|814	OpenLevel169|864	OpenLevel179|865	OpenLevel189|915	OpenLevel199|969
13	213	OpenLevel39|210	OpenLevel49|263	OpenLevel59|313	OpenLevel69|363	OpenLevel79|413	OpenLevel89|463	OpenLevel99|513	OpenLevel109|563	OpenLevel119|613	OpenLevel129|663	OpenLevel139|713	OpenLevel149|763	OpenLevel159|813	OpenLevel169|863	OpenLevel179|864	OpenLevel189|914	OpenLevel199|968
14	212	OpenLevel39|208	OpenLevel49|262	OpenLevel59|312	OpenLevel69|362	OpenLevel79|412	OpenLevel89|462	OpenLevel99|512	OpenLevel109|562	OpenLevel119|612	OpenLevel129|662	OpenLevel139|712	OpenLevel149|762	OpenLevel159|812	OpenLevel169|862	OpenLevel179|863	OpenLevel189|913	OpenLevel199|967
15	211	OpenLevel39|206	OpenLevel49|261	OpenLevel59|311	OpenLevel69|361	OpenLevel79|411	OpenLevel89|461	OpenLevel99|511	OpenLevel109|561	OpenLevel119|611	OpenLevel129|661	OpenLevel139|711	OpenLevel149|761	OpenLevel159|811	OpenLevel169|861	OpenLevel179|862	OpenLevel189|912	OpenLevel199|966
16	210	OpenLevel39|204	OpenLevel49|260	OpenLevel59|310	OpenLevel69|360	OpenLevel79|410	OpenLevel89|460	OpenLevel99|510	OpenLevel109|560	OpenLevel119|610	OpenLevel129|660	OpenLevel139|710	OpenLevel149|760	OpenLevel159|810	OpenLevel169|860	OpenLevel179|861	OpenLevel189|911	OpenLevel199|965
17	209	OpenLevel39|202	OpenLevel49|259	OpenLevel59|309	OpenLevel69|359	OpenLevel79|409	OpenLevel89|459	OpenLevel99|509	OpenLevel109|559	OpenLevel119|609	OpenLevel129|659	OpenLevel139|709	OpenLevel149|759	OpenLevel159|809	OpenLevel169|859	OpenLevel179|860	OpenLevel189|910	OpenLevel199|964
18	208	OpenLevel39|200	OpenLevel49|258	OpenLevel59|308	OpenLevel69|358	OpenLevel79|408	OpenLevel89|458	OpenLevel99|508	OpenLevel109|558	OpenLevel119|608	OpenLevel129|658	OpenLevel139|708	OpenLevel149|758	OpenLevel159|808	OpenLevel169|858	OpenLevel179|859	OpenLevel189|909	OpenLevel199|963
19	207	OpenLevel39|198	OpenLevel49|257	OpenLevel59|307	OpenLevel69|357	OpenLevel79|407	OpenLevel89|457	OpenLevel99|507	OpenLevel109|557	OpenLevel119|607	OpenLevel129|657	OpenLevel139|707	OpenLevel149|757	OpenLevel159|807	OpenLevel169|857	OpenLevel179|858	OpenLevel189|908	OpenLevel199|962
20	206	OpenLevel39|196	OpenLevel49|256	OpenLevel59|306	OpenLevel69|356	OpenLevel79|406	OpenLevel89|456	OpenLevel99|506	OpenLevel109|556	OpenLevel119|606	OpenLevel129|656	OpenLevel139|706	OpenLevel149|756	OpenLevel159|806	OpenLevel169|856	OpenLevel179|857	OpenLevel189|907	OpenLevel199|961
21	205	OpenLevel39|194	OpenLevel49|255	OpenLevel59|305	OpenLevel69|355	OpenLevel79|405	OpenLevel89|455	OpenLevel99|505	OpenLevel109|555	OpenLevel119|605	OpenLevel129|655	OpenLevel139|705	OpenLevel149|755	OpenLevel159|805	OpenLevel169|855	OpenLevel179|856	OpenLevel189|906	OpenLevel199|960
22	204	OpenLevel39|192	OpenLevel49|254	OpenLevel59|304	OpenLevel69|354	OpenLevel79|404	OpenLevel89|454	OpenLevel99|504	OpenLevel109|554	OpenLevel119|604	OpenLevel129|654	OpenLevel139|704	OpenLevel149|754	OpenLevel159|804	OpenLevel169|854	OpenLevel179|855	OpenLevel189|905	OpenLevel199|959
23	203	OpenLevel39|190	OpenLevel49|253	OpenLevel59|303	OpenLevel69|353	OpenLevel79|403	OpenLevel89|453	OpenLevel99|503	OpenLevel109|553	OpenLevel119|603	OpenLevel129|653	OpenLevel139|703	OpenLevel149|753	OpenLevel159|803	OpenLevel169|853	OpenLevel179|854	OpenLevel189|904	OpenLevel199|958
24	202	OpenLevel39|188	OpenLevel49|252	OpenLevel59|302	OpenLevel69|352	OpenLevel79|402	OpenLevel89|452	OpenLevel99|502	OpenLevel109|552	OpenLevel119|602	OpenLevel129|652	OpenLevel139|702	OpenLevel149|752	OpenLevel159|802	OpenLevel169|852	OpenLevel179|853	OpenLevel189|903	OpenLevel199|957
25	201	OpenLevel39|186	OpenLevel49|251	OpenLevel59|301	OpenLevel69|351	OpenLevel79|401	OpenLevel89|451	OpenLevel99|501	OpenLevel109|551	OpenLevel119|601	OpenLevel129|651	OpenLevel139|701	OpenLevel149|751	OpenLevel159|801	OpenLevel169|851	OpenLevel179|852	OpenLevel189|902	OpenLevel199|956
26	200	OpenLevel39|184	OpenLevel49|250	OpenLevel59|300	OpenLevel69|350	OpenLevel79|400	OpenLevel89|450	OpenLevel99|500	OpenLevel109|550	OpenLevel119|600	OpenLevel129|650	OpenLevel139|700	OpenLevel149|750	OpenLevel159|800	OpenLevel169|850	OpenLevel179|851	OpenLevel189|901	OpenLevel199|955
27	199	OpenLevel39|182	OpenLevel49|249	OpenLevel59|299	OpenLevel69|349	OpenLevel79|399	OpenLevel89|449	OpenLevel99|499	OpenLevel109|549	OpenLevel119|599	OpenLevel129|649	OpenLevel139|699	OpenLevel149|749	OpenLevel159|799	OpenLevel169|849	OpenLevel179|850	OpenLevel189|900	OpenLevel199|954
28	198	OpenLevel39|180	OpenLevel49|248	OpenLevel59|298	OpenLevel69|348	OpenLevel79|398	OpenLevel89|448	OpenLevel99|498	OpenLevel109|548	OpenLevel119|598	OpenLevel129|648	OpenLevel139|698	OpenLevel149|748	OpenLevel159|798	OpenLevel169|848	OpenLevel179|849	OpenLevel189|899	OpenLevel199|953
29	197	OpenLevel39|178	OpenLevel49|247	OpenLevel59|297	OpenLevel69|347	OpenLevel79|397	OpenLevel89|447	OpenLevel99|497	OpenLevel109|547	OpenLevel119|597	OpenLevel129|647	OpenLevel139|697	OpenLevel149|747	OpenLevel159|797	OpenLevel169|847	OpenLevel179|848	OpenLevel189|898	OpenLevel199|952
30	196	OpenLevel39|176	OpenLevel49|246	OpenLevel59|296	OpenLevel69|346	OpenLevel79|396	OpenLevel89|446	OpenLevel99|496	OpenLevel109|546	OpenLevel119|596	OpenLevel129|646	OpenLevel139|696	OpenLevel149|746	OpenLevel159|796	OpenLevel169|846	OpenLevel179|847	OpenLevel189|897	OpenLevel199|951
31	195	OpenLevel39|174	OpenLevel49|245	OpenLevel59|295	OpenLevel69|345	OpenLevel79|395	OpenLevel89|445	OpenLevel99|495	OpenLevel109|545	OpenLevel119|595	OpenLevel129|645	OpenLevel139|695	OpenLevel149|745	OpenLevel159|795	OpenLevel169|845	OpenLevel179|846	OpenLevel189|896	OpenLevel199|950
32	194	OpenLevel39|172	OpenLevel49|244	OpenLevel59|294	OpenLevel69|344	OpenLevel79|394	OpenLevel89|444	OpenLevel99|494	OpenLevel109|544	OpenLevel119|594	OpenLevel129|644	OpenLevel139|694	OpenLevel149|744	OpenLevel159|794	OpenLevel169|844	OpenLevel179|845	OpenLevel189|895	OpenLevel199|949
33	193	OpenLevel39|170	OpenLevel49|243	OpenLevel59|293	OpenLevel69|343	OpenLevel79|393	OpenLevel89|443	OpenLevel99|493	OpenLevel109|543	OpenLevel119|593	OpenLevel129|643	OpenLevel139|693	OpenLevel149|743	OpenLevel159|793	OpenLevel169|843	OpenLevel179|844	OpenLevel189|894	OpenLevel199|948
34	192	OpenLevel39|168	OpenLevel49|242	OpenLevel59|292	OpenLevel69|342	OpenLevel79|392	OpenLevel89|442	OpenLevel99|492	OpenLevel109|542	OpenLevel119|592	OpenLevel129|642	OpenLevel139|692	OpenLevel149|742	OpenLevel159|792	OpenLevel169|842	OpenLevel179|843	OpenLevel189|893	OpenLevel199|947
35	191	OpenLevel39|166	OpenLevel49|241	OpenLevel59|291	OpenLevel69|341	OpenLevel79|391	OpenLevel89|441	OpenLevel99|491	OpenLevel109|541	OpenLevel119|591	OpenLevel129|641	OpenLevel139|691	OpenLevel149|741	OpenLevel159|791	OpenLevel169|841	OpenLevel179|842	OpenLevel189|892	OpenLevel199|946
36	190	OpenLevel39|164	OpenLevel49|240	OpenLevel59|290	OpenLevel69|340	OpenLevel79|390	OpenLevel89|440	OpenLevel99|490	OpenLevel109|540	OpenLevel119|590	OpenLevel129|640	OpenLevel139|690	OpenLevel149|740	OpenLevel159|790	OpenLevel169|840	OpenLevel179|841	OpenLevel189|891	OpenLevel199|945
