InteractID	Type	MainShape	MainParam	MainParam2	MainParam3	MainParam4	MainParam5	PassivityShape	PassivityParam	PassivityParam2	PassivityParam3	PassivityParam4	PassivityParam5	Desc	Name	Icon	IconAtlas	SendChat	RefuseChat	AcceptChat	MsgBoxConent
1	ActRunSt	M1	St|21;Run|22;Speed|15;X|-18;Y|15;X1|-29;Y1|-25;HidePart|5					M1	St|23;Run|24;Speed|20;X|18;Y|-15;X1|29;Y1|25;HidePart|5					亲密	亲密	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」伸出拳头在对方胸膛重重锤了一拳，算是对他的请求表示抗拒	「$M」二话不说，伸手将「$P」一把搂过来，架着他的肩膀并肩而行，爽朗的笑声响彻天际，好基友，一起走！	「$M」神神秘秘的看了周围一眼，朝你做了个“过来”的手势，似乎是有什么事想跟你说，要不要姑且听听？
1	ActRunSt	M1	St|41;Run|42;Speed|15;X|23;X1|25;Y|15;Y1|0					M2	St|23;Run|24;Speed|20;X|-23;X1|-25					亲密	亲密	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」伸出拳头在对方胸膛重重锤了一拳，算是对他的请求表示抗拒	「$M」二话不说，伸手将「$P」一把搂过来，架着他的肩膀并肩而行，爽朗的笑声响彻天际，好基友，一起走！	「$M」神神秘秘的看了周围一眼，朝你做了个“过来”的手势，似乎是有什么事想跟你说，要不要姑且听听？
1	ActRunSt	M1	St|61;Run|62;Speed|15;Y|-7;Y1|1;Height|30					F1	St|23;Run|24;Speed|20;Y|10;Height|30;HidePart|5					亲密	亲密	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		也许是你的举动过于突兀，「$P」轻轻摇头，表达不愿的情绪	“啊……”「$P」面对「$M」突如其来的热情显得有些不知所措，却忍不住将头轻轻靠在对方的肩膀	「$M」轻轻俯身，右手微伸，似乎是在邀请，嘴角勾起的笑意又似乎是在挑衅，是否应允眼前之人的邀请？
1	ActRunSt	M1	St|81;Run|82;Speed|15;Y|-10;Y1|1					F2	St|23;Run|24;Speed|20;Y|10;HidePart|5					亲密	亲密	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		也许是你的举动过于突兀，「$P」轻轻摇头，表达不愿的情绪	“啊……”「$P」面对「$M」突如其来的热情显得有些不知所措，却忍不住将头轻轻靠在对方的肩膀	「$M」轻轻俯身，右手微伸，似乎是在邀请，嘴角勾起的笑意又似乎是在挑衅，是否应允眼前之人的邀请？
1	ActRunSt	M2	St|21;Run|22;Speed|15;X|20;Y|0;X1|15;Y1|32					M1	St|43;Run|44;Speed|20;X|-20;Y|30;X1|0;Y1|30;HidePart|5					亲密	亲密	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」伸出拳头在对方胸膛重重锤了一拳，算是对他的请求表示抗拒	「$M」二话不说，伸手将「$P」一把搂过来，架着他的肩膀并肩而行，爽朗的笑声响彻天际，好基友，一起走！	「$M」神神秘秘的看了周围一眼，朝你做了个“过来”的手势，似乎是有什么事想跟你说，要不要姑且听听？
1	ActRunSt	M2	St|41;Run|42;Speed|15;X|-35;Y|0;X1|-5;Y1|0					M2	St|43;Run|44;Speed|20;X|35;Y|0					亲密	亲密	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」伸出拳头在对方胸膛重重锤了一拳，算是对他的请求表示抗拒	「$M」二话不说，伸手将「$P」一把搂过来，架着他的肩膀并肩而行，爽朗的笑声响彻天际，好基友，一起走！	「$M」神神秘秘的看了周围一眼，朝你做了个“过来”的手势，似乎是有什么事想跟你说，要不要姑且听听？
1	ActRunSt	M2	St|61;Run|62;Speed|15;Y|-12;Height|30					F1	St|43;Run|44;Speed|20;Y|10;Height|30;HidePart|5					亲密	亲密	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		也许是你的举动过于突兀，「$P」轻轻摇头，表达不愿的情绪	“啊……”「$P」面对「$M」突如其来的热情显得有些不知所措，却忍不住将头轻轻靠在对方的肩膀	「$M」轻轻俯身，右手微伸，似乎是在邀请，嘴角勾起的笑意又似乎是在挑衅，是否应允眼前之人的邀请？
1	ActRunSt	M2	St|81;Run|82;Speed|15;X|-6;Y|-2;X1|0;Y1|-8					F2	St|43;Run|44;Speed|20;Y|10;HidePart|5					亲密	亲密	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		也许是你的举动过于突兀，「$P」轻轻摇头，表达不愿的情绪	“啊……”「$P」面对「$M」突如其来的热情显得有些不知所措，却忍不住将头轻轻靠在对方的肩膀	「$M」轻轻俯身，右手微伸，似乎是在邀请，嘴角勾起的笑意又似乎是在挑衅，是否应允眼前之人的邀请？
1	ActRunSt	F1	St|21;Run|22;Speed|15;Y|-25;RunEvent|10014					M1	St|63;Run|64;Speed|20;Y|25					亲密	亲密	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」低头看了看你，缓缓摇了摇头，伸出一根手指轻轻摆了摆，以行动拒绝了你	「$M」费尽九牛二虎之力将「$P」推出一小段距离，看见他一脸轻松的哼着小调，忍不住腹诽：怎么这么重？吃这么多！迟早胖死你！	「$M」勾起小小的右臂，左手在其上来回摩挲，投过来一个挑衅的眼神，似乎在说，来吧！看我的！没问题！
1	ActRunSt	F1	St|41;Run|42;Speed|15;Y|-27;RunEvent|10014					M2	St|63;Run|64;Speed|20;Y|27;HidePart|5					亲密	亲密	Action2	UI/Atlas/NewAtlas/ActionEmotions/ActionEmotions.prefab		「$P」低头看了看你，缓缓摇了摇头，伸出一根手指轻轻摆了摆，以行动拒绝了你	「$M」费尽九牛二虎之力将「$P」推出一小段距离，看见他一脸轻松的哼着小调，忍不住腹诽：怎么这么重？吃这么多！迟早胖死你！	「$M」勾起小小的右臂，左手在其上来回摩挲，投过来一个挑衅的眼神，似乎在说，来吧！看我的！没问题！
