szMainType	nSubType	nSellLimitType	nSellLimitSubType	nSellLimitLevel	szName	nType	nIndex	nMinPrecent	nMaxPrecent	nShowLimitPrecent	nCantSellAgain	nSubTypeSold	szTimeOutFunc	szOpenTimeFrame	szCloseTimeFrame	nPrice	szTimeFrame1	nPrice1	szTimeFrame2	nPrice2	szTimeFrame3	nPrice3	szTimeFrame4	nPrice4	szTimeFrame5	nPrice5	szTimeFrame6	nPrice6	szTimeFrame7	nPrice7	szTimeFrame8	nPrice8	szTimeFrame9	nPrice9	szTimeFrame10	nPrice10	szTimeFrame11	nPrice11	szTimeFrame12	nPrice12	szTimeFrame13	nPrice13	szTimeFrame14	nPrice14	szTimeFrame15	nPrice15	szLimit1	szLimit2	szLimit3	szLimit4	szLimit5	szLimit6	szLimit7	szLimit8	szLimit9	szLimit10	szLimit11	szLimit12	szLimit13	szLimit14	szLimit15	szLimit16	szLimit17	szPriceLimitTimeFrame1	szLimitPrice1	szPriceLimitTimeFrame2	szLimitPrice2	szPriceLimitTimeFrame3	szLimitPrice3	szPriceLimitTimeFrame4	szLimitPrice4	szPriceLimitTimeFrame5	szLimitPrice5	szPriceLimitTimeFrame6	szLimitPrice6	szPriceLimitTimeFrame7	szLimitPrice7	szPriceLimitTimeFrame8	szLimitPrice8	szPriceLimitTimeFrame9	szLimitPrice9	szPriceLimitTimeFrame10	szLimitPrice10	szPriceLimitTimeFrame11	szLimitPrice11	szPriceLimitTimeFrame12	szLimitPrice12	szPriceLimitTimeFrame13	szLimitPrice13	szPriceLimitTimeFrame14	szLimitPrice14	szPriceLimitTimeFrame15	szLimitPrice15	szPriceLimitTimeFrame16	szLimitPrice16	szPriceLimitTimeFrame17	szLimitPrice17
item	7347			20	封印的许愿符	1	1	50	120	110		7346	Next4AM			20	OpenLevel49	20	OpenLevel59	20	OpenLevel69	20	OpenLevel79	20	OpenLevel89	20	OpenLevel99	20	OpenLevel109	20	OpenLevel119	20																																																																	
item	2900	409			49级心得书	1	1	50	120	110				OpenLevel49	OpenLevel59	100	OpenLevel49	100	OpenLevel59	100	OpenLevel69	100	OpenLevel79	100	OpenLevel89	100	OpenLevel99	100	OpenLevel109	100	OpenLevel119	100															OpenLevel39|0	OpenLevel49|0	OpenLevel59|1	OpenLevel69|1	OpenLevel79|1	OpenLevel89|1	OpenLevel99|1	OpenLevel109|1	OpenLevel119|1									OpenLevel39		OpenLevel49		OpenLevel59		OpenLevel69		OpenLevel79		OpenLevel89		OpenLevel99		OpenLevel109		OpenLevel119		OpenLevel129															
item	2901	410			59级心得书	1	1	50	120	110				OpenLevel59	OpenLevel69	100	OpenLevel49	100	OpenLevel59	100	OpenLevel69	100	OpenLevel79	100	OpenLevel89	100	OpenLevel99	100	OpenLevel109	100	OpenLevel119	100															OpenLevel39|0	OpenLevel49|0	OpenLevel59|0	OpenLevel69|1	OpenLevel79|1	OpenLevel89|1	OpenLevel99|1	OpenLevel109|1	OpenLevel119|1									OpenLevel39		OpenLevel49		OpenLevel59		OpenLevel69		OpenLevel79		OpenLevel89		OpenLevel99		OpenLevel109		OpenLevel119		OpenLevel129															
item	2902	411			69级心得书	1	1	50	120	110				OpenLevel69	OpenLevel79	100	OpenLevel49	100	OpenLevel59	100	OpenLevel69	100	OpenLevel79	100	OpenLevel89	100	OpenLevel99	100	OpenLevel109	100	OpenLevel119	100															OpenLevel39|0	OpenLevel49|0	OpenLevel59|0	OpenLevel69|0	OpenLevel79|1	OpenLevel89|1	OpenLevel99|1	OpenLevel109|1	OpenLevel119|1									OpenLevel39		OpenLevel49		OpenLevel59		OpenLevel69		OpenLevel79		OpenLevel89		OpenLevel99		OpenLevel109		OpenLevel119		OpenLevel129															
item	2903	412			79级心得书	1	1	50	120	110				OpenLevel79	OpenLevel89	100	OpenLevel49	100	OpenLevel59	100	OpenLevel69	100	OpenLevel79	100	OpenLevel89	100	OpenLevel99	100	OpenLevel109	100	OpenLevel119	100															OpenLevel39|0	OpenLevel49|0	OpenLevel59|0	OpenLevel69|0	OpenLevel79|0	OpenLevel89|1	OpenLevel99|1	OpenLevel109|1	OpenLevel119|1									OpenLevel39		OpenLevel49		OpenLevel59		OpenLevel69		OpenLevel79		OpenLevel89		OpenLevel99		OpenLevel109		OpenLevel119		OpenLevel129															
item	2904	413			89级心得书	1	1	50	120	110				OpenLevel89	OpenLevel99	100	OpenLevel49	100	OpenLevel59	100	OpenLevel69	100	OpenLevel79	100	OpenLevel89	100	OpenLevel99	100	OpenLevel109	100	OpenLevel119	100															OpenLevel39|0	OpenLevel49|0	OpenLevel59|0	OpenLevel69|0	OpenLevel79|0	OpenLevel89|0	OpenLevel99|1	OpenLevel109|1	OpenLevel119|1									OpenLevel39		OpenLevel49		OpenLevel59		OpenLevel69		OpenLevel79		OpenLevel89		OpenLevel99		OpenLevel109		OpenLevel119		OpenLevel129															
item	2905	414			99级心得书	1	1	50	120	110				OpenLevel99	OpenLevel109	100	OpenLevel49	100	OpenLevel59	100	OpenLevel69	100	OpenLevel79	100	OpenLevel89	100	OpenLevel99	100	OpenLevel109	100	OpenLevel119	100															OpenLevel39|0	OpenLevel49|0	OpenLevel59|0	OpenLevel69|0	OpenLevel79|0	OpenLevel89|0	OpenLevel99|0	OpenLevel109|1	OpenLevel119|1									OpenLevel39		OpenLevel49		OpenLevel59		OpenLevel69		OpenLevel79		OpenLevel89		OpenLevel99		OpenLevel109		OpenLevel119		OpenLevel129															
item	3691	415			109级心得书	1	1	50	120	110				OpenLevel109	OpenLevel119	100	OpenLevel49	100	OpenLevel59	100	OpenLevel69	100	OpenLevel79	100	OpenLevel89	100	OpenLevel99	100	OpenLevel109	100	OpenLevel119	100															OpenLevel39|0	OpenLevel49|0	OpenLevel59|0	OpenLevel69|0	OpenLevel79|0	OpenLevel89|0	OpenLevel99|0	OpenLevel109|0	OpenLevel119|1									OpenLevel39		OpenLevel49		OpenLevel59		OpenLevel69		OpenLevel79		OpenLevel89		OpenLevel99		OpenLevel109		OpenLevel119		OpenLevel129															
item	3724	416			119级心得书	1	1	50	120	110				OpenLevel119	OpenLevel129	100	OpenLevel49	100	OpenLevel59	100	OpenLevel69	100	OpenLevel79	100	OpenLevel89	100	OpenLevel99	100	OpenLevel109	100	OpenLevel119	100															OpenLevel39|0	OpenLevel49|0	OpenLevel59|0	OpenLevel69|0	OpenLevel79|0	OpenLevel89|0	OpenLevel99|0	OpenLevel109|0	OpenLevel119|0	OpenLevel129|1								OpenLevel39		OpenLevel49		OpenLevel59		OpenLevel69		OpenLevel79		OpenLevel89		OpenLevel99		OpenLevel109		OpenLevel119		OpenLevel129															
item	6098	501			129级心得书	1	1	50	120	110				OpenLevel129	OpenLevel139	100	OpenLevel49	100	OpenLevel59	100	OpenLevel69	100	OpenLevel79	100	OpenLevel89	100	OpenLevel99	100	OpenLevel109	100	OpenLevel119	100	OpenLevel129	100													OpenLevel39|0	OpenLevel49|0	OpenLevel59|0	OpenLevel69|0	OpenLevel79|0	OpenLevel89|0	OpenLevel99|0	OpenLevel109|0	OpenLevel119|0	OpenLevel129|0	OpenLevel139|1							OpenLevel39		OpenLevel49		OpenLevel59		OpenLevel69		OpenLevel79		OpenLevel89		OpenLevel99		OpenLevel109		OpenLevel119		OpenLevel129															
item	6993	551			139级心得书	1	1	50	120	110				OpenLevel139	OpenLevel149	100	OpenLevel49	100	OpenLevel59	100	OpenLevel69	100	OpenLevel79	100	OpenLevel89	100	OpenLevel99	100	OpenLevel109	100	OpenLevel119	100	OpenLevel129	100	OpenLevel139	100											OpenLevel39|0	OpenLevel49|0	OpenLevel59|0	OpenLevel69|0	OpenLevel79|0	OpenLevel89|0	OpenLevel99|0	OpenLevel109|0	OpenLevel119|0	OpenLevel129|0	OpenLevel139|0	OpenLevel149|1						OpenLevel39		OpenLevel49		OpenLevel59		OpenLevel69		OpenLevel79		OpenLevel89		OpenLevel99		OpenLevel109		OpenLevel119		OpenLevel129															
item	6995	669			T0头饰	1	12	50	120	110						200	OpenLevel49	200	OpenLevel59	200	OpenLevel69	200	OpenLevel79	200	OpenLevel89	200	OpenLevel99	200	OpenLevel109	200	OpenLevel119	200															OpenLevel39|0	OpenLevel49|0	OpenLevel59|0	OpenLevel69|0	OpenLevel79|0	OpenLevel89|0	OpenLevel99|0	OpenLevel109|1	OpenLevel119|1									OpenLevel39		OpenLevel49		OpenLevel59		OpenLevel69		OpenLevel79		OpenLevel89	50|180	OpenLevel99	50|180	OpenLevel109	50|150	OpenLevel119	50|150	OpenLevel129															
item	7497	617			149级心得书	1	1	50	120	110				OpenLevel149	OpenLevel159	100	OpenLevel49	100	OpenLevel59	100	OpenLevel69	100	OpenLevel79	100	OpenLevel89	100	OpenLevel99	100	OpenLevel109	100	OpenLevel119	100	OpenLevel129	100	OpenLevel139	100											OpenLevel39|0	OpenLevel49|0	OpenLevel59|0	OpenLevel69|0	OpenLevel79|0	OpenLevel89|0	OpenLevel99|0	OpenLevel109|0	OpenLevel119|0	OpenLevel129|0	OpenLevel139|0	OpenLevel149|0	OpenLevel159|1					OpenLevel39		OpenLevel49		OpenLevel59		OpenLevel69		OpenLevel79		OpenLevel89		OpenLevel99		OpenLevel109		OpenLevel119		OpenLevel129															
item	8321	618			159级心得书	1	1	50	120	110				OpenLevel159	OpenLevel169	100	OpenLevel49	100	OpenLevel59	100	OpenLevel69	100	OpenLevel79	100	OpenLevel89	100	OpenLevel99	100	OpenLevel109	100	OpenLevel119	100	OpenLevel129	100	OpenLevel139	100											OpenLevel39|0	OpenLevel49|0	OpenLevel59|0	OpenLevel69|0	OpenLevel79|0	OpenLevel89|0	OpenLevel99|0	OpenLevel109|0	OpenLevel119|0	OpenLevel129|0	OpenLevel139|0	OpenLevel149|0	OpenLevel159|0	OpenLevel169|1				OpenLevel39		OpenLevel49		OpenLevel59		OpenLevel69		OpenLevel79		OpenLevel89		OpenLevel99		OpenLevel109		OpenLevel119		OpenLevel129															
item	9785	619			169级心得书	1	1	50	120	110				OpenLevel169	OpenLevel179	100	OpenLevel49	100	OpenLevel59	100	OpenLevel69	100	OpenLevel79	100	OpenLevel89	100	OpenLevel99	100	OpenLevel109	100	OpenLevel119	100	OpenLevel129	100	OpenLevel139	100											OpenLevel39|0	OpenLevel49|0	OpenLevel59|0	OpenLevel69|0	OpenLevel79|0	OpenLevel89|0	OpenLevel99|0	OpenLevel109|0	OpenLevel119|0	OpenLevel129|0	OpenLevel139|0	OpenLevel149|0	OpenLevel159|0	OpenLevel169|0	OpenLevel179|1			OpenLevel39		OpenLevel49		OpenLevel59		OpenLevel69		OpenLevel79		OpenLevel89		OpenLevel99		OpenLevel109		OpenLevel119		OpenLevel129															
item	9786	665			179级心得书	1	1	50	120	110				OpenLevel179	OpenLevel189	100	OpenLevel49	100	OpenLevel59	100	OpenLevel69	100	OpenLevel79	100	OpenLevel89	100	OpenLevel99	100	OpenLevel109	100	OpenLevel119	100	OpenLevel129	100	OpenLevel139	100											OpenLevel39|0	OpenLevel49|0	OpenLevel59|0	OpenLevel69|0	OpenLevel79|0	OpenLevel89|0	OpenLevel99|0	OpenLevel109|0	OpenLevel119|0	OpenLevel129|0	OpenLevel139|0	OpenLevel149|0	OpenLevel159|0	OpenLevel169|0	OpenLevel179|0	OpenLevel189|1		OpenLevel39		OpenLevel49		OpenLevel59		OpenLevel69		OpenLevel79		OpenLevel89		OpenLevel99		OpenLevel109		OpenLevel119		OpenLevel129															
item	9787	670			189级心得书	1	1	50	120	110				OpenLevel189	OpenLevel199	100	OpenLevel49	100	OpenLevel59	100	OpenLevel69	100	OpenLevel79	100	OpenLevel89	100	OpenLevel99	100	OpenLevel109	100	OpenLevel119	100	OpenLevel129	100	OpenLevel139	100											OpenLevel39|0	OpenLevel49|0	OpenLevel59|0	OpenLevel69|0	OpenLevel79|0	OpenLevel89|0	OpenLevel99|0	OpenLevel109|0	OpenLevel119|0	OpenLevel129|0	OpenLevel139|0	OpenLevel149|0	OpenLevel159|0	OpenLevel169|0	OpenLevel179|0	OpenLevel189|0	OpenLevel199|1	OpenLevel39		OpenLevel49		OpenLevel59		OpenLevel69		OpenLevel79		OpenLevel89		OpenLevel99		OpenLevel109		OpenLevel119		OpenLevel129															
item	9788	711			199级心得书	1	1	50	120	110				OpenLevel199		100	OpenLevel49	100	OpenLevel59	100	OpenLevel69	100	OpenLevel79	100	OpenLevel89	100	OpenLevel99	100	OpenLevel109	100	OpenLevel119	100	OpenLevel129	100	OpenLevel139	100											OpenLevel39|0	OpenLevel49|0	OpenLevel59|0	OpenLevel69|0	OpenLevel79|0	OpenLevel89|0	OpenLevel99|0	OpenLevel109|0	OpenLevel119|0	OpenLevel129|0	OpenLevel139|0	OpenLevel149|0	OpenLevel159|0	OpenLevel169|0	OpenLevel179|0	OpenLevel189|0	OpenLevel199|0	OpenLevel39		OpenLevel49		OpenLevel59		OpenLevel69		OpenLevel79		OpenLevel89		OpenLevel99		OpenLevel109		OpenLevel119		OpenLevel129															
item	1526	500			3级附魔石·攻击	1	24	50	120	110	1			OpenLevel109		5000	OpenLevel49	5000	OpenLevel59	5000	OpenLevel69	5000	OpenLevel79	5000	OpenLevel89	5000	OpenLevel99	5000	OpenLevel109	5000	OpenLevel119	5000															OpenLevel39|0	OpenLevel49|0	OpenLevel59|0	OpenLevel69|0	OpenLevel79|0	OpenLevel89|0	OpenLevel99|0	OpenLevel109|0	OpenLevel119|0									OpenLevel39		OpenLevel49		OpenLevel59		OpenLevel69		OpenLevel79		OpenLevel89		OpenLevel99		OpenLevel109		OpenLevel119	50|180	OpenLevel129	50|140	OpenLevel139	50|120	OpenLevel149	50|100										
