nItemId	nAddExp	szCardId	nHideGiftUi	szCard2Exp
8314	200	2		
8322	100	21		
8323	200	5		
8324	200	3		
8325	100	20		
8326	50	60		
8327	50	55		
8328	50	61		
8329	100	14		
8330	200	4		
8331	100	19		
8332	200	11		
8333	200	7		
8334	100	15		
8335	50	63		
8336	200	8		
8337	50	57		
8338	100	13		
8339	50	42		
8340	50	43		
8341	200	10		
8342	200	9		
8343	100	12		
8344	100	18		
8345	50	40		
8346	50	45		
8347	50	41		
8348	200	6		
8349	100	16		
8350	200	1		
8351	100	23		
8352	50	62		
8353	50	24		
8354	50	56		
8355	50	44		
8356	50	64		
8479	50	25		
8480	50	26		
8481	50	27		
8482	50	28		
8483	50	29		
8484	50	30		
8485	50	31		
8486	50	32		
8487	50	33		
8488	50	34		
8489	50	35		
8490	50	36		
8491	50	37		
8492	50	38		
8493	50	39		
8494	50	58		
8495	50	59		
8496	50	65		
8497	100	22		
11836	50	121		
11837	50	122		
8359	5			
8360	10			
8361	20			
8362	40			
8363	50			
8364	50	46;47;48;49;50;51;52;53;54		
8365	100			
8366	200			
11438	10		1	
11439	30		1	
11440	90		1	
11441	10		1	
11442	30		1	
11443	90		1	
11444	10		1	
11445	30		1	
11446	90		1	
11447	10		1	
11448	30		1	
11449	90		1	
11450	10		1	
11451	30		1	
11452	90		1	
11453	10		1	
11454	30		1	
11455	90		1	
11456	10		1	
11457	30		1	
11458	90		1	
11459	10		1	24;50|25;50|27;50|28;50|42;50|59;50|61;50
11460	30		1	24;210|25;210|27;210|28;210|42;210|59;210|61;210
11461	90		1	24;900|25;900|27;900|28;900|42;900|59;900|61;900
11462	10		1	
11463	30		1	
11464	90		1	
11465	10		1	22;100
11466	30		1	22;420
11467	90		1	22;1800
11468	10		1	
11469	30		1	
11470	90		1	
11471	10		1	
11472	30		1	
11473	90		1	
11474	10		1	26;50|30;50
11475	30		1	26;210|30;210
11476	90		1	26;900|30;900
11477	10		1	4;150
11478	30		1	4;630
11479	90		1	4;2700
11480	10		1	13;100
11481	30		1	13;420
11482	90		1	13;1800
11483	10		1	
11484	30		1	
11485	90		1	
11486	10		1	6;150
11487	30		1	6;630
11488	90		1	6;2700
11489	10		1	
11490	30		1	
11491	90		1	
11492	10		1	
11493	30		1	
11494	90		1	
11495	10		1	
11496	30		1	
11497	90		1	
11498	10		1	
11499	30		1	
11500	90		1	
11501	10		1	20;100
11502	30		1	20;420
11503	90		1	20;1800
11504	10		1	
11505	30		1	
11506	90		1	
11507	10		1	12;100
11508	30		1	12;420
11509	90		1	12;1800
11510	10		1	5;150
11511	30		1	5;630
11512	90		1	5;2700
11513	10		1	7;150
11514	30		1	7;630
11515	90		1	7;2700
11516	10		1	
11517	30		1	
11518	90		1	
11519	10		1	
11520	30		1	
11521	90		1	
11522	10		1	
11523	30		1	
11524	90		1	
11525	10		1	
11526	30		1	
11527	90		1	
11528	10		1	
11529	30		1	
11530	90		1	
11531	10		1	
11532	30		1	
11533	90		1	
11534	10		1	
11535	30		1	
11536	90		1	
11537	10		1	
11538	30		1	
11539	90		1	
11540	10		1	
11541	30		1	
11542	90		1	
11543	10		1	
11544	30		1	
11545	90		1	
11546	10		1	
11547	30		1	
11548	90		1	
11549	10		1	
11550	30		1	
11551	90		1	
11552	10		1	46;50|47;50|48;50|49;50|50;50|51;50|52;50|53;50|54;50
11553	30		1	46;210|47;210|48;210|49;210|50;210|51;210|52;210|53;210|54;210
11554	90		1	46;900|47;900|48;900|49;900|50;900|51;900|52;900|53;900|54;900
11555	10		1	
11556	30		1	
11557	90		1	
11558	10		1	
11559	30		1	
11560	90		1	
11561	10		1	21;100
11562	30		1	21;420
11563	90		1	21;1800
11564	10		1	
11565	30		1	
11566	90		1	
11567	10		1	
11568	30		1	
11569	90		1	
11570	10		1	18;100
11571	30		1	18;420
11572	90		1	18;1800
11573	10		1	15;100
11574	30		1	15;420
11575	90		1	15;1800
11576	10		1	
11577	30		1	
11578	90		1	
11579	10		1	19;100
11580	30		1	19;420
11581	90		1	19;1800
11582	10		1	23;100
11583	30		1	23;420
11584	90		1	23;1800
11585	10		1	14;100
11586	30		1	14;420
11587	90		1	14;1800
11588	10		1	
11589	30		1	
11590	90		1	
11591	10		1	
11592	30		1	
11593	90		1	
11594	10		1	
11595	30		1	
11596	90		1	
11597	10		1	8;150
11598	30		1	8;630
11599	90		1	8;2700
11600	10		1	
11601	30		1	
11602	90		1	
11603	10		1	29;50|39;50|60;50|62;50|64;50
11604	30		1	29;210|39;210|60;210|62;210|64;210
11605	90		1	29;900|39;900|60;900|62;900|64;900
11606	10		1	40;50|41;50|43;50|44;50|45;50
11607	30		1	40;210|41;210|43;210|44;210|45;210
11608	90		1	40;900|41;900|43;900|44;900|45;900
11609	10		1	
11610	30		1	
11611	90		1	
11612	10		1	
11613	30		1	
11614	90		1	
11615	10		1	
11616	30		1	
11617	90		1	
11618	10		1	
11619	30		1	
11620	90		1	
11621	10		1	
11622	30		1	
11623	90		1	
11624	10		1	
11625	30		1	
11626	90		1	
11627	10		1	
11628	30		1	
11629	90		1	
11630	10		1	
11631	30		1	
11632	90		1	
11633	10		1	
11634	30		1	
11635	90		1	
11636	10		1	55;50|56;50|57;50|58;50|63;50
11637	30		1	55;210|56;210|57;210|58;210|63;210
11638	90		1	55;900|56;900|57;900|58;900|63;900
11639	10		1	
11640	30		1	
11641	90		1	
11690	1		1	
11691	1		1	
11692	1		1	
11693	1		1	
11694	1		1	
