nCardId	nPartnerTempleteId	nNpcTempleteId	nNpcNoTurnTempleteId	nExtAttribId	nExtPartnerSkillId	szUniquePartnerSkillId	szCost	nSuitIdx	szName	szTask	nDialogId	szRepeat	nHide
1	1	2978		4001	5151	5168	item|1969|360		达摩（暂无产出）			item|8350|54	1
2	2	2979		4002	5152	5169	item|1969|360		后羿（暂无产出）			item|8314|54	
3	3	2980		4003	5153	5170	item|1969|360		苏妲己（暂无产出）			item|8324|54	
4	4	2981		4004	5163		item|1969|360		鬼谷子		90000	item|8330|54	
5	5	2982		4005	5166		item|1969|360	1	项羽		90001	item|8323|54	
6	6	2983		4006	5167		item|1969|360	16	秦始皇		90002	item|8348|54	
7	144	2988		4007	5164		item|1969|360	9	完颜洪烈		90003	item|8333|54	
8	7	2984		4008	5165		item|1969|360	37	武则天		90004	item|8336|54	
9	8	2985		4009	5158	5171	item|1969|360		吕洞宾（暂无产出）		90005	item|8342|54	
10	9	2986		4010	5159	5168	item|1969|360		张三丰（暂无产出）		90006	item|8341|54	
11	10	2987		4011	5160	5169	item|1969|360		西施（暂无产出）		90007	item|8332|54	
12	11	2989	3365	4012	5151	5168	item|1969|120	7	独孤剑		90008	item|8343|36	
13	12	2990	3366	4013	5158	5171	item|1969|120	8	南宫飞云		90009	item|8338|36	
14	13	2991	3367	4014	5162	5171	item|1969|120	4	杨影枫		90010	item|8329|36	
15	14	2992	3368	4015	5161	5170	item|1969|120	23	唐简		90011	item|8334|36	
16	15	2993	3369	4016	5160	5169	item|1969|120		玄天道人（暂无产出）		90012	item|8349|36	
17	16	2994	3370	4017	5159	5168	item|1969|120		SS6（暂无产出）		90013		
18	17	2995	3371	4018	5157	5170	item|1969|120	21	李元霸		90014	item|8344|36	
19	18	2996	3372	4019	5153	5170	item|1969|120	21	赵云		90015	item|8331|36	
20	19	2997	3373	4020	5154	5171	item|1969|120	21	李广		90016	item|8325|36	
21	20	2998	3374	4021	5156	5169	item|1969|120	24	荆轲		90017	item|8322|36	
22	21	2999	3375	4022	5152	5169	item|1969|120	1	虞姬		90018	item|8497|36	
23	22	3000	3376	4023	5155	5168	item|1969|120	3	岳飞		90019	item|8351|36	
24	23	3001		4024	5158	5171	item|1969|30	4	月眉儿		90020	item|8353|18	
25	24	3002		4025	5151	5168	item|1969|30	15	杨瑛		90021	item|8479|18	
26	25	3003		4026	5153	5170	item|1969|30	20	祝子虚		90022	item|8480|18	
27	26	3004		4027	5152	5169	item|1969|30	20	清晓师太		90023	item|8481|18	
28	27	3005		4028	5154	5171	item|1969|30	20	黄暮云		90024	item|8482|18	
29	28	3006		4029	5155	5168	item|1969|30	12	道一真人		90025	item|8483|18	
30	29	3007		4030	5156	5169	item|1969|30	20	端木睿		90026	item|8484|18	
31	30	3008		4031	5157	5170	item|1969|30		玄因（暂无产出）		90027	item|8485|18	
32	31	3009		4032	5158	5171	item|1969|30		尹含烟（暂无产出）		90028	item|8486|18	
33	32	3010		4033	5159	5168	item|1969|30		黑面郎君（暂无产出）		90029	item|8487|18	
34	33	3011		4034	5160	5169	item|1969|30		璇玑子（暂无产出）		90030	item|8488|18	
35	34	3012		4035	5162	5171	item|1969|30		何人我（暂无产出）		90031	item|8489|18	
36	35	3013		4036	5161	5170	item|1969|30		唐仇（暂无产出）		90032	item|8490|18	
37	149	3041		4037	5152	5169	item|1969|30		林更新		90033	item|8491|18	
38	150	3042		4038	5152	5169	item|1969|30		颖宝宝		90034	item|8492|18	
39	36	3014		4039	5157	5170	item|1969|30	6	孟知秋		90035	item|8493|18	
40	37	3015		4040	5162	5171	item|1969|30	23	高长恭		90036	item|8345|18	
41	38	3016		4041	5161	5170	item|1969|30	25	哲别		90037	item|8347|18	
42	39	3017		4042	5158	5171	item|1969|30	25	秦良玉		90038	item|8339|18	
43	40	3018		4043	5160	5169	item|1969|30	24	袁承志		90039	item|8340|18	
44	41	3019		4044	5151	5168	item|1969|30	29	鳌拜		90040	item|8355|18	
45	42	3020		4045	5159	5168	item|1969|30	3	韩世忠		90041	item|8346|18	
46	145	3037		4046	5158	5171	item|1969|30	26	冰鳞蜥皇		90042	item|8364|18	
47	146	3038		4047	5159	5168	item|1969|30	26	银钩蝎皇		90043	item|8364|18	
48	147	3039		4048	5162	5171	item|1969|30	27	狂鬃獒皇		90044	item|8364|18	
49	43	3021		4049	5156	5169	item|1969|30	27	赤睛虎皇		90045	item|8364|18	
50	44	3022		4050	5157	5170	item|1969|30	27	撼天熊皇		90046	item|8364|18	
51	45	3023		4051	5159	5168	item|1969|30	30	紫背鳄皇		90047	item|8364|18	
52	46	3024		4052	5155	5168	item|1969|30	27	定海金刚		90048	item|8364|18	
53	47	3025		4053	5153	5170	item|1969|30	31	金翅鹏皇		90049	item|8364|18	
54	48	3026		4054	5152	5169	item|1969|30	30	银角犀皇		90050	item|8364|18	
55	49	3027		4055	5160	5169	item|1969|30	2	张风		90051	item|8327|18	
56	50	3028		4056	5162	5171	item|1969|30	2	南宫灭		90052	item|8354|18	
57	51	3029		4057	5151	5168	item|1969|30	2	方勉		90053	item|8337|18	
58	52	3030		4058	5161	5170	item|1969|30	13	唐影		90054	item|8494|18	
59	53	3031		4059	5158	5171	item|1969|30	13	秋依水		90055	item|8495|18	
60	54	3032		4060	5155	5168	item|1969|30	12	天星道长		90056	item|8326|18	
61	55	3033		4061	5156	5169	item|1969|30	9	燕若雪		90057	item|8328|18	
62	56	3034		4062	5154	5171	item|1969|30	5	杨熙烈		90058	item|8352|18	
63	57	3035		4063	5155	5168	item|1969|30	5	上官飞龙		90059	item|8335|18	
64	58	3036		4064	5153	5170	item|1969|30	17	纳兰潜凛		90060	item|8356|18	
65	148	3040		4065	5154	5171	item|1969|30		黄真伊（暂无产出）		90061	item|8496|18	
121	151	3810		4117	5152	5169	item|1969|30	16	李斯		90115	item|11836|18	
122	152	3811		4118	5152	5169	item|1969|30	37	狄仁杰		90116	item|11837|18	
66	59	3043		4066	5152	5169	item|1969|10	4	纳兰真		90062	item|8361|15	
67	60	3044		4067	5151	5168	item|1969|10	28	少年杨影枫		90063	item|8361|15	
68	61	3045		4068	5151	5168	item|1969|10	15	杨铁心		90064	item|8361|15	
69	62	3046		4069	5152	5169	item|1969|10	22	柳潇庭		90065	item|8361|15	
70	63	3047		4070	5153	5170	item|1969|10	22	无想		90066	item|8361|15	
71	64	3048		4071	5154	5171	item|1969|10	22	李恬儿		90067	item|8361|15	
72	65	3049		4072	5155	5168	item|1969|10	22	李天目		90068	item|8361|15	
73	66	3050		4073	5156	5169	item|1969|10	29	完颜襄		90069	item|8361|15	
74	67	3051		4074	5157	5170	item|1969|10		玄慈（暂无产出）		90070	item|8361|15	
75	68	3052		4075	5158	5171	item|1969|10		尹筱雨（暂无产出）		90071	item|8361|15	
76	69	3053		4076	5159	5168	item|1969|10		古嫣然（暂无产出）		90072	item|8361|15	
77	70	3054		4077	5160	5169	item|1969|10		宋秋石（暂无产出）		90073	item|8361|15	
78	71	3055		4078	5162	5171	item|1969|10		石轩辕（暂无产出）		90074	item|8361|15	
79	72	3056		4079	5161	5170	item|1969|10		唐晓（暂无产出）		90075	item|8361|15	
80	73	3057		4080	5161	5170	item|1969|10	30	双首异兽		90076	item|8361|15	
81	74	3058		4081	5162	5171	item|1969|10	31	奔焰豹王		90077	item|8361|15	
82	75	3059		4082	5160	5169	item|1969|10	31	九尾狐王		90078	item|8361|15	
