nCardId	szTalk
1	若我战死，勿埋我骨。死若星辰，生如朝露。
1	不过人类一定会毁于自身的欲望，毫无节制的欲望会吞噬一切。
2	如果你讨厌周一，我就将太阳射熄，那这样就永远都是周日了。
2	嫦娥，你不要害怕，我会一直在你身边。
3	我背弃吾之所爱，我离弃生我之家，从踏入这朝哥城，我就知道我会万劫不复。。。
3	情丝截，不愿回忆伤心切，伤心切，心如蛇蝎，心似碎屑。
4	施展纵横剑术，首要的就是一个决字。
4	横剑攻于技，以求其利，是为捭。纵剑攻于势，以求其实，是为阖。捭阖者，天地之道。
5	四海皆兄弟，世界应大同。
5	吾闻汉购我头千金，邑万户，吾为若德。
5	力拔山兮气盖世，时不利兮骓不逝。骓不逝兮可奈何？虞兮虞兮奈若何？
6	朕统六国，天下归一。
6	筑长城以镇九州龙脉，卫我大秦、护我社稷。
6	朕在，当守土开疆，扫平四夷，定我大秦万世之基！朕亡，亦将身化龙魂，佑我华夏永世不衰！
7	我们想得到的天下，其实是一头残暴的猛兽。
7	武穆遗书，真的存在吗？
7	为什么，我爱的人都要离我而去！
8	要的更多，要的更大！
8	我们女人不比男人差。
8	高人叶高志，山服往农家。迢迢闻风月，去去隔烟霞。
9	虽然伤口已经愈合，但我还记得那狗。
9	神是气兮气是命。神不外驰心自定。
9	主人不必害怕，若是必要，我可召集八仙为你助阵！
10	容人之所不能容，忍人之所不能忍，则心修愈静，胜天愈纯。
10	灭绝师太？能接吾三招乎？
10	长拳者，如大江大海，滔滔不绝也。
11	王为何待我这般好？他明明知道，我是别国的间隙。
11	东施和我并无干系！
11	我想去湖心，看看范君是否尚在。
12	今天的武林盟主，若是遇到，我定会尽全力。
12	当今武林，还没有人能看清我的剑是如何出鞘入鞘。
12	大丈夫当提三尺之剑，立不世之功。
13	大丈夫当提三尺之剑，立不世之功。
13	天上剑仙三百万，见我也须尽低眉。
13	历代盟主，须以护佑天下为己任。
14	大丈夫当提三尺之剑，立不世之功。
14	凌绝峰上苦练10年，只为完成父亲遗愿，成为武林第一。
14	没想到，眉儿和真儿竟然是亲姐妹。。
15	天魔无相，以修炼剑气为主。吾练成后，二十年未曾一败。
15	天下人对我们唐门竟有如此偏见？
15	任何门派都有奸诈之人，正如任何门派都有善良的人一样。
16	武道德经，万不可给心术不正的人得了去！
16	上善若水，水善利万物而不争。
16	致虚极，守静笃。万物并作，吾以观复。
17	大丈夫当提三尺之剑，立不世之功。
18	世人都说我是上界大鹏金翅鸟临凡。若真是那样，这锤子就是我的翅膀！
18	改日我要给这双大锤，换个木柄，否则被雷劈了就不好了。
18	拳法掌法也要多研习一些，其中道理可用于任何兵器。
19	勇者之事，甚于生死。
19	前方纵有千军，难当我赵云一人。
19	大丈夫只患功名不利，何患无妻！
20	我游历江湖时，发现一个洞窟，内藏一把巨弓。
20	大丈夫当提三尺之剑，立不世之功。
20	我自小从军，与匈奴大小七十余战，何曾怕过！
21	我曾十步杀一人，却败给你的眼神。
21	相信你手中的剑，它已替你做了选择。
21	大丈夫上阵杀敌，有“高山流水”相伴，古今往来又有几人？
22	我很羡慕他们，可以和心爱的人一起终老。
22	我不甘心，就这么离开。
22	风会带走你曾今存在的证明，哪怕整个世界都遗忘你，我也一定会记住你。
23	归来报明主，恢复旧神州。
23	阵而后战，兵法之常，运用之妙，存乎一心。
23	谋者胜负之机也。
24	仇恨，压的我好累。
24	我不恨他，只怪这乱世，怪自己无法置身事外。
25	遗憾的是，没有与你走到最后。
25	吾儿铁心，就是这天王帮的第三任帮主。
26	逍遥派讲究避世隐修，故而江湖上名声不大。
26	逍遥武功创自天地，与江湖武功多有不同。
26	入我们须看面相，且资质必须异于常人。
27	我必将峨眉发扬广大，纵死亦然！
27	天下的英雄好汉，难道都是自封的吗？
27	红尘乱世，峨眉可弃红尘，但乱世之道，避无可避！
28	桃花至今，仍只收女弟子，你可想好了？
28	入我桃花门下，终日岛上，与世隔绝，闲时多习奇门八卦之术。
28	克制，使人与人的关系变得更复杂，也更简单。
29	见素抱朴，少私寡欲。
29	人法地，地法天，天法道，道法自然。
29	举世誉之而不加劝，举世非之而不加沮。
30	门派利益，高于一切。若有来生，定不相负。
30	谁让我是金人，我不求你的原谅。
31	色即是空，空即是色。
31	注定让一生改变的，只在百年后，那一朵花开的时间。
31	种如是因，收如是果，一切唯心造。
32	翠烟武功，适合打消耗战。
33	大丈夫当提三尺之剑，立不世之功。
34	大丈夫当提三尺之剑，立不世之功。
35	大丈夫当提三尺之剑，立不世之功。
