BookID	Type	MutualType	UpgradeID	UpgradeItem	MaxBookLevel	MaxSkillLevel	LimitRecycle	TuPoID	LimitFaction	LevelFightPowerID	SkillFightPowerID	SkillID	Attrib1Type	Init1Value	Grow1Value	Attrib2Type	Init2Value	Grow2Value	Attrib3Type	Init3Value	Grow3Value	Attrib4Type	Init4Value	Grow4Value
2398	0	101	2398	2725	100	10		1	1	2	1	216	vitality_v	3000	200	dexterity_v	3000	200	strength_v	3000	200	energy_v	1000	66
2401	0	102	2401	2726	100	10		1	1	2	1	222	vitality_v	3000	200	dexterity_v	3000	200	strength_v	3000	200	energy_v	1000	66
2402	0	104	2402	2727	100	10		1	1	2	1	220	vitality_v	3000	200	dexterity_v	3000	200	strength_v	3000	200	energy_v	1000	66
2719	0	103	2719	2728	100	10		1	1	2	1	253	vitality_v	3000	200	dexterity_v	3000	200	strength_v	3000	200	energy_v	1000	66
2403	0	202	2403	2729	100	10		1	2	2	1	325	vitality_v	4000	266	dexterity_v	2000	133	strength_v	2000	133	energy_v	2000	133
2404	0	203	2404	2730	100	10		1	2	2	1	314	vitality_v	4000	266	dexterity_v	2000	133	strength_v	2000	133	energy_v	2000	133
2405	0	204	2405	2731	100	10		1	2	2	1	320	vitality_v	4000	266	dexterity_v	2000	133	strength_v	2000	133	energy_v	2000	133
2720	0	201	2720	2732	100	10		1	2	2	1	365	vitality_v	4000	266	dexterity_v	2000	133	strength_v	2000	133	energy_v	2000	133
2406	0	402	2406	2733	100	10		1	4	2	1	517	vitality_v	2000	133	dexterity_v	1000	66	strength_v	4000	266	energy_v	3000	200
2407	0	403	2407	2734	100	10		1	4	2	1	514	vitality_v	2000	133	dexterity_v	1000	66	strength_v	4000	266	energy_v	3000	200
2408	0	404	2408	2735	100	10		1	4	2	1	519	vitality_v	2000	133	dexterity_v	1000	66	strength_v	4000	266	energy_v	3000	200
2721	0	401	2721	2736	100	10		1	4	2	1	544	vitality_v	2000	133	dexterity_v	1000	66	strength_v	4000	266	energy_v	3000	200
2409	0	301	2409	2737	100	10		1	3	2	1	417	vitality_v	2000	133	dexterity_v	2000	133	strength_v	3000	200	energy_v	3000	200
2410	0	303	2410	2738	100	10		1	3	2	1	413	vitality_v	2000	133	dexterity_v	2000	133	strength_v	3000	200	energy_v	3000	200
2411	0	304	2411	2739	100	10		1	3	2	1	423	vitality_v	2000	133	dexterity_v	2000	133	strength_v	3000	200	energy_v	3000	200
2722	0	302	2722	2740	100	10		1	3	2	1	446	vitality_v	2000	133	dexterity_v	2000	133	strength_v	3000	200	energy_v	3000	200
2412	0	501	2412	2741	100	10		1	5	2	1	621	vitality_v	2000	133	dexterity_v	3000	200	strength_v	3000	200	energy_v	2000	133
2413	0	502	2413	2742	100	10		1	5	2	1	624	vitality_v	2000	133	dexterity_v	3000	200	strength_v	3000	200	energy_v	2000	133
2414	0	503	2414	2743	100	10		1	5	2	1	626	vitality_v	2000	133	dexterity_v	3000	200	strength_v	3000	200	energy_v	2000	133
2723	0	504	2723	2744	100	10		1	5	2	1	647	vitality_v	2000	133	dexterity_v	3000	200	strength_v	3000	200	energy_v	2000	133
2415	0	602	2415	2745	100	10		1	6	2	1	730	vitality_v	2000	133	dexterity_v	2000	133	strength_v	2000	133	energy_v	4000	266
2416	0	603	2416	2746	100	10		1	6	2	1	732	vitality_v	2000	133	dexterity_v	2000	133	strength_v	2000	133	energy_v	4000	266
2417	0	604	2417	2747	100	10		1	6	2	1	734	vitality_v	2000	133	dexterity_v	2000	133	strength_v	2000	133	energy_v	4000	266
2724	0	601	2724	2748	100	10		1	6	2	1	749	vitality_v	2000	133	dexterity_v	2000	133	strength_v	2000	133	energy_v	4000	266
2713	0	701	2713	2751	100	10		1	7	2	1	292	vitality_v	5000	333	dexterity_v	1000	66	strength_v	2000	133	energy_v	2000	133
2714	0	702	2714	2752	100	10		1	7	2	1	293	vitality_v	5000	333	dexterity_v	1000	66	strength_v	2000	133	energy_v	2000	133
2715	0	703	2715	2753	100	10		1	7	2	1	294	vitality_v	5000	333	dexterity_v	1000	66	strength_v	2000	133	energy_v	2000	133
2749	0	704	2749	2754	100	10		1	7	2	1	296	vitality_v	5000	333	dexterity_v	1000	66	strength_v	2000	133	energy_v	2000	133
2716	0	801	2716	2755	100	10		1	8	2	1	861	vitality_v	3000	200	dexterity_v	3000	200	strength_v	1000	66	energy_v	3000	200
2717	0	802	2717	2756	100	10		1	8	2	1	862	vitality_v	3000	200	dexterity_v	3000	200	strength_v	1000	66	energy_v	3000	200
2718	0	803	2718	2757	100	10		1	8	2	1	863	vitality_v	3000	200	dexterity_v	3000	200	strength_v	1000	66	energy_v	3000	200
2750	0	804	2750	2758	100	10		1	8	2	1	864	vitality_v	3000	200	dexterity_v	3000	200	strength_v	1000	66	energy_v	3000	200
3267	0	901	3267	3275	100	10		1	9	2	1	4037	vitality_v	1000	66	dexterity_v	2000	133	strength_v	2000	133	energy_v	5000	333
3268	0	902	3268	3276	100	10		1	9	2	1	4038	vitality_v	1000	66	dexterity_v	2000	133	strength_v	2000	133	energy_v	5000	333
3269	0	903	3269	3277	100	10		1	9	2	1	4039	vitality_v	1000	66	dexterity_v	2000	133	strength_v	2000	133	energy_v	5000	333
3270	0	904	3270	3278	100	10		1	9	2	1	4041	vitality_v	1000	66	dexterity_v	2000	133	strength_v	2000	133	energy_v	5000	333
3271	0	1001	3271	3279	100	10		1	10	2	1	4133	vitality_v	3000	200	dexterity_v	4000	266	strength_v	1000	66	energy_v	2000	133
3272	0	1002	3272	3280	100	10		1	10	2	1	4135	vitality_v	3000	200	dexterity_v	4000	266	strength_v	1000	66	energy_v	2000	133
3273	0	1003	3273	3281	100	10		1	10	2	1	4136	vitality_v	3000	200	dexterity_v	4000	266	strength_v	1000	66	energy_v	2000	133
3274	0	1004	3274	3282	100	10		1	10	2	1	4138	vitality_v	3000	200	dexterity_v	4000	266	strength_v	1000	66	energy_v	2000	133
4021	0	1101	4021	4029	100	10		1	11	2	1	4238	vitality_v	2000	133	dexterity_v	5000	333	strength_v	2000	133	energy_v	1000	66
4022	0	1102	4022	4030	100	10		1	11	2	1	4239	vitality_v	2000	133	dexterity_v	5000	333	strength_v	2000	133	energy_v	1000	66
4023	0	1103	4023	4031	100	10		1	11	2	1	4240	vitality_v	2000	133	dexterity_v	5000	333	strength_v	2000	133	energy_v	1000	66
4024	0	1104	4024	4032	100	10		1	11	2	1	4242	vitality_v	2000	133	dexterity_v	5000	333	strength_v	2000	133	energy_v	1000	66
4025	0	1201	4025	4033	100	10		1	12	2	1	4362	vitality_v	1000	66	dexterity_v	2000	133	strength_v	5000	333	energy_v	2000	133
4026	0	1202	4026	4034	100	10		1	12	2	1	4363	vitality_v	1000	66	dexterity_v	2000	133	strength_v	5000	333	energy_v	2000	133
4027	0	1203	4027	4035	100	10		1	12	2	1	4364	vitality_v	1000	66	dexterity_v	2000	133	strength_v	5000	333	energy_v	2000	133
4028	0	1204	4028	4036	100	10		1	12	2	1	4365	vitality_v	1000	66	dexterity_v	2000	133	strength_v	5000	333	energy_v	2000	133
5201	0	1301	5201	5209	100	10		1	13	2	1	4441	vitality_v	2000	133	dexterity_v	2000	133	strength_v	4000	266	energy_v	2000	133
5202	0	1302	5202	5210	100	10		1	13	2	1	4442	vitality_v	2000	133	dexterity_v	2000	133	strength_v	4000	266	energy_v	2000	133
5203	0	1303	5203	5211	100	10		1	13	2	1	4444	vitality_v	2000	133	dexterity_v	2000	133	strength_v	4000	266	energy_v	2000	133
5204	0	1304	5204	5212	100	10		1	13	2	1	4445	vitality_v	2000	133	dexterity_v	2000	133	strength_v	4000	266	energy_v	2000	133
5205	0	1401	5205	5213	100	10		1	14	2	1	4551	vitality_v	4000	266	dexterity_v	3000	200	strength_v	2000	133	energy_v	1000	66
5206	0	1402	5206	5214	100	10		1	14	2	1	4552	vitality_v	4000	266	dexterity_v	3000	200	strength_v	2000	133	energy_v	1000	66
5207	0	1403	5207	5215	100	10		1	14	2	1	4554	vitality_v	4000	266	dexterity_v	3000	200	strength_v	2000	133	energy_v	1000	66
5208	0	1404	5208	5216	100	10		1	14	2	1	4556	vitality_v	4000	266	dexterity_v	3000	200	strength_v	2000	133	energy_v	1000	66
6675	0	1501	6675	6678	100	10		1	15	2	1	4637	vitality_v	3000	200	dexterity_v	2000	133	strength_v	3000	200	energy_v	2000	133
6674	0	1502	6674	6679	100	10		1	15	2	1	4640	vitality_v	3000	200	dexterity_v	2000	133	strength_v	3000	200	energy_v	2000	133
6676	0	1503	6676	6680	100	10		1	15	2	1	4643	vitality_v	3000	200	dexterity_v	2000	133	strength_v	3000	200	energy_v	2000	133
6677	0	1504	6677	6681	100	10		1	15	2	1	4646	vitality_v	3000	200	dexterity_v	2000	133	strength_v	3000	200	energy_v	2000	133
7520	0	1601	7520	7524	100	10		1	16	2	1	5037	vitality_v	4000	267	dexterity_v	1000	66	strength_v	4000	267	energy_v	1000	66
7521	0	1602	7521	7525	100	10		1	16	2	1	5040	vitality_v	4000	267	dexterity_v	1000	66	strength_v	4000	267	energy_v	1000	66
