UpgradeID	DESC	PlayerLevel	TimeFrame	BookLevel	BookSkillLevel	CostItem1	CostItemCount1	CostItem2	CostItemCount2
2398	初级秘籍·野蛮冲撞	60	OpenLevel69	100	10	2398	2	2424	200
2401	初级秘籍·血战八方	65	OpenLevel69	100	10	2401	2	2424	200
2719	初级秘籍·金钟罩	70	OpenLevel69	100	10	2719	2	2424	200
2402	初级秘籍·霸王怒吼	75	OpenLevel69	100	10	2402	2	2424	200
2720	初级秘籍·江海凝波	60	OpenLevel69	100	10	2720	2	2424	200
2403	初级秘籍·天舞宝轮	65	OpenLevel69	100	10	2403	2	2424	200
2404	初级秘籍·慈航普渡	70	OpenLevel69	100	10	2404	2	2424	200
2405	初级秘籍·白露凝霜	75	OpenLevel69	100	10	2405	2	2424	200
2409	初级秘籍·飞火流星	60	OpenLevel69	100	10	2409	2	2424	200
2722	初级秘籍·九耀连珠	65	OpenLevel69	100	10	2722	2	2424	200
2410	初级秘籍·火凤燎原	70	OpenLevel69	100	10	2410	2	2424	200
2411	初级秘籍·穿云破月	75	OpenLevel69	100	10	2411	2	2424	200
2721	初级秘籍·白虹贯日	60	OpenLevel69	100	10	2721	2	2424	200
2406	初级秘籍·七探蛇盘	65	OpenLevel69	100	10	2406	2	2424	200
2407	初级秘籍·斗转星移	70	OpenLevel69	100	10	2407	2	2424	200
2408	初级秘籍·风卷残云	75	OpenLevel69	100	10	2408	2	2424	200
2412	初级秘籍·无我无剑	60	OpenLevel69	100	10	2412	2	2424	200
2414	初级秘籍·天地无极	65	OpenLevel69	100	10	2414	2	2424	200
2413	初级秘籍·坐忘无我	70	OpenLevel69	100	10	2413	2	2424	200
2723	初级秘籍·人剑合一	75	OpenLevel69	100	10	2723	2	2424	200
2724	初级秘籍·死亡回旋	60	OpenLevel69	100	10	2724	2	2424	200
2415	初级秘籍·魔焰在天	65	OpenLevel69	100	10	2415	2	2424	200
2416	初级秘籍·血月之影	70	OpenLevel69	100	10	2416	2	2424	200
2417	初级秘籍·摄魂乱心	75	OpenLevel69	100	10	2417	2	2424	200
2713	初级秘籍·降龙棍	60	OpenLevel69	100	10	2713	2	2424	200
2714	初级秘籍·大力金刚指	65	OpenLevel69	100	10	2714	2	2424	200
2715	初级秘籍·金刚伏魔	70	OpenLevel69	100	10	2715	2	2424	200
2749	初级秘籍·十二擒龙手	75	OpenLevel69	100	10	2749	2	2424	200
2716	初级秘籍·璇玑罗舞	60	OpenLevel69	100	10	2716	2	2424	200
2717	初级秘籍·雨打梨花	65	OpenLevel69	100	10	2717	2	2424	200
2718	初级秘籍·召唤啵啵	70	OpenLevel69	100	10	2718	2	2424	200
2750	初级秘籍·冰踪无影	75	OpenLevel69	100	10	2750	2	2424	200
3267	初级秘籍·缠身刺	60	OpenLevel69	100	10	3267	2	2424	200
3268	初级秘籍·暴雨梨花	65	OpenLevel69	100	10	3268	2	2424	200
3269	初级秘籍·迷影纵	70	OpenLevel69	100	10	3269	2	2424	200
3270	初级秘籍·九宫飞星	75	OpenLevel69	100	10	3270	2	2424	200
3271	初级秘籍·仙人指路	60	OpenLevel69	100	10	3271	2	2424	200
3272	初级秘籍·啸风三连击	65	OpenLevel69	100	10	3272	2	2424	200
3273	初级秘籍·混沌剑阵	70	OpenLevel69	100	10	3273	2	2424	200
3274	初级秘籍·雷动九天	75	OpenLevel69	100	10	3274	2	2424	200
4021	初级秘籍·亢龙有悔	60	OpenLevel69	100	10	4021	2	2424	200
4022	初级秘籍·困龙功	65	OpenLevel69	100	10	4022	2	2424	200
