RankRoom	BeginNo	EndNo	NpcTeam	Award
1	1	1	1	3000
2	2	2	2	2500
3	3	3	3	2000
4	4	4	4	1950
5	5	5	5	1900
6	6	6	6	1800
7	7	7	7	1760
8	8	8	8	1720
9	9	9	9	1680
10	10	10	10	1640
11	11	11	11	1600
12	12	12	12	1580
13	13	13	13	1560
14	14	14	14	1540
15	15	15	15	1520
16	16	16	16	1500
17	17	17	17	1480
18	18	18	18	1460
19	19	19	19	1440
20	20	20	20	1420
21	21	23	21	1400
22	24	26	22	1390
23	27	29	23	1380
24	30	32	24	1370
25	33	35	25	1360
26	36	38	26	1350
27	39	41	27	1340
28	42	44	28	1330
29	45	47	29	1320
30	48	50	30	1310
31	51	55	31	1300
32	56	60	32	1290
33	61	65	33	1280
34	66	70	34	1270
35	71	75	35	1260
36	76	80	36	1250
37	81	85	37	1240
38	86	90	38	1230
39	91	95	39	1220
40	96	100	40	1210
41	101	105	41	1200
42	106	110	42	1190
43	111	115	43	1180
44	116	120	44	1170
45	121	125	45	1160
46	126	130	46	1150
47	131	135	47	1140
48	136	140	48	1130
49	141	145	49	1120
50	146	150	50	1110
51	151	160	51	1100
52	161	170	52	1090
53	171	180	53	1080
54	181	190	54	1070
55	191	200	55	1060
56	201	210	56	1050
57	211	220	57	1040
58	221	230	58	1030
59	231	240	59	1020
60	241	250	60	1010
61	251	265	61	1000
62	266	280	62	990
63	281	295	63	980
64	296	310	64	970
65	311	325	65	960
66	326	340	66	950
67	341	355	67	940
68	356	370	68	930
69	371	385	69	920
70	386	400	70	910
71	401	440	71	900
72	441	480	72	890
73	481	520	73	880
74	521	560	74	870
75	561	600	75	860
76	601	660	76	850
77	661	720	77	840
78	721	780	78	830
79	781	840	79	820
80	841	900	80	810
81	901	960	81	800
82	961	1020	82	790
83	1021	1080	83	780
84	1081	1140	84	770
85	1141	1200	85	760
86	1201	1280	86	750
87	1281	1360	87	740
88	1361	1440	88	730
89	1441	1520	89	720
90	1521	1600	90	710
91	1601	1680	91	700
92	1681	1760	92	690
93	1761	1840	93	680
94	1841	1920	94	670
95	1921	2000	95	660
96	2001	2100	96	650
97	2101	2200	97	640
98	2201	2300	98	630
99	2301	2400	99	620
100	2401	2500	100	610
101	2501	2525	101	600
102	2526	2550	102	595
103	2551	2575	103	590
104	2576	2600	104	585
105	2601	2625	105	580
106	2626	2650	106	575
107	2651	2675	107	570
108	2676	2700	108	565
109	2701	2725	109	560
110	2726	2750	110	555
111	2751	2775	111	550
112	2776	2800	112	545
113	2801	2825	113	540
114	2826	2850	114	535
115	2851	2875	115	530
116	2876	2900	116	525
117	2901	2925	117	520
118	2926	2950	118	515
119	2951	2975	119	510
120	2976	3000	120	505
