GuideId	LoginStart	SaveFinish	ActionType	Param	PointerOffset	DescType	DescInfo	FinishCheck	CheckParam
1	1	1	Commander	Ui("TopButton").pPanel:PlayUiAnimation("GuideBtnSkill", false, false, {});ChatMgr.PlayHelpVoice("Setting/NpcVoice/01-B.voice")				CheckAniFinish	TopButton|GuideBtnSkill
1			LockWnd			NpcDown	恭喜大侠升到[FFFE0D]4[-]级！新功能[FFFE0D]「技能」[-]开启了哦！快去升级和查看自己门派独特的武功招式吧！	CheckClickScreen	
2	1	1	Commander	Ui("TopButton").pPanel:PlayUiAnimation("GuideBtnLoginAward", false, false, {});ChatMgr.PlayHelpVoice("Setting/NpcVoice/02-A.voice")				CheckAniFinish	TopButton|GuideBtnLoginAward
2			LockWnd			NpcDown	恭喜大侠升到[FFFE0D]5[-]级！新功能[FFFE0D]「登录领奖」[-]开启了哦！快去领取第一份奖励吧！	CheckClickScreen	
3	1	1	Commander	Ui("TopButton").pPanel:PlayUiAnimation("GuideBtnCompanion", false, false, {});ChatMgr.PlayHelpVoice("Setting/NpcVoice/04-B.voice");				CheckAniFinish	TopButton|GuideBtnCompanion
3			LockWnd			NpcDown	恭喜大侠升到[FFFE0D]9[-]级！新功能[FFFE0D]「同伴」[-]开启了哦！快去看看和自己共同闯荡江湖的同伴吧！	CheckClickScreen	
4	1	1	Commander	Ui("TopButton").pPanel:PlayUiAnimation("GuideBtnActivity", false, false, {});ChatMgr.PlayHelpVoice("Setting/NpcVoice/03-B.voice")				CheckAniFinish	TopButton|GuideBtnActivity
4			LockWnd			NpcDown	恭喜大侠升到[FFFE0D]8[-]级！新功能[FFFE0D]「福利」[-]开启了哦！快去领取自己的专属福利吧！	CheckClickScreen	
5	1	1	Commander	Ui("TopButton").pPanel:PlayUiAnimation("GuideBtnSocial", false, false, {});ChatMgr.PlayHelpVoice("Setting/NpcVoice/05-B.voice")				CheckAniFinish	TopButton|GuideBtnSocial
5			LockWnd			NpcDown	恭喜大侠升到[FFFE0D]10[-]级！新功能[FFFE0D]「社交」[-]开启了哦！快去添加好友共闯武林吧！	CheckClickScreen	
