nLevel	MapTemplateId	X	Y
40	409	8638	12072
40	409	1408	8199
40	409	11795	4309
40	409	8629	8360
40	409	8703	10936
40	409	11791	10718
40	409	11198	12690
40	409	12395	8657
40	409	12159	6812
40	409	9268	4482
40	409	847	4558
40	409	4028	11296
40	409	1427	9664
40	409	8660	6757
40	409	10271	6641
40	409	11956	3396
40	409	6505	8431
40	409	6155	1883
50	419	14753	10407
50	419	12769	13371
50	419	4893	3531
50	419	11362	8205
50	419	11362	5891
50	419	9524	5019
50	419	12274	3060
50	419	6476	5134
50	419	4914	9038
50	419	9488	14216
50	419	6667	14142
50	419	11224	15063
70	420	1849	13958
70	420	1063	12093
70	420	8563	10547
70	420	9253	12425
70	420	12760	13732
70	420	14522	10533
70	420	13816	7813
70	420	14669	2734
70	420	5566	2782
70	420	2065	2087
70	420	2679	4988
70	420	2259	7991
70	420	12579	1898
90	421	8061	16435
90	421	9576	11780
90	421	4355	11901
90	421	4921	9355
90	421	7413	8809
90	421	15723	4696
90	421	15460	7192
90	421	15915	8659
90	421	11141	5138
90	421	7364	4670
90	421	4885	4278
90	421	4685	14559
90	421	13379	15829
90	421	13522	13283
90	421	17586	17049
90	421	16553	14493
90	421	15765	10800
90	421	11877	8533
