AwardID	Award	Rate	Level
1	Coin|600	4280	59
2	Coin|800	2790	59
3	Coin|1000	1500	59
4	Coin|2000	1000	59
5	Coin|3000	300	59
6	Coin|5000	100	59
7	Coin|10000	30	59
8	Coin|800	3250	69
9	Coin|1000	4450	69
10	Coin|2000	1600	69
11	Coin|3000	500	69
12	Coin|5000	150	69
13	Coin|10000	50	69
14	Coin|1000	4776	79
15	Coin|2000	3464	79
16	Coin|3000	1200	79
17	Coin|5000	400	79
18	Coin|10000	120	79
19	Coin|20000	40	79
20	Coin|1000	6270	89
21	Coin|2000	2200	89
22	Coin|3000	1000	89
23	Coin|5000	400	89
24	Coin|10000	100	89
25	Coin|20000	30	89
26	Coin|1000	5331	99
27	Coin|2000	3039	99
28	Coin|3000	1200	99
29	Coin|5000	300	99
30	Coin|10000	100	99
31	Coin|20000	30	99
32	Coin|1000	4615	109
33	Coin|2000	3755	109
34	Coin|3000	1200	109
35	Coin|5000	300	109
36	Coin|10000	100	109
37	Coin|20000	30	109
38	Coin|1000	4370	119
39	Coin|2000	4000	119
40	Coin|3000	1200	119
41	Coin|5000	300	119
42	Coin|10000	100	119
43	Coin|20000	30	119
