Level	SkillRate1	SkillRate2	SkillRate3	SkillRate4	SkillExtra1	SkillExtra2	SkillExtra3	SkillExtra4
1	50	40	1	31	100	150	200	250
2	51	41	2	32	101	151	201	251
3	52	42	3	33	102	152	202	252
4	53	43	4	34	103	153	203	253
5	54	44	5	35	104	154	204	254
6	55	45	6	36	105	155	205	255
7	56	46	7	37	106	156	206	256
8	57	47	8	38	107	157	207	257
9	58	48	9	39	108	158	208	258
10	59	49	10	40	109	159	209	259
11	60	50	11	41	110	160	210	260
12	61	51	12	42	111	161	211	261
13	62	52	13	43	112	162	212	262
14	63	53	14	44	113	163	213	263
15	64	54	15	45	114	164	214	264
16	65	55	16	46	115	165	215	265
17	66	56	17	47	116	166	216	266
18	67	57	18	48	117	167	217	267
19	68	58	19	49	118	168	218	268
20	69	59	20	50	119	169	219	269
21	70	60	21	51	120	170	220	270
22	71	61	22	52	121	171	221	271
23	72	62	23	53	122	172	222	272
24	73	63	24	54	123	173	223	273
25	74	64	25	55	124	174	224	274
26	75	65	26	56	125	175	225	275
27	76	66	27	57	126	176	226	276
28	77	67	28	58	127	177	227	277
29	78	68	29	59	128	178	228	278
30	79	69	30	60	129	179	229	279
