Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	AuraSkillId	AuraSkillLevel	ForbitMove	StartActEvent	TitleID	DropType	Tag	DefaultDialog	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	WalkSpeed	IsNotShowShadow	FixExperience	IsNotBYStealLife	SyncFirst	Sex
Partner_SSS_1	279	达摩	0	1			1267	732	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_1_Q	2175	达摩	0	1			12035	732	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_2	280	后羿	0	1			1	801	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_2_Q	2176	后羿	0	1			1	801	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_3	281	苏妲己	0	1			5131	802	997			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_3_Q	2177	苏妲己	0	1			5131	802	997			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_4	282	鬼谷子	0	1			6171	666	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_4_Q	2178	鬼谷子	0	1			10171	666	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_5	283	项羽	0	1			6173	665	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_5_Q	2179	项羽	0	1			10173	665	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_6	284	秦始皇	0	1			6136	660	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_6_Q	2180	秦始皇	0	1			10136	660	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_7	285	武则天	0	1			6205	722	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_7_Q	2181	武则天	0	1			10205	722	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_8	286	吕洞宾	0	1			1	801	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_8_Q	2182	吕洞宾	0	1			1	801	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_9	287	张三丰	0	1			6172	729	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_9_Q	2183	张三丰	0	1			10172	729	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
