Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	TitleID	AuraSkillId	AuraSkillLevel	StartActEvent	Tag	DropType	NameColor	DefaultDialog	WalkSpeed	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	IsNotBYStealLife	SyncFirst
Fb_Team_boss_1	51	卓非凡	0	1	FubenDeath		425				405	1496	1	91	1			1500	1500	Setting/Npc/Ai/teamfb/20fb_boss.ini			1	18	2								6										
Fb_Team_boss_2	56	张琳心	0	1	FubenDeath		461				405	1332	1	91	1			1500	1500	Setting/Npc/Ai/teamfb/40fb_boss.ini	1	Setting/Npc/DropFile/TeamFuben/zhanglinxin.tab	1	20	2							1	6										
Fb_Team_boss_3	61	南宫灭	0	1	FubenDeath		129				405	21	1	91	1			1500	1500	Setting/Npc/Ai/random/nangongmie.ini	1	Setting/Npc/DropFile/TeamFuben/nangongmie.tab	1	18	2							1	6										
Fb_Team_boss_4	66	黑熊	0	1	FubenDeath		630				405	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2								6										
Fb_Team_leader_1	959	紫轩	0	1	FubenDeath		408				404	1468	1	91	1	2466	1	1500	1500	Setting/Npc/Ai/teamfb/20fb_sl1.ini			1	17	2								5										
Fb_Team_leader_2	960	蔷薇	0	1	FubenDeath		454				404	167	1	91	1	2466	1	1500	1500	Setting/Npc/Ai/random/qiangwei.ini			1	18	2								5										
Fb_Team_leader_3	961	张如梦	0	1	FubenDeath		409				404	1340	1	91	1	2466	1	1500	1500	Setting/Npc/Ai/teamfb/20fb_sl2.ini			1	18	2								5										
Fb_Team_leader_4	962	南宫彩虹	0	1	FubenDeath		455				404	1335	1	91	1	2466	1	1500	1500	Setting/Npc/Ai/teamfb/20fb_boss.ini			1	18	2								5										
Fb_Team_leader_5	963	张风	0	1	FubenDeath		452				404	2923	1	91	1			1500	1500	Setting/Npc/Ai/random/zhangfeng.ini	1	Setting/Npc/DropFile/TeamFuben/zhangfeng.tab	1	18	2							1	5										
Fb_Team_leader_6	964	方勉	0	1	FubenDeath		464				404	2922	1	91	1			600	600	Setting/Npc/Ai/teamfb/fangmian.ini	1	Setting/Npc/DropFile/TeamFuben/fangmian.tab	1	18	2							1	5										
Fb_Team_leader_7	965	黑熊	0	1	FubenDeath		116				404	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1								5										
Fb_Team_leader_8	966	黑熊	0	1	FubenDeath		116				404	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1								5										
Fb_Team_xiyou_1	1492	月明瑶	0	0	FubenDeath		118				405	21	1	2382	1	2455	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	2								6										
Fb_Team_xiyou_2	1493	封玉书	0	1	FubenDeath		478				405	2951	1	91	1			1500	1500	Setting/Npc/Ai/teamfb/40fb_xiyou.ini	1	Setting/Npc/DropFile/TeamFuben/fengyushu.tab	1	20	2							1	6										
Fb_Team_xiyou_3	1494	曲霞	0	0	FubenDeath		1106				405	21	1	2382	1	2455	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	1								5										
Fb_Team_xiyou_4	1495	黑熊	0	1	FubenDeath		116				405	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2								6										
Fb_Team_enemy_1	967	庄丁	0	1	FubenDeath		101				401	21	1					1000	1000	Setting/Npc/Ai/CommonActive.ini			1	18	1								1										
Fb_Team_enemy_2	968	庄丁头目	0	1	FubenDeath		142				403	166	1	1518	1			1000	1000	Setting/Npc/Ai/CommonActive.ini			1	18	1			1533	1				3										
Fb_Team_enemy_3	969	山庄护卫	0	1	FubenDeath		120				401	167	1					1000	1000	Setting/Npc/Ai/CommonActive.ini			1	20	1								1										
Fb_Team_enemy_4	970	山庄高手	0	1	FubenDeath		155				403	168	1	1518	1			1000	1000	Setting/Npc/Ai/teamfb/20fb_jy1.ini			1	18	1								3										
Fb_Team_enemy_5	971	武林人士	0	1	FubenDeath		174				401	169	1					1000	1000	Setting/Npc/Ai/CommonActive.ini			1	18	1								1										
Fb_Team_enemy_6	972	武林高手	0	1	FubenDeath		174				403	23	1	1518	1			1000	1000	Setting/Npc/Ai/teamfb/20fb_jy2.ini			1	20	1								3										
Fb_Team_enemy_7	973	武林高手	0	1	FubenDeath		174				403	23	1	1518	1			1000	1000	Setting/Npc/Ai/teamfb/20fb_jy2.ini			1	20	1			2404	1				3										
Fb_Team_enemy_8	974	武林高手	0	1	FubenDeath		174				403	23	1	1518	1			1000	1000	Setting/Npc/Ai/teamfb/20fb_jy2.ini			1	20	1			1535	1				3										
Fb_Team_enemy_9	975	藏剑弟子	0	1	FubenDeath		135				401	22	1					1000	1000	Setting/Npc/Ai/CommonActive.ini			1	18	1								1										
Fb_Team_enemy_10	976	藏剑精英	0	1	FubenDeath		135				403	37	1	1518	1			1000	1000	Setting/Npc/Ai/teamfb/20fb_jy3.ini			1	18	1								3										
Fb_Team_enemy_11	977	金兵	0	1	FubenDeath		180				401	21	1					1000	1000	Setting/Npc/Ai/CommonActive.ini			1	18	1								1										
Fb_Team_enemy_12	978	百夫长	0	1	FubenDeath		181				403	23	1	1518	1			1000	1000	Setting/Npc/Ai/teamfb/20fb_jy4.ini			1	18	1								3										
Fb_Team_enemy_13	958	弩车	0	1	FubenDeath		480	995			400	1498	1	1518	1			1000	1000	Setting/Npc/Ai/CommonActive.ini			1	18	1								5										
Fb_Team_enemy_14	957	弩车	2	0	AddBuffer	1,开启中,2215,1,200	480	995			402	182	1	1500	1			1000	1000	Setting/Npc/Ai/CommonActive.ini			1	0	1								5										
