Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	AuraSkillId	AuraSkillLevel	TitleID	BigFaceID	DefaultDialog	DropType	ForbitMove	StartActEvent	Tag	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	WalkSpeed	IsNotShowShadow	FixExperience	SyncFirst	IsNotBYStealLife	Sex
Field_Header_1_1	115	寒玉鹿王	0	1	BossLeader		28	9009	10	602	153	1	82	1	195	1			Setting/Npc/Ai/fieldboss/20leader_luwang.ini			1	25	2																		1		
Field_Header_1_2	116	大地狼王	0	1	BossLeader		29	9010	10	602	146	1	82	1	195	1			Setting/Npc/Ai/fieldboss/20leader_langwang.ini			1	25	2																		1		
Field_Header_lv20_3	1455	白眉猴王	0	1	BossLeader		35	9012	10	602	153	1	82	1	195	1			Setting/Npc/Ai/fieldboss/20leader_langwang.ini			1	25	2																		1		
Field_Header_1_3	117	奔焰豹王	0	1	BossLeader		30	9011	10	602	157	1	82	1	195	1			Setting/Npc/Ai/fieldboss/20leader_baowang.ini			1	25	2																		1		
Field_Header_1_4	118	九尾狐王	0	1	BossLeader		26	9008	10	602	160	1	82	1	195	1			Setting/Npc/Ai/fieldboss/20leader_huwang.ini			1	25	2																		1		
Field_Header_1_40_3	1456	双首异兽	0	1	BossLeader		34	9013	10	602	160	1	82	1	195	1			Setting/Npc/Ai/fieldboss/20leader_huwang.ini			1	25	2																		1		
Field_Header_2_1	119	定海金刚	0	1	BossLeader		40	9020	10	602	153	1	82	1	195	1			Setting/Npc/Ai/fieldboss/20leader_baowang.ini			1	25	2																		1		
Field_Header_2_2	120	金翅鹏皇	0	1	BossLeader		36	9021	10	602	160	1	82	1	195	1			Setting/Npc/Ai/fieldboss/20leader_huwang.ini			1	25	2																		1		
Field_Header_2_3	121	银角犀皇	0	1	BossLeader		38	9022	10	602	153	1	82	1	195	1			Setting/Npc/Ai/fieldboss/20leader_luwang.ini			1	25	2																		1		
Field_Header_lv80_1	1997	赤睛虎皇	0	1	BossLeader		39	9024	10	602	3346	1	82	1	195	1			Setting/Npc/Ai/fieldboss/80leader_huhuang.ini			1	25	2																		1		
Field_Header_lv80_2	1998	撼天熊皇	0	1	BossLeader		37	9023	10	602	3353	1	82	1	195	1			Setting/Npc/Ai/fieldboss/80leader_xionghuang.ini			1	25	2																		1		
Field_Header_lv80_3	1999	紫背鳄皇	0	1	BossLeader		41	9025	10	602	3356	1	82	1	195	1			Setting/Npc/Ai/fieldboss/80leader_ehuang.ini			1	25	2																		1		
Field_Header_lv100_1	2217	冰鳞蜥皇	0	1	BossLeader		42	9026	10	602	3681	1	82	1	195	1			Setting/Npc/Ai/fieldboss/100leader_xihuang.ini			1	25	2																		1		
Field_Header_lv100_2	2218	银钩蝎皇	0	1	BossLeader		43	9027	10	602	3687	1	82	1	195	1			Setting/Npc/Ai/fieldboss/100leader_xiehuang.ini			1	25	2																		1		
Field_Header_lv100_3	2219	狂鬃獒皇	0	1	BossLeader		44	9028	10	602	3691	1	82	1	195	1			Setting/Npc/Ai/fieldboss/100leader_aohuang.ini			1	25	2																		1		
Field_Header_lv120_1	2805	巨螯蜂后	0	1	BossLeader		45	9043	10	602	3687	1	82	1	195	1			Setting/Npc/Ai/fieldboss/100leader_xiehuang.ini			1	25	2																		1		
Field_Header_lv120_2	2806	龙纹狮王	0	1	BossLeader		46	9042	10	602	3691	1	82	1	195	1			Setting/Npc/Ai/fieldboss/100leader_aohuang.ini			1	25	2																		1		
Field_Header_lv140_1	3318	万毒棘皇	0	1	BossLeader		714	9048	10	602	3687	1	82	1	195	1			Setting/Npc/Ai/fieldboss/100leader_xiehuang.ini			1	25	2																		1		
Field_Header_lv140_2	3319	玄冰貂皇	0	1	BossLeader		713	9049	10	602	3691	1	82	1	195	1			Setting/Npc/Ai/fieldboss/100leader_xihuang.ini			1	25	2																		1		
Field_Header_lv160_1	3754	磐石牛王	0	1	BossLeader		734	9050	10	602	153	1	82	1	195	1			Setting/Npc/Ai/fieldboss/20leader_langwang.ini			1	25	2																		1		
