Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	DefaultDialog	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	TitleID	AuraSkillId	AuraSkillLevel	StartActEvent	Tag	DropType	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	IsNotBYStealLife	SyncFirst	Sex
Birthplace_npc1	413	纳兰真	2	1	ClientTaskNpc		177	13	113	今日你到访，我才惊觉在这岛上已过了十多个年头。		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc2	414	小殷方	2	1	ClientTaskNpc		125	208	308	总有一日，我要成为顶天立地的大侠！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc3	415	杨影枫	2	1	ClientTaskNpc		1101	225	325	为求天下第一，便是没了这条命，又算得什么？		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc4	416	纳兰潜凛	2	1	ClientTaskNpc		187	212	312	心若不静，则万物皆躁，行事需三思。		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc5	417	胡神医	2	1			5022	223	323	忘忧岛可真是个宝库啊，真儿也是个学医的好胚子，也不知道怎么就看上了那个臭小子！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc6	418	纳兰真	2	1			177	13	113	希望杨大哥的身体能够快些好起来。		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc7	578	小殷方	2	1			125	208	308	要名扬天下，自然是要学剑！呃，杨大哥你别误会，我不是说你……		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc8	419	杨影枫	2	1			1101	225	325	江湖险恶，人心难测，唉，		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc9	954	纳兰潜凛	2	1			187	212	312	真儿性格外柔内刚，常言道嫁出去的女儿，泼出去的水，这都尚未……唉！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc11	956	猎鹰	5	1			147					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Birthplace_npc12	1080	纳兰真	0	1			177	13	113	今日你到访，我才惊觉在这岛上已过了十多个年头。		1	21	1							Setting/Npc/Ai/partner/FellowCommon.ini			0	40	3																		
Birthplace_npc13	1081	杨影枫	0	1			1101	225	325	为求天下第一，便是没了这条命，又算得什么？		1	56	1							Setting/Npc/Ai/partner/FellowCommon.ini			0	30	3																		
Birthplace_npc14	1277	重伤的杨影枫	4	1			457	225	325			1	56	1							Setting/Npc/Ai/partner/FellowCommon.ini			0	30	3																		
Birthplace_npc15	1278	恶徒	2	1			123		993	大哥！您真是勇猛英俊！天下罕见！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Birthplace_npc10	955	赤心花	2	1	TaskNpc	14|3|采集中...	323					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_syy_caiji_caoyao	1276	紫澜草	2	1	TaskNpc	45|3|采集中...	448					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
House_caiji_caoyao	2213	紫澜草	2	1	TaskNpc	3104|3|采集中...	448					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_qicaixiaohua	2732	七彩小花	2	1	TaskNpc	3258|3|采集中...	448					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_syy_caiji_xiangzi1	1284	货物箱	2	1	TaskNpc	25|3|采集中...	446					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_syy_caiji_xiangzi2	1285	货物箱	2	1	TaskNpc	24|3|采集中...	446					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_xsd_caiji_guozi	1252	果子	2	1	TaskNpc	312|3|采集中...	328					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_wys_caiji_guozi	1349	果子	2	1	TaskNpc	76|3|采集中...	328					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_jiangguo	2733	浆果	2	1	TaskNpc	3276|3|采集中...	328					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_caiji_muchai	1273	木柴	2	1	TaskNpc	74|3|采集中...	445					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
House_caiji_muchai	2214	木头堆	2	1	TaskNpc	3102|3|采集中...	445					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_hsmd_caiji_muchai	1274	木柴	2	1	TaskNpc	264|3|采集中...	445					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_hsmd_caiji_guozi	1275	果子	2	1	TaskNpc	283|3|采集中...	440					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_Syy_npc4	722	紫澜花	2	1	TaskNpc	45|3|采集中...	323					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_dth_caiji_xianjing	1280	虚掩的帽子	4	1			450					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3						NoTurn												
Task_scene_guozi	1262	果堆	4	1			447					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Task_scene_luoye	1264	落叶堆	4	1			444					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Task_scene_yifu	1266	散落的衣服	4	1			449					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Task_scene_zuji	1272	足迹	4	1			441					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Task_scene_biaoji1	1267	路标	4	1			442					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Task_scene_biaoji2	1268	路标	4	1			443					1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Task_Client_lq	1160	卢青	2	1	ClientTaskNpc		1121		993	不知掌门师兄如今怎么样了……		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Task_Client_qiaofu	1163	樵夫	2	1	ClientTaskNpc		173		993	要问路来找我就对了！		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Task_Client_wydz	1165	武夷派弟子	2	1	ClientTaskNpc		169		993	有朝一日，我要光复武夷剑派！		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Task_Client_zhanglin	1166	张林	2	1	ClientTaskNpc		135		993	兴衰一时，如今时过境迁，唉，竟有唏嘘之感。		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Task_Client_zhaoqiniang	1169	赵七娘	2	1	ClientTaskNpc		184		993	幸亏老娘当年有眼光，选了我家老周！		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Task_Client_zhoumujiang	1170	周木匠	2	1	ClientTaskNpc		142		993	唉，但愿有情人终成眷属吧！		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
Task_Client_zhouxiaofu	1173	周小富	2	1	ClientTaskNpc		134		993	筱蔷，你放心，就算其他人都反对我们！我也一定会娶你回家的！		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	3																		
