Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	TitleID	AuraSkillId	AuraSkillLevel	StartActEvent	Tag	DropType	DefaultDialog	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	IsNotBYStealLife	SyncFirst	Sex
Fb_boss_1	1	萧动尘	0	1	FubenDeath		14	229	329		216	1335	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss6.ini			1	20	2										4									
Fb_leader_1	2	单晶晶	0	1	FubenDeath		102	200	300		217	21	1	91	1			1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																			
Fb_enemy_1_1	3	红衣壮汉	0	1	FubenDeath		101	200	300		211	21	1	91	1			1000	1500	Setting/Npc/Ai/CommonActive.ini			1	20	2																			
Fb_enemy_1_2	4	金钱豹	0	1	FubenDeath		111	200	300		211	22	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																			
Fb_enemy_1_3	5	烈焰骷髅	0	1	FubenDeath		317	200	300		215	90	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss1.ini			1	20	2									8	4									
Fb_boss_2	6	姬御天	0	1	FubenDeath		13	200	300		217	1319	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss2.ini			1	20	2																			
Fb_leader_2	7	顾少游	0	1	FubenDeath		11	200	300		217	176	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss13.ini			1	20	2																			
Fb_enemy_2_1	8	猛虎	0	1	FubenDeath		114	200	300		211	22	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1										1									
Fb_enemy_2_2	9	猴子	0	1	FubenDeath		117	200	300		211	22	1					1000	1500	Setting/Npc/Ai/RangeActive.ini			1	15	1										1									
Fb_enemy_2_3	10	猴子精英	0	1	FubenDeath		117	200	300		213	22	1					1000	1500	Setting/Npc/Ai/CommonSkill.ini			1	15	1										3									
Fb_boss_3	11	公输铃	0	1	FubenDeath		318	9	109		217	1317	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss3.ini			1	20	2																			
Fb_leader_3	12	叶雨柔	0	1	FubenDeath		131	200	300		217	1374	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss11.ini			1	20	2																			
Fb_enemy_3_1	13	灰狼	0	1	FubenDeath		115	200	300		211	22	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1										1									
Fb_enemy_3_2	14	红衣剑侍	0	1	FubenDeath		104	200	300		211	40	1					1000	1500	Setting/Npc/Ai/RangeActive.ini			1	15	1					900001														
Fb_enemy_3_3	15	红衣剑客	0	1	FubenDeath		135	200	300		211	1386	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1										1									
Fb_boss_4	16	红衣小萝莉	0	1	FubenDeath		104	200	300		217	40	1					1000	1500	Setting/Npc/Ai/RangeActive.ini			1	15	1					900001														
Fb_leader_4	17	红缨侍	0	1	FubenDeath		318	9	109		211	21	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																			
Fb_enemy_4_1	18	紫色蝎子	0	1	FubenDeath		109	200	300		211	21	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																			
Fb_enemy_4_2	19	火狐	0	1	FubenDeath		110	200	300		211	22	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																			
Fb_enemy_4_3	20	蜘蛛	0	1	FubenDeath		112	200	300		212	181	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1										1									
Fb_boss_5	21	慕容越	0	1	FubenDeath		12	200	300		215	1349	1	91	1			1000	1500	Setting/Npc/Ai/fuben/Boss7.ini			1	20	2										4									
Fb_leader_5	22	灰狼精英	0	1	FubenDeath		115	200	300		214	22	1					1000	1500	Setting/Npc/Ai/CommonSkill.ini			1	15	1										3									
Fb_enemy_5_1	23	逍遥派弟子	0	0	FubenDeath		120	200	300		211	21	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1																			
Fb_enemy_5_2	24	东瀛忍者	0	1	FubenDeath		124	200	300		211	40	1					1000	1500	Setting/Npc/Ai/RangeActive.ini			1	15	1					900001														
Fb_enemy_5_3	25	江湖草莽	0	1	FubenDeath		123	200	300		211	166	1					1000	1500	Setting/Npc/Ai/CommonActive.ini			1	15	1										1									
