nNpcTemplateId	Name
274	
273	
650	
651	
638	
674	
675	
676	
957	弩车—组队秘境
1643	玄天武机—组队秘境
1258	
727	
1201	
933	
934	
935	
936	
937	
938	
939	
940	
435	
187	
1421	
148	血牡丹
149	叶上珠
150	银线草
151	紫蔷薇
152	地灵根
153	天香果
154	血风藤
155	虞美人
156	曼珠沙华
157	曼陀罗
158	金桑叶
159	百年朱果
1831	洗髓岛NPC
1829	擂台接引人
1830	擂台报名人
1840	家族庆典宝箱
1879	秦始皇陵宝箱
1966	纳兰潜凛
1967	纳兰真
1968	独孤剑
1969	张琳心
1970	南宫飞云
1971	燕若雪
1972	孟知秋
1973	月眉儿
1974	杨影枫
1975	蔷薇
1976	张如梦
1977	南宫彩虹
1978	卓非凡
1979	紫轩
1980	柴嵩
1981	杨瑛
1982	胡神医
1983	秋依水
1984	万金财
1985	虞姬
2101	心魔幻境_心魔幻象
1994	心魔幻境_宝箱
1987	心魔幻境_商人
2130	神奇雪人
2131	神奇雪人
2132	神奇雪人
2133	神奇雪人
2135	神奇雪人
2136	冰原陷阱
2137	冰原陷阱
2138	冰原陷阱
2139	冰原陷阱
2140	冰原陷阱
2141	雪原神符
2142	雪原神符
2143	雪原神符
2144	雪原神符
2121	柔弱的雪人
2151	顽强的雪人
2152	普通的雪人
2153	精致的雪人
2154	巨大的雪人
2155	壮观的雪人
2156	超级大雪人
631	燕若雪
95	情人节
2198	赤心花
2206	植树节许愿树
2207	植树节许愿树
2208	植树节许愿树
2209	植树节许愿树
2210	植树节许愿树
2211	植树节许愿树
2212	植树节许愿树
2257	清明节石碑
2199	毒蜂
2200	毒蜂
2201	伴生草
2202	精致的小箱子
2311	代言人活动树
2317	绝情龙柱
622	紫轩
2423	邪火
2477	机关
2494	雷电机关
2397	喜糖盒
2398	同心果
2537	姻缘美满
2538	喜庆满堂
2539	花好月圆
2540	永结连理
2541	百年好合
2542	姻缘美满
2543	喜庆满堂
2544	花好月圆
2545	永结连理
2546	百年好合
2547	姻缘美满
2548	喜庆满堂
2549	花好月圆
2550	永结连理
2551	百年好合
2371	月老
2535	月老
2372	红娘
2373	凤囍
2578	《大学》
2579	《论语》
2580	《中庸》
2581	《孟子》
2582	《孔子》
2583	《平庸》
2584	《中学》
2585	《小学》
2586	《老子》
2587	《孙子兵法》
2588	《诗经》
2589	《尚书》
2590	《礼记》
2591	《周易》
2592	《春秋》
2593	《战国策》
2594	《小雅》
2595	《离骚》
2596	《左传》
2597	《史记》
2598	礼
2599	乐
2600	射
2601	御
2602	书
2603	数
2604	骑
2605	琴
2606	画
2607	棋
2647	机关
2641	机关
2653	怒气机关
2779	军资官
2794	木材
2802	物资
2808	止血草
2809	浆果
2810	火华果
2814	武器架
2873	灯笼
2847	王座
2185	年兽宝箱
2882	机关
2885	门派之力
2886	初级装备强化
2887	中级装备强化
2888	高级装备强化
2889	初级秘籍
2890	中级秘籍
2891	高级秘籍
2892	金创药
2893	回天丹
2894	附魔·初级攻击
2895	附魔·中级攻击
2896	附魔·高级攻击
2916	附魔·初级防御
2917	附魔·中级防御
2918	附魔·高级防御
2934	附魔·初级控制
2935	附魔·中级控制
2936	附魔·高级控制
2897	初级行囊
2898	高级行囊
2899	坐骑
2902	隐身技能
2903	陷阱技能
2937	复活石
2938	金创药
2944	桃花瓣
2956	掉落宝箱
2957	宝箱
2959	宝箱
2961	宝箱
2962	巨型宝箱
3204	餐桌
3205	马铃薯
3206	野菜
3207	鲫鱼
3208	莲藕
3236	松木桌子
3237	普通桌子
3286	酒坛
3348	仙芝·金
3349	仙芝·木
3350	仙芝·水
3351	仙芝·火
3352	仙芝·土
3417	韭菜
3418	鸡蛋
3419	牛肉
3420	芹菜
3421	冬笋
3422	香菇
3423	各式饺子
3416	公孙惜花
3430	元宵花灯
3431	元宵
3707	昆仑雪
3708	昆仑玄水
3709	昆仑玄水
3710	昆仑玄水
3711	昆仑玄水
3712	天火牢笼
3713	齿轮
3714	轴承
3715	水莲
3716	盔甲
3717	玄武机甲
3734	天龙珠
3687	王座
3756	水
3757	水
3758	菜
3759	菜
3760	鸡蛋
3761	鸡蛋
3762	香菇
3763	香菇
3764	辣椒
3765	辣椒
3766	银耳
3767	银耳
3768	鱼篓
3769	鱼篓
3770	鱼篓
3771	鱼篓
3772	鱼篓
3773	鱼篓
3774	鱼篓
3775	鱼篓
3776	鱼篓
3777	鱼篓
3778	鱼篓
3779	鱼篓
3780	鱼篓
3781	鱼篓
3782	鱼篓
3783	鱼篓
