Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	DefaultDialog	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	TitleID	AuraSkillId	AuraSkillLevel	StartActEvent	Tag	DropType	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	SyncFirst	IsNotBYStealLife	Sex
wlds_gate	2788	城门	0	0	FieldMapNpc		504	200	994			1001			91	1	105	1	1500	1500	Setting/Npc/Ai/Stay.ini			0	20	2	1															1	1	
wlds_longzhu_sun	2789	乾清龙柱	0	0	FieldMapNpc		499	200	994			1008			91	1	105	1	1500	1500	Setting/Npc/Ai/Stay.ini			1	20	2	1															1	1	
wlds_longzhu_moon	2790	坤宁龙柱	0	0	FieldMapNpc		498	200	994			1008			91	1	105	1	1500	1500	Setting/Npc/Ai/Stay.ini			1	20	2	1															1	1	
wlds_jinbing	2791	金兵先锋	0	1	FieldMapNpc		1127	200	300		50	611	23	1	200	1			1500	1500	Setting/Npc/Ai/wulindashi/soldier.ini			1	18	1																		
wlds_songbing	2792	宋兵	0	0	FieldMapNpc		1126	200	300		50	611	166	1	200	1			1500	1500	Setting/Npc/Ai/wulindashi/soldier.ini			1	18	1																		
wlds_gongjiang	2793	工匠	2	1			142	200	300			611									Setting/Npc/Ai/Stay.ini			1	18	3																		
wlds_mucai	2794	木材	2	1	TaskNpc	2605|3|收集中...	445	992	300			1001							560	980	Setting/Npc/Ai/Stay.ini			1	17	3	1					NoTurn										1		
wlds_jinbing2	2796	攻城金兵	0	1	FieldMapNpc		1127	200	300		50	611	23	1	200	1			1500	1500	Setting/Npc/Ai/wulindashi/soldier.ini			1	18	1																		
wlds_songbing2	2795	宋兵	0	0	FieldMapNpc		1126	200	300		50	611	166	1	200	1			1500	1500	Setting/Npc/Ai/wulindashi/soldier.ini			1	18	1																		
wlds_longzhu_sun2	2797	乾清龙柱	0	0	FieldMapNpc		499	200	994			1008			91	1	105	1	1500	1500	Setting/Npc/Ai/Stay.ini			1	20	2	1															1	1	
wlds_longzhu_moon2	2798	坤宁龙柱	0	0	FieldMapNpc		498	200	994			1009			91	1	105	1	1500	1500	Setting/Npc/Ai/Stay.ini			1	20	2	1															1	1	
wlds_boss_n	2799	北院大王	0	1	FieldMapNpc		180	200	300			216	23	1	91	1	3967	8	1500	1500	Setting/Npc/Ai/fuben/xinshouboss.ini			1	20	2									4									
wlds_boss_s	2800	南院大王	0	1	FubenDeath		180	200	300			216	23	1	91	1	3967	8	1500	1500	Setting/Npc/Ai/fuben/xinshouboss.ini			1	20	2									4									
wlds_zhanche	2801	攻城车	0	1	FieldMapNpc		506	200	300		300	611			91	1	105	1	1500	1500	Setting/Npc/Ai/Stay.ini			0	20	1	1																	
wlds_muxiang	2802	物资	2	1	TaskNpc	2600|3|收集中...	446	992	300			1001							560	980	Setting/Npc/Ai/Stay.ini			1	17	3	1					NoTurn										1		
wlds_jinbing3	2803	金兵3	0	1	FieldMapNpc		1127	200	300		300	611	23	1	200	1			1500	1500	Setting/Npc/Ai/wulindashi/soldier.ini			1	18	1																		
wlds_jinbing4	2804	南院卫兵	0	1	FieldMapNpc		1127	200	300			212	23	1	200	1			1500	1500	Setting/Npc/Ai/wulindashi/soldier.ini			1	18	1																		
wlds_baifuzhang	2807	百夫长	0	1	FieldMapNpc		181	200	300		300	612	23	1	200	1			1500	1500	Setting/Npc/Ai/wulindashi/soldier.ini			1	18	2									3									
