Name	TabFile
NpcTemplate	Setting/Npc/NpcTemplate.tab
NpcTemplate	Setting/Npc/Character.tab
NpcTemplate	Setting/Npc/Npc_Partner.tab
NpcTemplate	Setting/Npc/Field_HeaderBoss.tab
NpcTemplate	Setting/Npc/NpcCommerce.tab
NpcTemplate	Setting/Npc/Npc_BattleField.tab
NpcTemplate	Setting/Npc/Npc_RandomFuben.tab
NpcTemplate	Setting/Npc/Npc_TeamFuben.tab
NpcTemplate	Setting/Npc/Npc_PersonalFuben.tab
NpcTemplate	Setting/Npc/Npc_qymj.tab
NpcTemplate	Setting/Npc/Npc_Show.tab
NpcTemplate	Setting/Npc/Npc_bht.tab
NpcTemplate	Setting/Npc/Npc_Task.tab
NpcTemplate	Setting/Npc/Npc_FactionBattle.tab
NpcTemplate	Setting/Npc/Npc_yunbiao.tab
NPcTemplate	Setting/Npc/Npc_KinFuben.tab
NPcTemplate	Setting/Npc/Npc_JHSL.tab
NPcTemplate	Setting/Npc/Npc_ImperialTomb.tab
NPcTemplate	Setting/Npc/Npc_Activity.tab
NPcTemplate	Setting/Npc/Npc_IndifferBattle.tab
NPcTemplate	Setting/Npc/Npc_wlds.tab
NPcTemplate	Setting/Npc/Npc_PartnerGuest.tab
NPcTemplate	Setting/Npc/NpcKinDinnerParty.tab
NPcTemplate	Setting/Npc/Npc_LoveTaskFuben.tab
NPcTemplate	Setting/Npc/Npc_DomainBattle.tab
NPcTemplate	Setting/Npc/Npc_JueZhanRandomFuben.tab
