Index	TemplateID	Name	Content	MapID	IntervalMin	IntervalMax	Duration	Distance	ActID	Action	Desc	nSoundId
citynpc1	626	玄天道人-城市	道可道，非常道，名可名，非恒名。	10	10	15	3	3				
citynpc1	626	玄天道人-城市	「武道德经」出世，只怕武林又要掀起一场腥风血雨……	10	10	15	3	3		3	die	
citynpc2	621	张琳心-城市	唉，哥哥整日如此颓废，要怎么劝他才好呢？	10	10	15	3	3		5	bat	
citynpc2	621	张琳心-城市	哼哼，我一定要将那个采花贼绳之于法！	10	10	15	3	3		6	qg	
citynpc2	621	张琳心-城市	咦，那个白衣青年剑客看上去好像我哥哥。	10	10	15	3	3		7	sta	
citynpc3	97	月眉儿-城市	啧啧啧，最近江湖中的恶徒倒是很不安分啊，不知你可愿意前去惩恶？	10	10	15	3	3		8	bat	
citynpc3	97	月眉儿-城市	比武比武，天天便知道打打杀杀，都是一介武夫！光靠武功能让我「飞龙堡」成为「御下三盟」吗？	10	10	15	3	3				
citynpc3	97	月眉儿-城市	看什么看？再看就把你抓走！	10	10	15	3	3	16	9	bat	
citynpc4	90	纳兰真-城市	比起你名扬武林，武功绝世，我更愿你一生平安……	10	10	15	3	3		15	at	
citynpc4	90	纳兰真-城市	襄阳城比离忧岛繁华千倍百倍，为何我却更思念那儿？	10	10	15	3	3		16	at01	
citynpc4	90	纳兰真-城市	这里人好多…路也好多…唉，可千万莫要迷了路才好…	10	10	15	3	3		17	at02	
citynpc5	622	紫轩-城市	客官，可有中意的伞？要挑一柄么？	10	10	15	3	3		18	at03	
citynpc5	622	紫轩-城市	杨大哥，对不起……是我对不起你……	10	10	15	3	3		19	at04	
citynpc5	622	紫轩-城市	伞可遮风挡雨，却不能遮丑……卓大哥，你这又是何苦呢？	10	10	15	3	3		20	jfd	
citynpc7	623	小李子-城市	哇咔咔，襄阳城真大！太棒了！臭老爹终于肯放我出来玩了！	10	10	15	3	3		21	jn01	
citynpc7	623	小李子-城市	咦？那个拿扇子的英俊青年，剑气逼人，看上去武功很高啊！	10	10	15	3	3		22	jn02	
citynpc7	623	小李子-城市	哼哼！我得看准机会找个好师父！将来成为名动一方的大侠！	10	10	15	3	3		23	jn03	
citynpc8	100	孟知秋-城市	这位客官，行走江湖，何不来我这儿打造一柄趁手的兵器？	10	10	15	3	3		24	jn04	
citynpc8	100	孟知秋-城市	哈哈哈，大隐隐于市，如此生活，倒也有趣！	10	10	15	3	3		25	jn05	
citynpc9	625	张如梦-城市	若是有机会，还想再与独孤兄好好饮上一杯酒！	10	10	15	3	3		26	jf	
citynpc9	625	张如梦-城市	唉，妹妹，你的心思我又岂会不知，只是……	10	10	15	3	3		27	jn02b	
citynpc9	625	张如梦-城市	南宫姑娘……你可知我日思夜想，便只有你的容颜……	10	10	15	3	3		28	jn02a	
citynpc10	99	公孙惜花-城市	哎哟喂！这位客官，要不要来我这小楼小酌一番？	10	10	15	3	3		28	qg01	
citynpc10	99	公孙惜花-城市	啧啧啧，好俊的人儿，若是将来有兴趣，不妨来我这「隐香楼」哦。	10	10	15	3	3		29	qg02	
citynpc10	99	公孙惜花-城市	哦？似是有备而来的，若非为「香」而来，便是为了……「隐」？	10	10	15	3	3		30	jsrun	
citynpc10	99	公孙惜花-城市	天下没有我不知道的事！女子又如何？要取情报岂非更容易？	10	10	15	3	3		31	qg03	
citynpc11	620	唐影-城市	难得出来闯荡，这一次我定要好好瞧瞧与我唐门齐名的翠烟门！	10	10	15	3	3		32	qg04	
citynpc11	620	唐影-城市	唐门什么都好，就是家规太严，不知何时才能有所改善！	10	10	15	3	3		33	qg05	
citynpc11	620	唐影-城市	听闻翠烟门尽是美女，我倒要看看她们有什么本事！	10	10	15	3	3		34	dz	
citynpc12	627	家族总管-城市	襄阳城不愧是千年铁城，连年战火，却依旧是挺繁华的！	10	10	15	3	3		35	ts01	
citynpc12	627	家族总管-城市	家族的发展离不开各路侠士的相助，也只有各位侠士团结一致才能让家族更加兴盛！	10	10	15	3	3		36	ts02	
citynpc12	627	家族总管-城市	与家族成员对酒当歌，把酒言欢，何其快哉！	10	10	15	3	3		37	ts03	
