Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	AuraSkillId	AuraSkillLevel	StartActEvent	TitleID	BigFaceID	DefaultDialog	DropType	Tag	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	IsNotBYStealLife	SyncFirst
DOTA_Soldier_A1	160	宋军护卫	0	0	BattleNpc		394			131	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_A2	161	宋军护卫	0	0	BattleNpc		393			131	40	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_A3	162	宋军士兵	0	0	BattleNpc		150			131	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_A4	163	宋军士兵	0	0	BattleNpc		150			131	40	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_A5	164	宋军士兵	0	0	BattleNpc		150			131	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_A6	165	宋军大将	0	0	BattleNpc		1114			138	40	1	91	1			800	800	Setting/Npc/Ai/battle/leader.ini			1	15	2	0	197	1																
DOTA_Soldier_A7	166	邵宏渊	0	0	BattleNpc		1113			139	21	1	91	1			800	800	Setting/Npc/Ai/battle/leader.ini			1	15	2	0	197	1		202														
DOTA_Soldier_A8	167	李显忠	0	0	BattleNpc		1113			139	21	1	91	1			800	800	Setting/Npc/Ai/battle/leader.ini			1	15	2	0	197	1		202														
DOTA_Soldier_B1	168	金军护卫	0	0	BattleNpc		394			131	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_B2	169	金军护卫	0	0	BattleNpc		393			131	40	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_B3	170	金军士兵	0	0	BattleNpc		151			131	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_B4	171	金军士兵	0	0	BattleNpc		151			131	40	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_B5	172	金军士兵	0	0	BattleNpc		151			131	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	0																		
DOTA_Soldier_B6	173	金军大将	0	0	BattleNpc		181			138	40	1	91	1			800	800	Setting/Npc/Ai/battle/leader.ini			1	15	2	0	197	1																
DOTA_Soldier_B7	174	白彦敬	0	0	BattleNpc		180			139	21	1	91	1			800	800	Setting/Npc/Ai/battle/leader.ini			1	15	2	0	197	1		204														
DOTA_Soldier_B8	175	徒单克宁	0	0	BattleNpc		180			139	21	1	91	1			800	800	Setting/Npc/Ai/battle/leader.ini			1	15	2	0	197	1		204														
DOTA_Tower_A1	176	宋军外塔	0	0	BattleNpc		353			132	1704	1	91	1			800	800	Setting/Npc/Ai/battle/tower.ini			1	15	2	1																		
DOTA_Tower_A2	177	宋军中塔	0	0	BattleNpc		353			132	1704	1	91	1			800	800	Setting/Npc/Ai/battle/tower.ini			1	15	2	1																		
DOTA_Tower_A3	178	宋军内塔	0	0	BattleNpc		353			132	1704	1	91	1			800	800	Setting/Npc/Ai/battle/tower.ini			1	15	2	1																		
DOTA_Tower_A4	179	宋军箭塔	0	0	BattleNpc		353			132	1704	1	91	1			800	800	Setting/Npc/Ai/battle/tower.ini			1	15	2	1																		
DOTA_Tower_B1	180	金军外塔	0	0	BattleNpc		353			132	1704	1	91	1			800	800	Setting/Npc/Ai/battle/tower.ini			1	15	2	1																		
DOTA_Tower_B2	181	金军中塔	0	0	BattleNpc		353			132	1704	1	91	1			800	800	Setting/Npc/Ai/battle/tower.ini			1	15	2	1																		
DOTA_Tower_B3	182	金军内塔	0	0	BattleNpc		353			132	1704	1	91	1			800	800	Setting/Npc/Ai/battle/tower.ini			1	15	2	1																		
DOTA_Tower_B4	183	金军箭塔	0	0	BattleNpc		353			132	1704	1	91	1			800	800	Setting/Npc/Ai/battle/tower.ini			1	15	2	1																		
DOTA_Wild_1	184	火狐·攻击加持	0	0	BattleNpc		110			131	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	1																		
DOTA_Wild_2	185	灵猴·生命加持	0	0	BattleNpc		117			131	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	1																		
DOTA_Wild_3	186	巨熊·抗性加持	0	0	BattleNpc		116			131	21	1					800	800	Setting/Npc/Ai/battle/soldier.ini			1	15	1	1																		
Battle_Home_1	670	宋军箭塔	0	0	BattleNpc		353			136	1704	1	91	1			800	800	Setting/Npc/Ai/battle/tower.ini			1	15	2	1																		
Battle_Home_2	671	金军箭塔	0	0	BattleNpc		353			134	1704	1	91	1			800	800	Setting/Npc/Ai/battle/tower.ini			1	15	2	1																		
Flag1	703	领旗	0	0	BattleNpc		412			132	91	1					800	800	Setting/Npc/Ai/battle/tower.ini			1	15	2	1																		
Flag2	704	领旗	0	0	BattleNpc		412			132	91	1					800	800	Setting/Npc/Ai/battle/tower.ini			1	15	2	1																		
Flag3	705	领旗	0	0	BattleNpc		412			132	91	1					800	800				1	15	2	1																		
Battle_Cannon_1	1007	宋军炮车	0	0	BattleNpc		378			137	34	1	91	1			800	800	Setting/Npc/Ai/battle/tower.ini			1	15	2	1																		
Battle_Cannon_2	1008	金军炮车	0	0	BattleNpc		378			137	34	1	91	1			800	800	Setting/Npc/Ai/battle/tower.ini			1	15	2	1																		
Battle_Gouhuo	1305	篝火	4	0	GouHuoNpc	all|10000|6|5|0|300	380																								NoTurn												
Battle_Gouhuo_2	1306	篝火	4	0			380																								NoTurn												
Transport	1448	通往大营	4	0			8			132	91	1					800	800				1	15	2	1																		
