Level	Layer	EquipId	Desc
20	1	459	
20	2	467	
20	3	475	
20	1	364	
20	2	372	
20	3	380	
20	1	388	
20	2	602	
20	3	403	
20	1	435	
20	2	443	
20	3	451	
20	1	411	
20	2	419	
20	3	427	
20	1	555	
20	2	563	
20	3	571	
20	1	483	
20	2	491	
20	3	499	
20	1	531	
20	2	539	
20	3	547	
20	1	507	
20	2	515	
20	3	523	
20	1	340	
20	2	348	
20	3	356	
30	1	459	
30	2	467	
30	3	475	
30	1	364	
30	2	372	
30	3	380	
30	1	388	
30	2	602	
30	3	403	
30	1	435	
30	2	443	
30	3	451	
30	1	411	
30	2	419	
30	3	427	
30	1	555	
30	2	563	
30	3	571	
30	1	483	
30	2	491	
30	3	499	
30	1	531	
30	2	539	
30	3	547	
30	1	507	
30	2	515	
30	3	523	
30	1	340	
30	2	348	
30	3	356	
40	1	460	
40	2	468	
40	3	476	
40	1	365	
40	2	373	
40	3	381	
40	1	389	
40	2	396	
40	3	404	
40	1	436	
40	2	444	
40	3	452	
40	1	412	
40	2	420	
40	3	428	
40	1	556	
40	2	564	
40	3	572	
40	1	484	
40	2	492	
40	3	500	
40	1	532	
40	2	540	
40	3	548	
40	1	508	
40	2	516	
40	3	524	
40	1	341	
40	2	349	
40	3	357	
50	1	461	
50	2	469	
50	3	477	
50	1	366	
50	2	374	
50	3	382	
50	1	390	
50	2	397	
50	3	405	
50	1	437	
50	2	445	
50	3	453	
50	1	413	
50	2	421	
50	3	429	
50	1	557	
50	2	565	
50	3	573	
50	1	485	
50	2	493	
50	3	501	
50	1	533	
50	2	541	
50	3	549	
50	1	509	
50	2	517	
50	3	525	
50	1	342	
50	2	350	
50	3	358	
60	1	462	
60	2	470	
60	3	478	
60	1	367	
60	2	375	
60	3	383	
60	1	391	
60	2	398	
60	3	406	
60	1	438	
60	2	446	
60	3	454	
60	1	414	
60	2	422	
60	3	430	
60	1	558	
60	2	566	
60	3	574	
60	1	486	
60	2	494	
60	3	502	
60	1	534	
60	2	542	
60	3	550	
60	1	510	
60	2	518	
60	3	526	
60	1	343	
60	2	351	
60	3	359	
70	1	463	
70	2	471	
70	3	479	
70	1	368	
70	2	376	
70	3	384	
70	1	392	
70	2	399	
70	3	407	
70	1	439	
70	2	447	
70	3	455	
70	1	415	
70	2	423	
70	3	431	
70	1	559	
70	2	567	
70	3	575	
70	1	487	
70	2	495	
70	3	503	
70	1	535	
70	2	543	
70	3	551	
70	1	511	
70	2	519	
70	3	527	
70	1	344	
70	2	352	
70	3	360	
80	1	464	
80	2	472	
80	3	480	
80	1	369	
80	2	377	
80	3	385	
80	1	393	
80	2	400	
80	3	408	
80	1	440	
80	2	448	
80	3	456	
80	1	416	
80	2	424	
80	3	432	
80	1	560	
80	2	568	
80	3	576	
80	1	488	
80	2	496	
80	3	504	
80	1	536	
80	2	544	
80	3	552	
80	1	512	
80	2	520	
80	3	528	
80	1	345	
80	2	353	
80	3	361	
