Id	FaceID	BigFaceID	Faction	Sex	FactionDefault	Name	Level	OpenUi	Icon	IconAtlas	Basic	SaveIdx	Desc
1	1001	1121	1	1	1	天王	默认		TianWangHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		天王乃「霸王」项羽后人所创建的门派，武学源于战场；其疾如风，其徐如林；侵掠如火，不动如山；难知如阴，动如雷震。
2	1002	1122	2		1	峨嵋	默认		EmeiHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		峨嵋派自创立之初，便只招收六根清净的女子，欲学峨嵋武学，需内心纯净善良，峨嵋武学绵里藏针，可攻可守，妙用无方。
3	1003	1123	3		1	桃花	默认		TaoHuaHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		桃花落尽千帆过，火凤燎原几度闻。万里追魂叹弦惊。罗裙渐隐不留痕。\n——《记桃花一现》
4	1004	1124	4	1	1	逍遥	默认		XiaoYaoHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		逍遥门下尽皆容貌俊美，才智聪慧，除武学外，多有一技旁身，故而逍遥武学，精妙绝伦，静若处子 动若脱兔；如同舞蹈，煞是好看，举手投足，杀人无形。
5	1005	1125	5	1	1	武当	默认		WuDangHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		武当剑法，讲求刚柔并济，进可剑破云霄，以凌厉刚猛的剑势制敌；退可化剑为圈，将对方的攻势化解于无形之中。
6	1006	1126	6	2	1	天忍	默认		TianRenHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		天忍门训，以血记之。隐若蛇蛛，不出则以，出则雷火，一击毙敌。\n千里杀一人，十步不留行。
7	1007	1127	7		1	少林	默认		ShaoLinHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		少林乃武林中历史最为悠久的门派之一，七十二绝技名闻天下，得其一者已是武林高手，门下弟子严守清规。
8	1008	1128	8		1	翠烟	默认		CuiYanHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		翠烟一门，历来只收女子，且大多年纪较轻，以防受尘世烦扰太多，破坏门规，若要迎娶翠烟门女子，需以一门绝学或一柄神兵为聘礼。
9	1009	1129	9		1	唐门	默认		TangMenHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		唐门久居巴蜀，规章森严，门下弟子大多深居简出，以暗器、毒药，机关术闻名于世，只有直系子弟方可一窥其中精要，乃武林中屹立数百年的大家族。
10	1010	1130	10	2	1	昆仑	默认		KunLunHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		昆仑亦是武林中的大门派，以剑法多变闻名于世，立于雪山之巅，故行走中原者甚寡，多在昆仑山附近行动。
11	1011	1131	11	1	1	丐帮	默认		GaiBangHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		自各门各派创立以来，丐帮便是天下第一大帮，数百年来未曾更改，独门绝学「打狗棒法」及「降龙十八掌」亦为冠绝天下的武功，丐帮弟子生性洒脱，以行乞为生，游戏风尘，故而消息极为灵通。
12	1012	1132	12		1	五毒	默认		WuDuHead	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		五毒极为神秘，相传五毒教弟子善于御蛊及种毒，若得罪其门下弟子，往往受尽折磨，死无全尸，故五毒之名广为流传，五毒门人内部却自称「五仙教」，尊五毒为「五圣」，近日在江湖中行走的五毒弟子渐多，这个诡秘的门派也渐渐揭开了神秘的面纱
13	1013	1133	13		1	藏剑	默认		CangJianHead	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		藏剑始于唐朝，就在若干年前，掌门乃卓非凡，此人剑术极高，野心也大，只可惜行事过于狠辣，一世声明毁于一旦，后藏剑直系子弟叶无心重新执掌藏剑，如今藏剑再度崛起，在江湖上颇有势不可挡之势。
14	1014	1134	14		1	长歌	默认		ChangGeHead	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		长歌始于唐朝，传至今日掌门为柴嵩，以风雅名动江湖，非但门下弟子均乃琴棋书画样样擅长的风雅之人，武功招式亦是优美异常。欲入长歌之门，必有一技之长。
15	1015	1135	15	1	1	天山	默认		TianShanHead1	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		天山派极具渊源，自创立之初便固守天山，门下弟子鲜有步入中原，因精于琴技，周边诸国之民欣羡不已，常相互授艺，故两者交好，因而天山弟子异域风情浓厚。
16	1016	1136	15	2	1	天山	默认		TianShanHead2	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		天山派极具渊源，自创立之初便固守天山，门下弟子鲜有步入中原，因精于琴技，周边诸国之民欣羡不已，常相互授艺，故两者交好，因而天山弟子异域风情浓厚。
17	1017	1137	16	1	1	霸刀	默认		BaDaoHead1	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		霸刀门系出王氏望族，盘桓于雍州，渐有狂蛮门风。豪气干云，一掷千金，刀法狂野，悍不畏死。
18	1018	1138	16	2	1	霸刀	默认		BaDaoHead2	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		霸刀门系出王氏望族，盘桓于雍州，渐有狂蛮门风。豪气干云，一掷千金，刀法狂野，悍不畏死。
19	1019	1139	5	2	1	武当	默认		WuDangHead2	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		武当剑法，讲求刚柔并济，进可剑破云霄，以凌厉刚猛的剑势制敌；退可化剑为圈，将对方的攻势化解于无形之中。
20	1020	1140	17	1	1	华山	默认		HuaShanHead1	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		华山派是武林中声名显赫的名门正派，而华山派的武功尤其是剑术经过百多年的发展，已经形成一整套完善的剑术体系，后又经华山派历代高手的千锤百炼，华山派剑术越发精妙，声震武林，因此华山派又被称为华山剑派。
21	1021	1141	17	2	1	华山	默认		HuaShanHead2	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		华山派是武林中声名显赫的名门正派，而华山派的武功尤其是剑术经过百多年的发展，已经形成一整套完善的剑术体系，后又经华山派历代高手的千锤百炼，华山派剑术越发精妙，声震武林，因此华山派又被称为华山剑派。
22	1022	1142	10	1	1	昆仑	默认		KunLunHead2	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		昆仑亦是武林中的大门派，以剑法多变闻名于世，立于雪山之巅，故行走中原者甚寡，多在昆仑山附近行动。
23	1023	1143	18	1	1	明教	默认		MingJiaoHead1	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		明教教众行事颇为神秘，与江湖上其他门派交流无多。教众均双持利环，环法繁复，使将起来滴水不漏
24	1024	1144	18	2	1	明教	默认		MingJiaoHead2	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		明教教众行事颇为神秘，与江湖上其他门派交流无多。教众均双持利环，环法繁复，使将起来滴水不漏
25	1025	1145	1	2	1	天王	默认		TianWangHead2	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		天王乃「霸王」项羽后人所创建的门派，武学源于战场；其疾如风，其徐如林；侵掠如火，不动如山；难知如阴，动如雷震。
26	1026	1146	19	1	1	段氏	默认		DuanShiHead1	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		段氏深受佛学沉浸，大都以行侠仗义，惩奸除恶为己任，江湖上好评颇多，段氏亦名列名门正派之中
27	1027	1147	19	2	1	段氏	默认		DuanShiHead2	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		段氏深受佛学沉浸，大都以行侠仗义，惩奸除恶为己任，江湖上好评颇多，段氏亦名列名门正派之中
28	1028	1148	4	2	1	逍遥	默认		XiaoYaoHead2	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		逍遥门下尽皆容貌俊美，才智聪慧，除武学外，多有一技旁身，故而逍遥武学，精妙绝伦，静若处子 动若脱兔；如同舞蹈，煞是好看，举手投足，杀人无形。
29	1029	1149	20	1	1	万花	默认		Wanhuahead1	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		万花谷远离朝堂，谷中不问世事，只论风雅
30	1030	1150	20	2	1	万花	默认		Wanhuahead2	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		万花谷远离朝堂，谷中不问世事，只论风雅
31	1031	1151	11	2	1	丐帮	默认		Gaibanghead2	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		自各门各派创立以来，丐帮便是天下第一大帮，数百年来未曾更改，独门绝学「打狗棒法」及「降龙十八掌」亦为冠绝天下的武功，丐帮弟子生性洒脱，以行乞为生，游戏风尘，故而消息极为灵通。
32	1032	1152	21	1	1	杨门	默认		YangMenHead1	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		杨门世为宋将，人人以保大宋江山为己任，国事重于一切。金盔银甲，手持长枪，背悬强弓，体型健硕，龙行虎步。
33	1033	1153	21	2	1	杨门	默认		YangMenHead2	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		杨门世为宋将，人人以保大宋江山为己任，国事重于一切。金盔银甲，手持长枪，背悬强弓，体型健硕，龙行虎步。
34	1034	1154	6	1	1	天忍	默认		TianRenHead2	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab	1		天忍门训，以血记之。隐若蛇蛛，不出则以，出则雷火，一击毙敌。\n千里杀一人，十步不留行。
50	814	101		2		-	紫衣妹子		FemaleHead01	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		来历神秘的女子，无人知晓她的来历……
51	813	102		2		-	丝巾妹子		FemaleHead02	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		来历神秘的女子，无人知晓她的来历……
52	821	103		2		-	B		FemaleHead03	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		来历神秘的女子，无人知晓她的来历……
53	707	104		2		赵无双	A		FemaleHead04	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		赵氏千金，风雪山庄庄主赵升权之女。
54	705	105		2		月明瑶	A		FemaleHead05	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		纳兰真、月眉儿的母亲，样貌妩媚，与上官飞龙相互喜欢，却迫于家父之命嫁给纳兰潜凛。
55	720	106		2		无想	A		FemaleHead06	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		峨嵋派杰出弟子，出身贫苦家庭，性格温婉贤淑，希望能够为世间疾苦自己的一份力量。衣着较为朴素干净。
56	819	107		2		-	白发杨瑛		FemaleHead07	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		来历神秘的女子，无人知晓她的来历……
57	719	108		2		李恬儿	?		FemaleHead08	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		来历神秘的女子，无人知晓她的来历……
58	815	109		2		-	蓝色桃花		FemaleHead09	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		来历神秘的女子，无人知晓她的来历……
59	702	110		2		秦沐白	A		FemaleHead10	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		来历神秘的女子，无人知晓她的来历……
60	820	111		2		-	家园管理员		FemaleHead11	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		来历神秘的女子，无人知晓她的来历……
61	817	112		2		曲霞	蓝衣马尾		FemaleHead12	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		来历神秘的女子，无人知晓她的来历……
62	712	113		2		纳兰真	A		FemaleHead13	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		无忧教教主纳兰潜凛之女，月眉儿的孪生妹妹，从小居于忘忧岛。本是天真烂漫的少女，无忧无虑，却因杨影枫的出现而卷入了风波。
63	816	114		2		-	秦良玉		FemaleHead14	UI/Atlas/Head/HomeScreenHeadAtlas.prefab		1	来历神秘的女子，无人知晓她的来历……
64	851	115		2		何暮雪	旧月眉儿		FemaleHead15	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		来历神秘的女子，无人知晓她的来历……
65	718	116		2		黄暮云	S		FemaleHead16	UI/Atlas/Head/HomeScreenHeadAtlas.prefab		2	桃花岛主，其父取桃花岛两套武学各一字而成的名字，希望桃花岛能够在黄暮云的带领下发扬光大，黄暮云也并未让人失望，江湖盛传，黄暮云已是天下间武功最高的几名女子之一，更是天下第一才女，博学多才，奇门八卦、天文地理均有所涉猎。
66	710	117		2		杨瑛	S		FemaleHead17	UI/Atlas/Head/HomeScreenHeadAtlas.prefab		3	英气逼人的巾帼女侠，性格冷傲，昔日年轻气盛，曾以一己之力攻破守卫森严的禁卫大牢，如今已有多年未曾出现在江湖上，只怕武功更是高深莫测！
67	703	118		2		蔷薇	S		FemaleHead18	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		武林盟主孟知秋的掌上明珠，性情刁蛮。在遇到杨影枫后，被其打动和拯救，深深的爱上了他。
68	709	119		2		苏墨芸	A		FemaleHead19	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		落叶谷谷主收养的明珠，自小娇生惯养，故而性格自我霸道，武功颇高，只在乎自己而不在意他人。
69	708	120		2		紫轩	B		FemaleHead20	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		身世迷离，传言其幼时被拐卖，后被卓非凡赎下，成为其妾。仪态动人，面容清秀，性格柔顺，对卓非凡有倾慕之意，但更多的是报恩之心，对他说的话言听计从。卓非凡指使其引诱杨影枫以套出「武道德经」所在，不料反因杨影枫处处关怀，对其动心。
70	711	121		2		秋依水	S		FemaleHead21	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		翠烟门门主，性格刚烈，敢爱敢恨，和恋人唐影（唐门大公子）之间的爱情历经坎坷，在南宫飞云帮助下二人终成眷属。后被天忍教护教使邵骑风用计擒住，被南宫飞云救下。
71	716	122		2		月眉儿	S		FemaleHead22	UI/Atlas/Head/HomeScreenHeadAtlas.prefab		4	飞龙堡少堡主，纳兰真的孪生姐姐，个性倔强。幼年时目睹父亲被迫与杨熙烈比武身亡，母亲自尽，不得不在小小的年龄即独自撑起飞龙堡，深恨杨影枫，一心杀死杨影枫为父母报仇，却在不知情的情况下被杨影枫出手相救两次，心里对杨影枫爱恨交加。
72	30	130		2		江湖新秀·女	S		FemaleHead32	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab		27	通过特定途径产出，作为对某些出类拔萃的江湖新秀的奖励
73	32	131		2		元宵	S		FemaleHead34	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab		31	元宵节活动中获得的奖励
74	33	132		2		女神	S		FemaleHead35	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab		33	女侠节期间武林知己印象签活动获得的奖励，象征着自己在好友心中的女神印象。
75	41	140		2		元宵	S		FemaleHead43	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab		53	元宵节活动中获得的奖励
76	42	141		2		玉女	S		FemaleHead44	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab		55	泛舟江湖情人结活动中获得的奖励
77	43			2		婚礼-女	S		HunShanHead2	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab		59	来历神秘的女子，无人知晓她的来历……
78	44			2		军装-女	S		Junzhuanghead2	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab		60	家族评选活动中，决赛十强家族全体成员获得的奖励。
79	45			2		燕子-女	S		Yanzihead2	UI/Atlas/Head/HomeScreenHeadAtlas02.prefab		61	购买「充值返利礼包」最后一层后所绘的画像
100	611	301		1		唐影	S		MaleHead01	UI/Atlas/Head/HomeScreenHeadAtlas.prefab	1		四川唐门门主唐离之子，唐门少门主。武功高强，性格温良，与翠烟门主秋依水互相爱慕，后被天忍教护教使邵骑风用计擒住，被南宫飞云救下。
