nMainSoundId	nMaleId	nFemaleId	Desc
5201	5201	5215	天王-锤法一式
5202	5202	5216	天王-锤法二式
5204	5204	5217	天王-锤法四式
5206	5206	5218	天王-野蛮冲撞
5208	5208	5219	天王-霸王怒吼
5210	5210	5220	天王-血战八方
5213	5213	5221	天王-金钟罩
5214	5214	5222	天王-怒气技日月山河碎
5501	5501	5531	逍遥-枪法一式
5502	5502	5532	逍遥-枪法二式
5503	5503	5533	逍遥-枪法三式
5504	5504	5534	逍遥-枪法四式
5506	5506	5535	逍遥-二招拉人
5508	5508	5536	逍遥-无敌斩
5509	5509	5537	逍遥-无敌斩收招
5510	5510	5538	逍遥-白虹贯日
5513	5513	5539	逍遥-风卷残云
5602	5602	5621	武当-普攻2
5603	5603	5622	武当-普攻3
5604	5604	5623	武当-普攻4
5606	5606	5624	武当-人剑合一
5608	5608	5625	武当-剑飞惊天
5609	5609	5626	武当-天地无极
5706	5712	5706	天忍-死亡回旋
5940	5951	5940	昆仑-怒气
5947	5952	5947	昆仑-混沌剑阵
5960	5960	5972	丐帮-怒气
5967	5967	5973	丐帮-困龙功1
6070	6070	6081	霸刀-怒气
6073	6073	6082	霸刀-普攻3
6074	6074	6087	霸刀-普攻4
6076	6076	6088	霸刀-技能2
6077	6077	6083	霸刀-技能3
6100	6100	6109	华山-怒气
6101	6101	6110	华山-普攻1
6103	6103	6111	华山-普攻3
6104	6104	6112	华山-普攻4
6105	6105	6113	华山-技能1
6107	6107	6114	华山-技能3
6108	6108	6115	华山-技能4
6127	6127	6132	明教-电光石火
6131	6131	6133	明教-怒气
6145	6145	6150	段氏-一阳指
6146	6146	6151	段氏-五罗轻烟
6149	6149	6152	段氏-怒气
6165	6165	6171	万花-执颖点墨
6170	6170	6172	万花-怒气
6186	6186	6187	杨门弓-弧形箭
6188	6188	6189	杨门弓-落箭
6195	6195	6196	杨门枪-BUFF
6197	6197	6198	杨门枪-跳
