Level	ExpUpGrade	BaseAwardExp	RunSpeed	AttackSpeed	FightPower	AttackSeriesResist
1	28000	1000	0	0	10	12
2	32000	1000	0	0	20	14
3	36000	1000	0	0	30	16
4	40000	1000	0	0	40	18
5	44000	1000	0	0	50	20
6	48000	1000	0	0	60	22
7	52000	1000	0	0	70	24
8	56000	1000	0	0	80	26
9	60000	1000	0	0	90	28
10	120000	2000	0	0	100	30
11	130000	2000	0	0	120	32
12	130000	2000	0	0	140	34
13	140000	2000	0	0	160	36
14	150000	2000	0	0	180	38
15	170000	2000	0	0	200	40
16	180000	2000	0	0	220	42
17	190000	2000	0	0	240	44
18	200000	2000	0	0	260	46
19	210000	2000	0	0	280	48
20	540000	3000	0	0	300	50
21	600000	3000	0	0	370	55
22	660000	3000	0	0	440	60
23	720000	3000	0	0	510	65
24	780000	3000	0	0	580	70
25	900000	3000	0	0	650	75
26	1020000	3000	0	0	720	80
27	1140000	3000	0	0	790	85
28	1260000	3000	0	0	860	90
29	1380000	3000	0	0	930	95
30	3000000	4000	0	0	1000	150
31	3400000	4000	0	0	1200	155
32	3800000	4000	0	0	1400	160
33	4200000	4000	0	0	1600	165
34	4600000	4000	0	0	1800	170
35	5000000	4000	0	0	2000	175
36	5400000	4000	0	0	2200	180
37	5800000	4000	0	0	2400	185
38	6200000	4000	0	0	2600	190
39	6600000	4000	0	0	2800	195
40	9000000	5000	0	0	3000	300
41	10500000	5000	0	0	3400	320
42	12000000	5000	0	0	3800	340
43	13500000	5000	0	0	4200	360
44	15000000	5000	0	0	4600	380
45	16500000	5000	0	0	5000	400
46	18000000	5000	0	0	5400	420
47	19500000	5000	0	0	5800	440
48	21000000	5000	0	0	6200	460
49	22500000	5000	0	0	6600	480
50	28080000	6000	0	0	7000	500
51	30480000	6000	0	0	7800	510
52	32880000	6000	0	0	8600	520
53	35280000	6000	0	0	9400	530
54	37680000	6000	0	0	10200	540
55	40080000	6000	0	0	11000	550
56	42480000	6000	0	0	11800	560
57	44880000	6000	0	0	12600	570
58	47280000	6000	0	0	13400	580
59	49680000	6000	0	0	14200	590
60	70000000	7000	0	0	15000	600
61	74200000	7000	0	0	17000	610
62	79800000	7000	0	0	19000	620
63	86100000	7000	0	0	21000	630
64	93100000	7000	0	0	23000	640
65	100800000	7000	0	0	25000	650
66	109200000	7000	0	0	27000	660
67	118300000	7000	0	0	29000	670
68	128100000	7000	0	0	31000	680
69	138600000	7000	0	0	33000	690
70	129600000	8000	0	0	35000	700
71	132800000	8000	0	0	38500	705
72	136000000	8000	0	0	42000	710
73	139200000	8000	0	0	45500	715
74	142400000	8000	0	0	49000	720
75	145600000	8000	0	0	52500	725
76	148800000	8000	0	0	56000	730
77	152000000	8000	0	0	59500	735
78	155200000	8000	0	0	63000	740
79	158400000	8000	0	0	66500	745
80	189000000	9000	0	0	70000	750
81	199800000	9000	0	0	76500	755
82	210600000	9000	0	0	83000	760
83	221400000	9000	0	0	89500	765
84	232200000	9000	0	0	96000	770
85	243000000	9000	0	0	102500	775
86	253800000	9000	0	0	109000	780
87	264600000	9000	0	0	115500	785
88	275400000	9000	0	0	122000	790
89	286200000	9000	0	0	128500	795
90	267000000	10000	0	0	135000	850
91	281000000	10000	0	0	150000	870
92	295000000	10000	0	0	165000	890
93	309000000	10000	0	0	180000	910
94	323000000	10000	0	0	195000	930
95	337000000	10000	0	0	210000	950
96	351000000	10000	0	0	225000	970
97	365000000	10000	0	0	240000	990
98	379000000	10000	0	0	255000	1010
99	393000000	10000	0	0	270000	1030
100	400000000	10000	0	0	285000	1100
101	410000000	10000	0	0	300000	1120
102	420000000	10000	0	0	315000	1140
103	430000000	10000	0	0	330000	1160
104	440000000	10000	0	0	345000	1180
105	450000000	10000	0	0	360000	1200
106	460000000	10000	0	0	375000	1220
107	470000000	10000	0	0	390000	1240
108	480000000	10000	0	0	405000	1260
109	490000000	10000	0	0	420000	1280
110	500000000	10000	0	0	435000	1400
111	510000000	10000	0	0	450000	1420
112	520000000	10000	0	0	465000	1440
113	530000000	10000	0	0	480000	1460
114	540000000	10000	0	0	495000	1480
115	550000000	10000	0	0	510000	1500
116	560000000	10000	0	0	525000	1520
117	570000000	10000	0	0	540000	1540
118	580000000	10000	0	0	555000	1560
119	590000000	10000	0	0	570000	1580
120	600000000	12000	0	0	585000	1600
121	610000000	12000	0	0	600000	1700
122	620000000	12000	0	0	615000	1720
123	630000000	12000	0	0	630000	1740
124	640000000	12000	0	0	645000	1760
125	650000000	12000	0	0	660000	1780
126	660000000	12000	0	0	675000	1800
127	670000000	12000	0	0	690000	1820
128	680000000	12000	0	0	705000	1840
129	690000000	12000	0	0	720000	1860
130	690000000	13000	0	0	735000	1880
131	691000000	13000	0	0	750000	1900
