FactionId	Series	Sex	NpcTemplateId	BodyResId	WeaponResId	HedResId	WingResId	Desc
0		1	1	1	1			无门派
0		2	1	1	1			无门派
1	1	1	77	11001	101	11001		天王男
1	1	2	3278	11501	120	11501		天王女
2	3	2	78	12501	102	12501		峨眉
3	4	2	79	13501	103	13501		桃花
4	2	1	80	14001	104	14001		逍遥男
4	2	2	3458	14501	104	14501		逍遥女
5	5	1	707	15001	105	15001		武当男
5	5	2	2884	15501	105	15501		武当女
6	4	1	3784	16001	106	16001		天忍男
6	4	2	708	16501	106	16501		天忍女
7	1	1	1787	17001	107	17001		少林
8	3	2	1788	18501	108	18501		翠烟
9	2	1	1959	19001	109	19001		唐门
10	5	1	2977	20001	110	20001		昆仑男
10	5	2	1960	20501	110	20501		昆仑女
11	4	1	2157	21001	111	21001		丐帮男
11	4	2	3722	21501	124	21501		丐帮女
12	2	2	2158	22501	112	22501		五毒
13	1	1	2337	23001	113	23001		藏剑
14	5	2	2338	24501	114	24501		长歌
15	3	1	2640	25001	115	25001		天山男
15	3	2	2682	25501	115	25501		天山女
16	1	1	2876	26001	116	26001		霸刀男
16	1	2	2877	26501	117	26501		霸刀女
17	2	1	2951	27001	118	27001		华山男
17	2	2	2952	27501	118	27501		华山女
18	4	1	3253	28001	119	28001		明教男
18	4	2	3254	28501	119	28501		明教女
19	3	1	3440	29001	121	29001		段氏男
19	3	2	3441	29501	122	29501		段氏女
20	5	1	3720	30001	123	30001		万花男
20	5	2	3721	30501	123	30501		万花女
21	1	1	3785	31001	125	31001		杨门男
21	1	2	3786	31501	125	31501		杨门女
