Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	HideTaskId
yewai_140_3	蛮熊		3322	50		150	7215	12981	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	6954	12839	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	7505	12918	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	7670	12674	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	7386	12668	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	7085	12668	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	6738	12583	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	6721	12315	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	7011	12406	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	7335	12423	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	7613	12406	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	7938	12389	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	7716	12099	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	7392	12162	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	7113	12116	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	6908	12116	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	7090	11877	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	7323	11877	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	7659	11894	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	7460	11724	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	5849	11843	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	5569	11709	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	5359	11534	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	6077	11679	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	6287	11539	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	6065	11429	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	5826	11586	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	5546	11429	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	5377	11265	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	5674	11254	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	5896	11376	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	6048	11195	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	6328	11201	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	6042	10927	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	5721	10979	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	3831	13790	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	3647	13608	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	4035	13721	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	4286	13706	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	4212	13564	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	3912	13544	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	3519	13357	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	3755	13382	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	3671	13170	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	4010	13342	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	4365	13441	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	4251	13298	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	3883	13121	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	4178	13141	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	4030	13027	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	5816	13948	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	5578	13776	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	6026	13872	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	6308	13771	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	6131	13666	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	5812	13757	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	5439	13561	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	5602	13523	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
yewai_140_3	蛮熊		3322	50		150	5802	13581	0	0	-1	0	0	-1	0	0	0	0	0	0	0	
