nFubenLevel	szType	SubType	nItemId	nCount	nAwardLevel	nRate	bCritAward	bFirst	nSpecialRate	bStarAward
1			982	1	2				0.7	
1			222	1	1	3500				
1			212	1	1	21000				
1			786	1	1	5800				
1			785	1	1	2900				
1	Coin			120	1	388400				
1			601	1	1	555000				
1			1024	1	1	1170				
1			1034	1	1	1170				
1			1044	1	1	1170				
1			1054	1	1	1170				
1			1064	1	1	1170				
1			1074	1	1	1170				
1			1084	1	1	1170				
1			1094	1	1	1170				
1			1104	1	1	1170				
1			1114	1	1	1170				
1			787	1	1	11700				
1			222	3		-1				1
2	PartnerFamiliar	46		5		-1	1			
2	PStone1			1	1	160000				
2			222	1	1	1800				
2			212	1	1	22800				
2			786	1	1	5000				
2			785	1	1	2500				
2	Coin			200	1	200000				
2			601	1	1	587900				
2			1024	1	1	1000				
2			1034	1	1	1000				
2			1044	1	1	1000				
2			1054	1	1	1000				
2			1064	1	1	1000				
2			1074	1	1	1000				
2			1084	1	1	1000				
2			1094	1	1	1000				
2			1104	1	1	1000				
2			1114	1	1	1000				
2			787	1	1	10000				
2			242	1		-1				1
