FubenIdx	MapTemplateId	Award	ReqLevel	Time	FightPower	PlayerPos	BossTemplateId	BossLevel	BossPos	EnemyTemplate	EnemyLevel	PosIndex	GuidePos
1	1502	Item|1693|1;Item|6151|5;Exp|20000	20	180	4000	5410|2705	1496	20	3792|4779	1526	20	6	3792|4779
2	1502	Item|1716|1;Item|6151|5;Exp|20000	20	180	4200	5410|2705	1497	21	3792|4779	1526	21	6	3792|4779
3	1502	Item|1701|1;Item|6151|5;Exp|20000	20	180	4600	5410|2705	1498	23	3792|4779	1526	23	6	3792|4779
4	1504	Item|1696|1;Item|6151|5;Exp|30000	25	180	6000	2177|3745	1499	25	3187|2591	1526	25	4	3187|2591
5	1504	Item|1703|1;Item|6151|5;Exp|30000	25	180	7000	2177|3745	1500	26	3187|2591	1526	26	4	3187|2591
6	1504	Item|1698|1;Item|6151|5;Exp|30000	25	180	8000	2177|3745	1501	28	3187|2591	1526	28	4	3187|2591
7	1501	Item|1700|1;Item|6151|5;Exp|30000	30	180	10000	1118|1848	1502	30	2451|2559	1526	30	5	2451|2559
8	1501	Item|1718|1;Item|6151|5;Exp|30000	30	180	12000	1118|1848	1503	31	2451|2559	1526	31	5	2451|2559
9	1501	Item|1702|1;Item|6151|5;Exp|30000	30	180	15000	1118|1848	1504	33	2451|2559	1526	33	5	2451|2559
10	1502	Item|1715|1;Item|6151|5;Exp|40000	35	180	20000	5410|2705	1505	35	3792|4779	1526	35	6	3792|4779
11	1502	Item|1720|1;Item|6151|5;Exp|40000	35	180	22000	5410|2705	1506	36	3792|4779	1526	36	6	3792|4779
12	1502	Item|1724|1;Item|6151|5;Exp|40000	35	180	25000	5410|2705	1507	38	3792|4779	1526	38	6	3792|4779
13	1501	Item|1694|1;Item|6151|5;Exp|40000	40	180	30000	1118|1848	1508	40	2451|2559	1526	40	5	2451|2559
14	1501	Item|1714|1;Item|6151|5;Exp|40000	40	180	35000	1118|1848	1509	41	2451|2559	1526	41	5	2451|2559
15	1501	Item|1723|1;Item|6151|5;Exp|40000	40	180	40000	1118|1848	1510	43	2451|2559	1526	43	5	2451|2559
16	1504	Item|1695|1;Item|6151|5;Exp|50000	45	180	60000	2177|3745	1511	45	3187|2591	1526	45	4	3187|2591
17	1504	Item|1717|1;Item|6151|5;Exp|50000	45	180	70000	2177|3745	1512	46	3187|2591	1526	46	4	3187|2591
18	1504	Item|1707|1;Item|6151|5;Exp|50000	45	180	90000	2177|3745	1513	48	3187|2591	1526	48	4	3187|2591
19	1501	Item|1699|1;Item|6151|5;Exp|50000	50	180	120000	1118|1848	1514	50	2451|2559	1526	50	5	2451|2559
20	1501	Item|1708|1;Item|6151|5;Exp|50000	50	180	150000	1118|1848	1515	51	2451|2559	1526	51	5	2451|2559
