Attrib	Id
lifemax_v	2
lifemax_p	3
recover_life_v	4
lifereplenish_p	5
strength_v	14
dexterity_v	15
vitality_v	16
energy_v	17
basic_damage_v	20
physical_damage_v	21
attackrate_v	27
defense_v	29
ignore_defense_v	31
deadlystrike_v	33
deadlystrike_damage_p	35
weaken_deadlystrike_v	36
weaken_deadlystrike_damage_p	37
metal_resist_v	42
wood_resist_v	38
water_resist_v	39
fire_resist_v	40
earth_resist_v	41
all_series_resist_v	43
add_seriesstate_rate_v	57
resist_allseriesstate_rate_v	60
steallife_p	75
meleedamagereturn_p	79
rangedamagereturn_p	81
all_series_resist_p	82
defense_p	83
attackrate_p	84
deadlystrike_p	85
state_hurt_resistrate	132
state_zhican_resistrate	133
state_slowall_resistrate	143
state_palsy_resistrate	153
state_stun_resistrate	163
physical_metaldamage_v	201
physical_earthdamage_v	202
physical_waterdamage_v	203
physical_firedamage_v	204
physical_wooddamage_v	205
state_hurt_resisttime	301
state_zhican_resisttime	302
state_slowall_resisttime	303
state_palsy_resisttime	304
state_stun_resisttime	305
ignore_all_resist_v	400
ignore_metal_resist_v	401
ignore_earth_resist_v	402
ignore_water_resist_v	403
ignore_fire_resist_v	404
ignore_wood_resist_v	405
ignore_all_resist_vp	406
ignore_defense_vp	407
ignore_deadlystrike_vp	408
add_seriesstate_time_v	409
resist_allseriesstate_time_v	410
physics_potentialdamage_p	47
enhance_final_damage_p	55
reduce_final_damage_p	56
steallife_resist_p	112
meleedamagereturn_v	10082
rangedamagereturn_v	10084
attackspeed_v	25
series_enhance_v	95
series_abate_v	96
resist_allspecialstate_rate_v	64
resist_allspecialstate_time_v	63
add_allspecialstate_rate_v	124
add_allspecialstate_time_v	123
return_resist_p	411
