AttribType	Level	FightPower	AttribValue	Value1	Value2	Value3	SpecialDesc
vitality_v	1	25	25000	12			
vitality_v	2	37	37500	25			
vitality_v	3	50	50000	37			
vitality_v	4	75	75000	50			
vitality_v	5	100	100000	62			
vitality_v	6	150	150000	75			
vitality_v	7	200	200000	87			
vitality_v	8	300	300000	100			
vitality_v	9	500	500000	112			
vitality_v	10	800	800000	125			
vitality_v	11	1250	1200000	137			
vitality_v	12	2000	1800000	150			
vitality_v	13	3000	2500000	162			
vitality_v	14	5000	4000000	175			
vitality_v	15	8000	5000000	187			
vitality_v	16	12000	6000000	200			
vitality_v	17	17500	7500000	212			
vitality_v	18	25000	9000000	225			
vitality_v	19	30000	12000000	237			
vitality_v	20	37500	15000000	250			
vitality_v	21	40000	18000000	265			
vitality_v	22	42500	21000000	275			
vitality_v	23	45000	24000000	290			
vitality_v	24	47500	27000000	300			
vitality_v	25	50000	30000000	315			
vitality_v	26	52500	33000000	325			
vitality_v	27	55000	36000000	340			
vitality_v	28	57500	39000000	350			
vitality_v	29	60000	42000000	365			
vitality_v	30	62500	45000000	375			
vitality_v	31	63500	46500000	393			
vitality_v	32	64500	48000000	412			
vitality_v	33	65500	49500000	432			
vitality_v	34	66500	51000000	453			
vitality_v	35	67500	52500000	475			
vitality_v	36	0	0	499			
vitality_v	37	0	0	523			
vitality_v	38	0	0	549			
vitality_v	39	0	0	575			
vitality_v	40	0	0	603			
vitality_v	41	0	0	633			
vitality_v	42	0	0	664			
vitality_v	43	0	0	696			
vitality_v	44	0	0	730			
vitality_v	45	0	0	766			
vitality_v	46	0	0	803			
vitality_v	47	0	0	0			
vitality_v	48	0	0	0			
vitality_v	49	0	0	0			
vitality_v	50	0	0	0			
vitality_v	51	0	0	0			
vitality_v	52	0	0	0			
vitality_v	53	0	0	0			
vitality_v	54	0	0	0			
vitality_v	55	0	0	0			
vitality_v	56	0	0	0			
vitality_v	57	0	0	0			
vitality_v	58	0	0	0			
vitality_v	59	0	0	0			
vitality_v	60	0	0	0			
energy_v	1	25	25000	12			
energy_v	2	37	37500	25			
energy_v	3	50	50000	37			
energy_v	4	75	75000	50			
energy_v	5	100	100000	62			
energy_v	6	150	150000	75			
energy_v	7	200	200000	87			
energy_v	8	300	300000	100			
energy_v	9	500	500000	112			
energy_v	10	800	800000	125			
energy_v	11	1250	1200000	137			
energy_v	12	2000	1800000	150			
energy_v	13	3000	2500000	162			
energy_v	14	5000	4000000	175			
energy_v	15	8000	5000000	187			
energy_v	16	12000	6000000	200			
energy_v	17	17500	7500000	212			
energy_v	18	25000	9000000	225			
energy_v	19	30000	12000000	237			
energy_v	20	37500	15000000	250			
energy_v	21	40000	18000000	265			
energy_v	22	42500	21000000	275			
energy_v	23	45000	24000000	290			
energy_v	24	47500	27000000	300			
energy_v	25	50000	30000000	315			
energy_v	26	52500	33000000	325			
energy_v	27	55000	36000000	340			
energy_v	28	57500	39000000	350			
energy_v	29	60000	42000000	365			
energy_v	30	62500	45000000	375			
energy_v	31	63500	46500000	393			
energy_v	32	64500	48000000	412			
energy_v	33	65500	49500000	432			
energy_v	34	66500	51000000	453			
energy_v	35	67500	52500000	475			
energy_v	36	0	0	499			
energy_v	37	0	0	523			
energy_v	38	0	0	549			
energy_v	39	0	0	575			
energy_v	40	0	0	603			
energy_v	41	0	0	633			
energy_v	42	0	0	664			
energy_v	43	0	0	696			
energy_v	44	0	0	730			
energy_v	45	0	0	766			
energy_v	46	0	0	803			
energy_v	47	0	0	0			
energy_v	48	0	0	0			
energy_v	49	0	0	0			
energy_v	50	0	0	0			
energy_v	51	0	0	0			
energy_v	52	0	0	0			
energy_v	53	0	0	0			
energy_v	54	0	0	0			
energy_v	55	0	0	0			
energy_v	56	0	0	0			
energy_v	57	0	0	0			
energy_v	58	0	0	0			
energy_v	59	0	0	0			
energy_v	60	0	0	0			
strength_v	1	25	25000	12			
strength_v	2	37	37500	25			
strength_v	3	50	50000	37			
strength_v	4	75	75000	50			
strength_v	5	100	100000	62			
strength_v	6	150	150000	75			
strength_v	7	200	200000	87			
strength_v	8	300	300000	100			
strength_v	9	500	500000	112			
strength_v	10	800	800000	125			
strength_v	11	1250	1200000	137			
strength_v	12	2000	1800000	150			
strength_v	13	3000	2500000	162			
strength_v	14	5000	4000000	175			
strength_v	15	8000	5000000	187			
strength_v	16	12000	6000000	200			
strength_v	17	17500	7500000	212			
strength_v	18	25000	9000000	225			
strength_v	19	30000	12000000	237			
strength_v	20	37500	15000000	250			
strength_v	21	40000	18000000	265			
strength_v	22	42500	21000000	275			
strength_v	23	45000	24000000	290			
strength_v	24	47500	27000000	300			
strength_v	25	50000	30000000	315			
strength_v	26	52500	33000000	325			
strength_v	27	55000	36000000	340			
strength_v	28	57500	39000000	350			
strength_v	29	60000	42000000	365			
strength_v	30	62500	45000000	375			
strength_v	31	63500	46500000	393			
strength_v	32	64500	48000000	412			
strength_v	33	65500	49500000	432			
strength_v	34	66500	51000000	453			
strength_v	35	67500	52500000	475			
strength_v	36	0	0	499			
strength_v	37	0	0	523			
strength_v	38	0	0	549			
strength_v	39	0	0	575			
strength_v	40	0	0	603			
strength_v	41	0	0	633			
strength_v	42	0	0	664			
strength_v	43	0	0	696			
strength_v	44	0	0	730			
strength_v	45	0	0	766			
strength_v	46	0	0	803			
strength_v	47	0	0	0			
strength_v	48	0	0	0			
strength_v	49	0	0	0			
strength_v	50	0	0	0			
strength_v	51	0	0	0			
strength_v	52	0	0	0			
strength_v	53	0	0	0			
strength_v	54	0	0	0			
strength_v	55	0	0	0			
strength_v	56	0	0	0			
strength_v	57	0	0	0			
strength_v	58	0	0	0			
strength_v	59	0	0	0			
strength_v	60	0	0	0			
dexterity_v	1	25	25000	12			
dexterity_v	2	37	37500	25			
dexterity_v	3	50	50000	37			
dexterity_v	4	75	75000	50			
dexterity_v	5	100	100000	62			
dexterity_v	6	150	150000	75			
dexterity_v	7	200	200000	87			
dexterity_v	8	300	300000	100			
dexterity_v	9	500	500000	112			
dexterity_v	10	800	800000	125			
dexterity_v	11	1250	1200000	137			
dexterity_v	12	2000	1800000	150			
dexterity_v	13	3000	2500000	162			
dexterity_v	14	5000	4000000	175			
dexterity_v	15	8000	5000000	187			
dexterity_v	16	12000	6000000	200			
dexterity_v	17	17500	7500000	212			
dexterity_v	18	25000	9000000	225			
dexterity_v	19	30000	12000000	237			
dexterity_v	20	37500	15000000	250			
dexterity_v	21	40000	18000000	265			
dexterity_v	22	42500	21000000	275			
dexterity_v	23	45000	24000000	290			
dexterity_v	24	47500	27000000	300			
dexterity_v	25	50000	30000000	315			
dexterity_v	26	52500	33000000	325			
dexterity_v	27	55000	36000000	340			
dexterity_v	28	57500	39000000	350			
dexterity_v	29	60000	42000000	365			
dexterity_v	30	62500	45000000	375			
dexterity_v	31	63500	46500000	393			
dexterity_v	32	64500	48000000	412			
dexterity_v	33	65500	49500000	432			
dexterity_v	34	66500	51000000	453			
dexterity_v	35	67500	52500000	475			
dexterity_v	36	0	0	499			
dexterity_v	37	0	0	523			
dexterity_v	38	0	0	549			
dexterity_v	39	0	0	575			
dexterity_v	40	0	0	603			
dexterity_v	41	0	0	633			
dexterity_v	42	0	0	664			
dexterity_v	43	0	0	696			
dexterity_v	44	0	0	730			
dexterity_v	45	0	0	766			
dexterity_v	46	0	0	803			
dexterity_v	47	0	0	0			
dexterity_v	48	0	0	0			
dexterity_v	49	0	0	0			
dexterity_v	50	0	0	0			
dexterity_v	51	0	0	0			
dexterity_v	52	0	0	0			
dexterity_v	53	0	0	0			
dexterity_v	54	0	0	0			
dexterity_v	55	0	0	0			
dexterity_v	56	0	0	0			
dexterity_v	57	0	0	0			
dexterity_v	58	0	0	0			
dexterity_v	59	0	0	0			
dexterity_v	60	0	0	0			
lifemax_v	1	25	25000	250			
lifemax_v	2	37	37500	500			
lifemax_v	3	50	50000	750			
lifemax_v	4	75	75000	1000			
lifemax_v	5	100	100000	1250			
lifemax_v	6	150	150000	1500			
lifemax_v	7	200	200000	1750			
lifemax_v	8	300	300000	2000			
lifemax_v	9	500	500000	2250			
lifemax_v	10	800	800000	2500			
lifemax_v	11	1250	1200000	2750			
lifemax_v	12	2000	1800000	3000			
lifemax_v	13	3000	2500000	3250			
lifemax_v	14	5000	4000000	3500			
lifemax_v	15	8000	5000000	3750			
lifemax_v	16	12000	6000000	4000			
lifemax_v	17	17500	7500000	4250			
lifemax_v	18	25000	9000000	4500			
lifemax_v	19	30000	12000000	4750			
lifemax_v	20	37500	15000000	5000			
lifemax_v	21	40000	18000000	5250			
lifemax_v	22	42500	21000000	5500			
lifemax_v	23	45000	24000000	5750			
lifemax_v	24	47500	27000000	6000			
lifemax_v	25	50000	30000000	6250			
lifemax_v	26	52500	33000000	6500			
lifemax_v	27	55000	36000000	6750			
lifemax_v	28	57500	39000000	7000			
lifemax_v	29	60000	42000000	7250			
lifemax_v	30	62500	45000000	7500			
lifemax_v	31	63500	46500000	7866			
lifemax_v	32	64500	48000000	8250			
lifemax_v	33	65500	49500000	8652			
lifemax_v	34	66500	51000000	9075			
lifemax_v	35	67500	52500000	9517			
lifemax_v	36	0	0	9982			
lifemax_v	37	0	0	10469			
lifemax_v	38	0	0	10980			
lifemax_v	39	0	0	11516			
lifemax_v	40	0	0	12078			
lifemax_v	41	0	0	12668			
lifemax_v	42	0	0	13286			
lifemax_v	43	0	0	13935			
lifemax_v	44	0	0	14615			
lifemax_v	45	0	0	15328			
lifemax_v	46	0	0	16076			
lifemax_v	47	0	0	0			
lifemax_v	48	0	0	0			
lifemax_v	49	0	0	0			
lifemax_v	50	0	0	0			
lifemax_v	51	0	0	0			
lifemax_v	52	0	0	0			
lifemax_v	53	0	0	0			
lifemax_v	54	0	0	0			
lifemax_v	55	0	0	0			
lifemax_v	56	0	0	0			
lifemax_v	57	0	0	0			
lifemax_v	58	0	0	0			
lifemax_v	59	0	0	0			
lifemax_v	60	0	0	0			
lifemax_p	1	25	25000	1			
lifemax_p	2	37	37500	2			
lifemax_p	3	50	50000	3			
lifemax_p	4	75	75000	4			
lifemax_p	5	100	100000	5			
lifemax_p	6	150	150000	6			
lifemax_p	7	200	200000	7			
lifemax_p	8	300	300000	8			
lifemax_p	9	500	500000	9			
lifemax_p	10	800	800000	10			
lifemax_p	11	1250	1200000	11			
lifemax_p	12	2000	1800000	12			
lifemax_p	13	3000	2500000	13			
lifemax_p	14	5000	4000000	14			
lifemax_p	15	8000	5000000	15			
lifemax_p	16	12000	6000000	16			
lifemax_p	17	17500	7500000	17			
lifemax_p	18	25000	9000000	18			
lifemax_p	19	30000	12000000	19			
lifemax_p	20	37500	15000000	20			
lifemax_p	21	40000	18000000	21			
lifemax_p	22	42500	21000000	22			
lifemax_p	23	45000	24000000	23			
lifemax_p	24	47500	27000000	24			
lifemax_p	25	50000	30000000	25			
lifemax_p	26	52500	33000000	26			
lifemax_p	27	55000	36000000	27			
lifemax_p	28	57500	39000000	28			
lifemax_p	29	60000	42000000	29			
lifemax_p	30	62500	45000000	30			
lifemax_p	31	63500	46500000	155			
lifemax_p	32	64500	48000000	160			
lifemax_p	33	65500	49500000	165			
lifemax_p	34	66500	51000000	170			
lifemax_p	35	67500	52500000	175			
lifemax_p	36	0	0	180			
lifemax_p	37	0	0	185			
lifemax_p	38	0	0	190			
lifemax_p	39	0	0	195			
lifemax_p	40	0	0	200			
lifemax_p	41	0	0	205			
lifemax_p	42	0	0	210			
lifemax_p	43	0	0	215			
lifemax_p	44	0	0	220			
lifemax_p	45	0	0	225			
lifemax_p	46	0	0	230			
lifemax_p	47	0	0	0			
lifemax_p	48	0	0	0			
lifemax_p	49	0	0	0			
lifemax_p	50	0	0	0			
lifemax_p	51	0	0	0			
lifemax_p	52	0	0	0			
lifemax_p	53	0	0	0			
lifemax_p	54	0	0	0			
lifemax_p	55	0	0	0			
lifemax_p	56	0	0	0			
lifemax_p	57	0	0	0			
lifemax_p	58	0	0	0			
lifemax_p	59	0	0	0			
lifemax_p	60	0	0	0			
basic_damage_v	1	25	25000	12		12	
basic_damage_v	2	37	37500	25		25	
basic_damage_v	3	50	50000	37		37	
basic_damage_v	4	75	75000	50		50	
basic_damage_v	5	100	100000	62		62	
basic_damage_v	6	150	150000	75		75	
basic_damage_v	7	200	200000	87		87	
basic_damage_v	8	300	300000	100		100	
basic_damage_v	9	500	500000	112		112	
basic_damage_v	10	800	800000	125		125	
basic_damage_v	11	1250	1200000	137		137	
basic_damage_v	12	2000	1800000	150		150	
basic_damage_v	13	3000	2500000	162		162	
basic_damage_v	14	5000	4000000	175		175	
basic_damage_v	15	8000	5000000	187		187	
basic_damage_v	16	12000	6000000	200		200	
basic_damage_v	17	17500	7500000	212		212	
basic_damage_v	18	25000	9000000	225		225	
basic_damage_v	19	30000	12000000	237		237	
basic_damage_v	20	37500	15000000	250		250	
basic_damage_v	21	40000	18000000	265		265	
basic_damage_v	22	42500	21000000	275		275	
basic_damage_v	23	45000	24000000	290		290	
basic_damage_v	24	47500	27000000	300		300	
basic_damage_v	25	50000	30000000	315		315	
basic_damage_v	26	52500	33000000	325		325	
basic_damage_v	27	55000	36000000	340		340	
basic_damage_v	28	57500	39000000	350		350	
basic_damage_v	29	60000	42000000	365		365	
basic_damage_v	30	62500	45000000	375		375	
basic_damage_v	31	63500	46500000	393		393	
basic_damage_v	32	64500	48000000	412		412	
basic_damage_v	33	65500	49500000	432		432	
basic_damage_v	34	66500	51000000	453		453	
basic_damage_v	35	67500	52500000	475		475	
basic_damage_v	36	0	0	499		499	
