EquipLevel	AttribLevel	Quality
1	1	1
1	2	2
1	3	3
1	4	4
1	5	5
1	6	6
1	7	6
1	8	6
1	9	6
1	10	6
1	11	6
1	12	6
1	13	6
1	14	6
1	15	6
1	16	6
1	17	6
1	18	6
1	19	6
1	20	6
1	21	6
1	22	6
1	23	6
1	24	6
1	25	6
1	26	6
1	27	6
1	28	6
1	29	6
1	30	6
1	31	6
1	32	6
1	33	6
1	34	6
1	35	6
1	36	6
1	37	6
1	38	6
1	39	6
1	40	6
2	1	1
2	2	1
2	3	1
2	4	2
2	5	3
2	6	4
2	7	5
2	8	6
2	9	6
2	10	6
2	11	6
2	12	6
2	13	6
2	14	6
2	15	6
2	16	6
2	17	6
2	18	6
2	19	6
2	20	6
2	21	6
2	22	6
2	23	6
2	24	6
2	25	6
2	26	6
2	27	6
2	28	6
2	29	6
2	30	6
2	31	6
2	32	6
2	33	6
2	34	6
2	35	6
2	36	6
2	37	6
2	38	6
2	39	6
2	40	6
3	1	1
3	2	1
3	3	1
3	4	1
3	5	1
3	6	2
3	7	3
3	8	4
3	9	5
3	10	6
3	11	6
3	12	6
3	13	6
3	14	6
3	15	6
3	16	6
3	17	6
3	18	6
3	19	6
3	20	6
3	21	6
3	22	6
3	23	6
3	24	6
3	25	6
3	26	6
3	27	6
3	28	6
3	29	6
3	30	6
3	31	6
3	32	6
3	33	6
3	34	6
3	35	6
3	36	6
3	37	6
3	38	6
3	39	6
3	40	6
4	1	1
4	2	1
4	3	1
4	4	1
4	5	1
4	6	1
4	7	1
4	8	2
4	9	3
4	10	4
4	11	5
4	12	6
4	13	6
4	14	6
4	15	6
4	16	6
4	17	6
4	18	6
4	19	6
4	20	6
4	21	6
4	22	6
4	23	6
4	24	6
4	25	6
4	26	6
4	27	6
4	28	6
4	29	6
4	30	6
4	31	6
4	32	6
4	33	6
4	34	6
4	35	6
4	36	6
4	37	6
4	38	6
4	39	6
4	40	6
5	1	1
5	2	1
5	3	1
5	4	1
5	5	1
5	6	1
5	7	1
5	8	1
5	9	1
5	10	2
5	11	3
5	12	4
5	13	5
5	14	6
5	15	6
5	16	6
5	17	6
5	18	6
5	19	6
5	20	6
5	21	6
5	22	6
5	23	6
5	24	6
5	25	6
5	26	6
5	27	6
5	28	6
5	29	6
5	30	6
5	31	6
5	32	6
5	33	6
5	34	6
5	35	6
5	36	6
5	37	6
5	38	6
5	39	6
5	40	6
6	1	1
6	2	1
6	3	1
6	4	1
6	5	1
6	6	1
6	7	1
6	8	1
6	9	1
6	10	1
6	11	1
6	12	2
6	13	3
6	14	4
6	15	5
6	16	6
6	17	6
6	18	6
6	19	6
6	20	6
6	21	6
6	22	6
6	23	6
6	24	6
6	25	6
6	26	6
6	27	6
6	28	6
6	29	6
6	30	6
6	31	6
6	32	6
6	33	6
6	34	6
6	35	6
6	36	6
6	37	6
6	38	6
6	39	6
6	40	6
7	1	1
7	2	1
7	3	1
7	4	1
7	5	1
7	6	1
7	7	1
7	8	1
7	9	1
7	10	1
7	11	1
7	12	1
7	13	1
7	14	2
7	15	3
7	16	4
7	17	5
7	18	6
7	19	6
7	20	6
7	21	6
7	22	6
7	23	6
7	24	6
7	25	6
7	26	6
7	27	6
7	28	6
7	29	6
7	30	6
7	31	6
7	32	6
7	33	6
7	34	6
7	35	6
7	36	6
7	37	6
7	38	6
7	39	6
7	40	6
8	1	1
8	2	1
8	3	1
8	4	1
8	5	1
8	6	1
8	7	1
8	8	1
8	9	1
8	10	1
8	11	1
8	12	1
8	13	1
8	14	1
8	15	1
8	16	2
8	17	3
8	18	4
8	19	5
8	20	6
8	21	6
8	22	6
8	23	6
8	24	6
8	25	6
8	26	6
8	27	6
8	28	6
8	29	6
8	30	6
8	31	6
8	32	6
8	33	6
8	34	6
8	35	6
8	36	6
8	37	6
8	38	6
8	39	6
8	40	6
9	1	1
9	2	1
9	3	1
9	4	1
9	5	1
9	6	1
9	7	1
9	8	1
9	9	1
9	10	1
9	11	1
9	12	1
9	13	1
9	14	1
9	15	1
9	16	1
9	17	1
9	18	2
9	19	3
9	20	4
9	21	5
9	22	6
9	23	6
9	24	6
9	25	6
9	26	6
9	27	6
9	28	6
9	29	6
9	30	6
9	31	6
9	32	6
9	33	6
9	34	6
9	35	6
9	36	6
9	37	6
9	38	6
9	39	6
9	40	6
10	1	1
10	2	1
10	3	1
10	4	1
10	5	1
10	6	1
10	7	1
10	8	1
10	9	1
10	10	1
10	11	1
10	12	1
10	13	1
10	14	1
10	15	1
10	16	1
10	17	1
10	18	1
10	19	1
10	20	2
10	21	3
10	22	4
10	23	5
10	24	6
10	25	6
10	26	6
10	27	6
10	28	6
10	29	6
10	30	6
10	31	6
10	32	6
10	33	6
10	34	6
10	35	6
10	36	6
10	37	6
10	38	6
10	39	6
10	40	6
11	1	1
11	2	1
11	3	1
11	4	1
11	5	1
11	6	1
11	7	1
11	8	1
11	9	1
11	10	1
11	11	1
11	12	1
11	13	1
11	14	1
11	15	1
11	16	1
11	17	1
11	18	1
11	19	1
11	20	1
11	21	1
11	22	2
11	23	3
11	24	4
11	25	5
11	26	6
11	27	6
11	28	6
11	29	6
11	30	6
11	31	6
11	32	6
11	33	6
11	34	6
11	35	6
11	36	6
11	37	6
11	38	6
11	39	6
11	40	6
12	1	1
12	2	1
12	3	1
12	4	1
12	5	1
12	6	1
12	7	1
12	8	1
12	9	1
12	10	1
12	11	1
12	12	1
12	13	1
12	14	1
12	15	1
12	16	1
12	17	1
12	18	1
12	19	1
12	20	1
12	21	1
12	22	1
12	23	1
12	24	2
12	25	3
12	26	4
12	27	5
12	28	6
12	29	6
12	30	6
12	31	6
12	32	6
12	33	6
12	34	6
12	35	6
12	36	6
12	37	6
12	38	6
12	39	6
12	40	6
13	1	1
13	2	1
13	3	1
13	4	1
13	5	1
13	6	1
13	7	1
13	8	1
13	9	1
13	10	1
13	11	1
13	12	1
13	13	1
13	14	1
13	15	1
13	16	1
13	17	1
13	18	1
13	19	1
13	20	1
13	21	1
13	22	1
13	23	1
13	24	1
13	25	1
13	26	2
13	27	3
13	28	4
13	29	5
13	30	6
13	31	6
13	32	6
13	33	6
13	34	6
13	35	6
13	36	6
13	37	6
13	38	6
13	39	6
13	40	6
14	1	1
14	2	1
14	3	1
14	4	1
14	5	1
14	6	1
14	7	1
14	8	1
14	9	1
14	10	1
14	11	1
14	12	1
14	13	1
14	14	1
14	15	1
14	16	1
14	17	1
14	18	1
14	19	1
14	20	1
14	21	1
14	22	1
14	23	1
14	24	1
14	25	1
14	26	1
14	27	1
14	28	2
14	29	3
14	30	4
14	31	5
14	32	6
14	33	6
14	34	6
14	35	6
14	36	6
14	37	6
14	38	6
14	39	6
14	40	6
15	1	1
15	2	1
15	3	1
15	4	1
15	5	1
15	6	1
15	7	1
15	8	1
15	9	1
15	10	1
15	11	1
15	12	1
15	13	1
15	14	1
15	15	1
15	16	1
15	17	1
15	18	1
15	19	1
15	20	1
15	21	1
15	22	1
15	23	1
15	24	1
15	25	1
15	26	1
15	27	1
15	28	1
15	29	1
15	30	2
15	31	3
15	32	4
15	33	5
15	34	6
15	35	6
15	36	6
15	37	6
15	38	6
