EquipType	Attrib	Probility	Delta	WeightAdd
Weapon	energy_v	1000		
Weapon	strength_v	1000		
Weapon	lifemax_v	1000		
Weapon	physical_damage_v	1000		
Weapon	basic_damage_v	1000		
Weapon	attackrate_v	1000		
Weapon	deadlystrike_v	1000		
Weapon	add_seriesstate_rate_v	1000		
Weapon	steallife_p	1000		
Weapon	ignore_all_resist_v	1000		
Helm	vitality_v	1000		
Helm	energy_v	1000		
Helm	dexterity_v	1000		
Helm	lifemax_v	1000		
Helm	lifemax_p	1000		
Helm	recover_life_v	1000		
Helm	water_resist_v	1000		
Helm	defense_v	1000		
Helm	weaken_deadlystrike_v	1000		
Helm	state_stun_resistrate	1000		
Cuff	vitality_v	1000		
Cuff	strength_v	1000		
Cuff	dexterity_v	1000		
Cuff	lifemax_v	1000		
Cuff	wood_resist_v	1000		
Cuff	defense_v	1000		
Cuff	weaken_deadlystrike_v	1000		
Cuff	weaken_deadlystrike_damage_p	1000		
Cuff	state_zhican_resistrate	1000		
Cuff	attackrate_v	1000		
Armor	vitality_v	1000		
Armor	dexterity_v	1000		
Armor	lifemax_v	1000		
Armor	recover_life_v	1000		
Armor	metal_resist_v	1000		
Armor	all_series_resist_v	1000		
Armor	weaken_deadlystrike_v	1000		
Armor	weaken_deadlystrike_damage_p	1000		
Armor	state_hurt_resistrate	1000		
Armor	resist_allseriesstate_rate_v	1000		
Belt	vitality_v	1000		
Belt	dexterity_v	1000		
Belt	energy_v	1000		
Belt	lifemax_v	1000		
Belt	lifemax_p	1000		
Belt	fire_resist_v	1000		
Belt	defense_v	1000		
Belt	weaken_deadlystrike_v	1000		
Belt	weaken_deadlystrike_damage_p	1000		
Belt	state_slowall_resistrate	1000		
Boots	vitality_v	1000		
Boots	dexterity_v	1000		
Boots	strength_v	1000		
Boots	lifemax_v	1000		
Boots	lifereplenish_p	1000		
Boots	earth_resist_v	1000		
Boots	defense_v	1000		
Boots	weaken_deadlystrike_v	1000		
Boots	weaken_deadlystrike_damage_p	1000		
Boots	state_palsy_resistrate	1000		
Necklace	strength_v	1000		
Necklace	dexterity_v	1000		
Necklace	lifemax_v	1000		
Necklace	water_resist_v	1000		
Necklace	defense_v	1000		
Necklace	ignore_defense_v	1000		
Necklace	deadlystrike_v	1000		
Necklace	deadlystrike_damage_p	1000		
Necklace	state_slowall_resistrate	1000		
Necklace	meleedamagereturn_p	1000		
Ring	energy_v	1000		
Ring	strength_v	1000		
Ring	lifemax_v	1000		
Ring	wood_resist_v	1000		
Ring	attackrate_v	1000		
Ring	defense_v	1000		
Ring	ignore_defense_v	1000		
