AttribType	Level	FightPower	AttribValue	Value1	Value2	Value3	SpecialDesc
vitality_v	1	15	15000	8			
vitality_v	2	22	22500	15			
vitality_v	3	30	30000	23			
vitality_v	4	45	45000	30			
vitality_v	5	60	60000	38			
vitality_v	6	90	90000	45			
vitality_v	7	120	120000	53			
vitality_v	8	180	180000	60			
vitality_v	9	300	300000	68			
vitality_v	10	480	480000	75			
vitality_v	11	750	720000	83			
vitality_v	12	1200	1080000	90			
vitality_v	13	1800	1500000	98			
vitality_v	14	3000	2400000	105			
vitality_v	15	4800	3000000	113			
vitality_v	16	7200	3600000	120			
vitality_v	17	10500	4500000	128			
vitality_v	18	15000	5400000	135			
vitality_v	19	18000	7200000	143			
vitality_v	20	22500	9000000	150			
vitality_v	21	24000	10800000	160			
vitality_v	22	25500	12600000	165			
vitality_v	23	27000	14400000	174			
vitality_v	24	28500	16200000	180			
vitality_v	25	30000	18000000	190			
vitality_v	26	31500	19800000	195			
vitality_v	27	33000	21600000	204			
vitality_v	28	34500	23400000	210			
vitality_v	29	36000	25200000	220			
vitality_v	30	37500	27000000	225			
vitality_v	31	38100	27900000	235			
vitality_v	32	38700	28800000	247			
vitality_v	33	39300	29700000	259			
vitality_v	34	39900	30600000	272			
vitality_v	35	40500	31500000	285			
vitality_v	36	0	0	299			
vitality_v	37	0	0	314			
vitality_v	38	0	0	329			
vitality_v	39	0	0	345			
vitality_v	40	0	0	362			
vitality_v	41	0	0	380			
vitality_v	42	0	0	398			
vitality_v	43	0	0	418			
vitality_v	44	0	0	438			
vitality_v	45	0	0	459			
vitality_v	46	0	0	482			
vitality_v	47	0	0	0			
vitality_v	48	0	0	0			
vitality_v	49	0	0	0			
vitality_v	50	0	0	0			
vitality_v	51	0	0	0			
vitality_v	52	0	0	0			
vitality_v	53	0	0	0			
vitality_v	54	0	0	0			
vitality_v	55	0	0	0			
vitality_v	56	0	0	0			
vitality_v	57	0	0	0			
vitality_v	58	0	0	0			
vitality_v	59	0	0	0			
vitality_v	60	0	0	0			
energy_v	1	15	15000	8			
energy_v	2	22	22500	15			
energy_v	3	30	30000	23			
energy_v	4	45	45000	30			
energy_v	5	60	60000	38			
energy_v	6	90	90000	45			
energy_v	7	120	120000	53			
energy_v	8	180	180000	60			
energy_v	9	300	300000	68			
energy_v	10	480	480000	75			
energy_v	11	750	720000	83			
energy_v	12	1200	1080000	90			
energy_v	13	1800	1500000	98			
energy_v	14	3000	2400000	105			
energy_v	15	4800	3000000	113			
energy_v	16	7200	3600000	120			
energy_v	17	10500	4500000	128			
energy_v	18	15000	5400000	135			
energy_v	19	18000	7200000	143			
energy_v	20	22500	9000000	150			
energy_v	21	24000	10800000	160			
energy_v	22	25500	12600000	165			
energy_v	23	27000	14400000	174			
energy_v	24	28500	16200000	180			
energy_v	25	30000	18000000	190			
energy_v	26	31500	19800000	195			
energy_v	27	33000	21600000	204			
energy_v	28	34500	23400000	210			
energy_v	29	36000	25200000	220			
energy_v	30	37500	27000000	225			
energy_v	31	38100	27900000	235			
energy_v	32	38700	28800000	247			
energy_v	33	39300	29700000	259			
energy_v	34	39900	30600000	272			
energy_v	35	40500	31500000	285			
energy_v	36	0	0	299			
energy_v	37	0	0	314			
energy_v	38	0	0	329			
energy_v	39	0	0	345			
energy_v	40	0	0	362			
energy_v	41	0	0	380			
energy_v	42	0	0	398			
energy_v	43	0	0	418			
energy_v	44	0	0	438			
energy_v	45	0	0	459			
energy_v	46	0	0	482			
energy_v	47	0	0	0			
energy_v	48	0	0	0			
energy_v	49	0	0	0			
energy_v	50	0	0	0			
energy_v	51	0	0	0			
energy_v	52	0	0	0			
energy_v	53	0	0	0			
energy_v	54	0	0	0			
energy_v	55	0	0	0			
energy_v	56	0	0	0			
energy_v	57	0	0	0			
energy_v	58	0	0	0			
energy_v	59	0	0	0			
energy_v	60	0	0	0			
strength_v	1	15	15000	8			
strength_v	2	22	22500	15			
strength_v	3	30	30000	23			
strength_v	4	45	45000	30			
strength_v	5	60	60000	38			
strength_v	6	90	90000	45			
strength_v	7	120	120000	53			
strength_v	8	180	180000	60			
strength_v	9	300	300000	68			
strength_v	10	480	480000	75			
strength_v	11	750	720000	83			
strength_v	12	1200	1080000	90			
