ItemId	Count	
4254	7	
4255	7	
4256	7	
4257	8	
4258	8	
7083	8	
7084	8	
7085	8	
7086	8	
7087	8	
7088	8	
7089	8	
7090	8	
4261	7	
4262	7	
4263	7	
4264	8	
4265	8	
7091	8	
7092	8	
7093	8	
7094	8	
7095	8	
7096	8	
7097	8	
7098	8	
4268	7	
4269	7	
4270	7	
4271	8	
4272	8	
7099	8	
7100	8	
7101	8	
7102	8	
7103	8	
7104	8	
7105	8	
7106	8	
10016	7	T10白金武器
10104	7	T10白金衣服
10060	7	T10白金帽子
10093	7	T10白金腰带
10071	7	T10白金护腕
10082	7	T10白金鞋子
10049	7	T10白金项链
10027	7	T10白金戒指
10038	7	T10白金玉佩
10115	7	T10白金护身符
10017	7	T11白金武器
10105	7	T11白金衣服
10061	7	T11白金帽子
10094	7	T11白金腰带
10072	7	T11白金护腕
10083	7	T11白金鞋子
10050	7	T11白金项链
10028	7	T11白金戒指
10039	7	T11白金玉佩
10116	7	T11白金护身符
10018	7	T12白金武器
10106	7	T12白金衣服
10062	7	T12白金帽子
10095	7	T12白金腰带
10073	7	T12白金护腕
10084	7	T12白金鞋子
10051	7	T12白金项链
10029	7	T12白金戒指
10040	7	T12白金玉佩
10117	7	T12白金护身符
10019	7	T13白金武器
10107	7	T13白金衣服
10063	7	T13白金帽子
10096	7	T13白金腰带
10074	7	T13白金护腕
10085	7	T13白金鞋子
10052	7	T13白金项链
10030	7	T13白金戒指
10041	7	T13白金玉佩
10118	7	T13白金护身符
10020	7	T14白金武器
10108	7	T14白金衣服
10064	7	T14白金帽子
10097	7	T14白金腰带
10075	7	T14白金护腕
10086	7	T14白金鞋子
10053	7	T14白金项链
10031	7	T14白金戒指
10042	7	T14白金玉佩
10119	7	T14白金护身符
10021	7	T15白金武器
10109	7	T15白金衣服
10065	7	T15白金帽子
10098	7	T15白金腰带
10076	7	T15白金护腕
10087	7	T15白金鞋子
10054	7	T15白金项链
10032	7	T15白金戒指
10043	7	T15白金玉佩
10120	7	T15白金护身符
10022	7	T16白金武器
10110	7	T16白金衣服
10066	7	T16白金帽子
10099	7	T16白金腰带
10077	7	T16白金护腕
10088	7	T16白金鞋子
10055	7	T16白金项链
10033	7	T16白金戒指
10044	7	T16白金玉佩
10121	7	T16白金护身符
10023	7	T17白金武器
10111	7	T17白金衣服
10067	7	T17白金帽子
10100	7	T17白金腰带
10078	7	T17白金护腕
10089	7	T17白金鞋子
10056	7	T17白金项链
10034	7	T17白金戒指
10045	7	T17白金玉佩
10122	7	T17白金护身符
10024	7	T18白金武器
10112	7	T18白金衣服
10068	7	T18白金帽子
10101	7	T18白金腰带
10079	7	T18白金护腕
10090	7	T18白金鞋子
10057	7	T18白金项链
10035	7	T18白金戒指
10046	7	T18白金玉佩
10123	7	T18白金护身符
