AttribType	Level	FightPower	AttribValue	Value1	Value2	Value3	SpecialDesc
vitality_v	1	3000	3000000	175			
vitality_v	2	4500	4500000	188			
vitality_v	3	6000	6000000	200			
vitality_v	4	7500	7500000	213			
vitality_v	5	9000	9000000	225			
vitality_v	6	12000	12000000	238			
vitality_v	7	15000	15000000	250			
vitality_v	8	18000	18000000	263			
vitality_v	9	21000	21000000	275			
vitality_v	10	24000	24000000	288			
vitality_v	11	27000	27000000	300			
vitality_v	12	30000	30000000	313			
vitality_v	13	33000	33000000	325			
vitality_v	14	36000	36000000	338			
vitality_v	15	39000	39000000	350			
vitality_v	16	42000	42000000	363			
vitality_v	17	45000	45000000	375			
vitality_v	18	48000	48000000	388			
vitality_v	19	50350	50350000	415			
vitality_v	20	52800	52800000	435			
vitality_v	21	55380	55380000	455			
vitality_v	22	58080	58080000	480			
vitality_v	23	60920	60920000	500			
vitality_v	24	63890	63890000	525			
vitality_v	25	67010	67010000	550			
vitality_v	26	70280	70280000	580			
vitality_v	27	73710	73710000	605			
vitality_v	28	77310	77310000	635			
vitality_v	29	81080	81080000	665			
vitality_v	30	85040	85040000	700			
energy_v	1	3000	3000000	175			
energy_v	2	4500	4500000	188			
energy_v	3	6000	6000000	200			
energy_v	4	7500	7500000	213			
energy_v	5	9000	9000000	225			
energy_v	6	12000	12000000	238			
energy_v	7	15000	15000000	250			
energy_v	8	18000	18000000	263			
energy_v	9	21000	21000000	275			
energy_v	10	24000	24000000	288			
energy_v	11	27000	27000000	300			
energy_v	12	30000	30000000	313			
energy_v	13	33000	33000000	325			
energy_v	14	36000	36000000	338			
energy_v	15	39000	39000000	350			
energy_v	16	42000	42000000	363			
energy_v	17	45000	45000000	375			
energy_v	18	48000	48000000	388			
energy_v	19	50350	50350000	415			
energy_v	20	52800	52800000	435			
energy_v	21	55380	55380000	455			
energy_v	22	58080	58080000	480			
energy_v	23	60920	60920000	500			
energy_v	24	63890	63890000	525			
energy_v	25	67010	67010000	550			
energy_v	26	70280	70280000	580			
energy_v	27	73710	73710000	605			
energy_v	28	77310	77310000	635			
energy_v	29	81080	81080000	665			
energy_v	30	85040	85040000	700			
strength_v	1	3000	3000000	175			
strength_v	2	4500	4500000	188			
strength_v	3	6000	6000000	200			
strength_v	4	7500	7500000	213			
strength_v	5	9000	9000000	225			
strength_v	6	12000	12000000	238			
strength_v	7	15000	15000000	250			
strength_v	8	18000	18000000	263			
strength_v	9	21000	21000000	275			
strength_v	10	24000	24000000	288			
strength_v	11	27000	27000000	300			
strength_v	12	30000	30000000	313			
strength_v	13	33000	33000000	325			
strength_v	14	36000	36000000	338			
strength_v	15	39000	39000000	350			
strength_v	16	42000	42000000	363			
strength_v	17	45000	45000000	375			
strength_v	18	48000	48000000	388			
strength_v	19	50350	50350000	415			
strength_v	20	52800	52800000	435			
strength_v	21	55380	55380000	455			
strength_v	22	58080	58080000	480			
strength_v	23	60920	60920000	500			
strength_v	24	63890	63890000	525			
strength_v	25	67010	67010000	550			
strength_v	26	70280	70280000	580			
strength_v	27	73710	73710000	605			
strength_v	28	77310	77310000	635			
strength_v	29	81080	81080000	665			
strength_v	30	85040	85040000	700			
dexterity_v	1	3000	3000000	175			
dexterity_v	2	4500	4500000	188			
dexterity_v	3	6000	6000000	200			
dexterity_v	4	7500	7500000	213			
dexterity_v	5	9000	9000000	225			
dexterity_v	6	12000	12000000	238			
dexterity_v	7	15000	15000000	250			
dexterity_v	8	18000	18000000	263			
dexterity_v	9	21000	21000000	275			
dexterity_v	10	24000	24000000	288			
dexterity_v	11	27000	27000000	300			
dexterity_v	12	30000	30000000	313			
dexterity_v	13	33000	33000000	325			
dexterity_v	14	36000	36000000	338			
dexterity_v	15	39000	39000000	350			
dexterity_v	16	42000	42000000	363			
dexterity_v	17	45000	45000000	375			
dexterity_v	18	48000	48000000	388			
dexterity_v	19	50350	50350000	415			
dexterity_v	20	52800	52800000	435			
dexterity_v	21	55380	55380000	455			
dexterity_v	22	58080	58080000	480			
dexterity_v	23	60920	60920000	500			
dexterity_v	24	63890	63890000	525			
dexterity_v	25	67010	67010000	550			
dexterity_v	26	70280	70280000	580			
dexterity_v	27	73710	73710000	605			
dexterity_v	28	77310	77310000	635			
dexterity_v	29	81080	81080000	665			
dexterity_v	30	85040	85040000	700			
basic_damage_v	1	3000	3000000	175		175	
basic_damage_v	2	4500	4500000	188		188	
basic_damage_v	3	6000	6000000	200		200	
basic_damage_v	4	7500	7500000	213		213	
basic_damage_v	5	9000	9000000	225		225	
basic_damage_v	6	12000	12000000	238		238	
basic_damage_v	7	15000	15000000	250		250	
basic_damage_v	8	18000	18000000	263		263	
basic_damage_v	9	21000	21000000	275		275	
basic_damage_v	10	24000	24000000	288		288	
basic_damage_v	11	27000	27000000	300		300	
basic_damage_v	12	30000	30000000	313		313	
basic_damage_v	13	33000	33000000	325		325	
basic_damage_v	14	36000	36000000	338		338	
basic_damage_v	15	39000	39000000	350		350	
basic_damage_v	16	42000	42000000	363		363	
basic_damage_v	17	45000	45000000	375		375	
basic_damage_v	18	48000	48000000	388		388	
basic_damage_v	19	50350	50350000	415		415	
basic_damage_v	20	52800	52800000	435		435	
basic_damage_v	21	55380	55380000	455		455	
basic_damage_v	22	58080	58080000	480		480	
basic_damage_v	23	60920	60920000	500		500	
basic_damage_v	24	63890	63890000	525		525	
basic_damage_v	25	67010	67010000	550		550	
basic_damage_v	26	70280	70280000	580		580	
