AttribType	Level	FightPower	AttribValue	Value1	Value2	Value3	Value1Offset	Value2Offset	Value3Offset	SpecialDesc
strength_v	1	1000	1000000	38			13			
strength_v	2	2000	2000000	49			17			
strength_v	3	5000	5000000	68			23			
strength_v	4	8000	8000000	81			27			
strength_v	5	12000	12000000	94			32			
strength_v	6	14000	14000000	100			34			
strength_v	7	16000	16000000	105			35			
strength_v	8	0	0	0			0			
strength_v	9	0	0	0			0			
strength_v	10	0	0	0			0			
strength_v	11	0	0	0			0			
strength_v	12	0	0	0			0			
strength_v	13	0	0	0			0			
strength_v	14	0	0	0			0			
strength_v	15	0	0	0			0			
vitality_v	1	1000	1000000	38			13			
vitality_v	2	2000	2000000	49			17			
vitality_v	3	5000	5000000	68			23			
vitality_v	4	8000	8000000	81			27			
vitality_v	5	12000	12000000	94			32			
vitality_v	6	14000	14000000	100			34			
vitality_v	7	16000	16000000	105			35			
vitality_v	8	0	0	0			0			
vitality_v	9	0	0	0			0			
vitality_v	10	0	0	0			0			
vitality_v	11	0	0	0			0			
vitality_v	12	0	0	0			0			
vitality_v	13	0	0	0			0			
vitality_v	14	0	0	0			0			
vitality_v	15	0	0	0			0			
dexterity_v	1	1000	1000000	38			13			
dexterity_v	2	2000	2000000	49			17			
dexterity_v	3	5000	5000000	68			23			
dexterity_v	4	8000	8000000	81			27			
dexterity_v	5	12000	12000000	94			32			
dexterity_v	6	14000	14000000	100			34			
dexterity_v	7	16000	16000000	105			35			
dexterity_v	8	0	0	0			0			
dexterity_v	9	0	0	0			0			
dexterity_v	10	0	0	0			0			
dexterity_v	11	0	0	0			0			
dexterity_v	12	0	0	0			0			
dexterity_v	13	0	0	0			0			
dexterity_v	14	0	0	0			0			
dexterity_v	15	0	0	0			0			
energy_v	1	1000	1000000	38			13			
energy_v	2	2000	2000000	49			17			
energy_v	3	5000	5000000	68			23			
energy_v	4	8000	8000000	81			27			
energy_v	5	12000	12000000	94			32			
energy_v	6	14000	14000000	100			34			
energy_v	7	16000	16000000	105			35			
energy_v	8	0	0	0			0			
energy_v	9	0	0	0			0			
energy_v	10	0	0	0			0			
energy_v	11	0	0	0			0			
energy_v	12	0	0	0			0			
energy_v	13	0	0	0			0			
energy_v	14	0	0	0			0			
energy_v	15	0	0	0			0			
lifemax_v	1	1000	1000000	1500			500			
lifemax_v	2	2000	2000000	1938			646			
lifemax_v	3	5000	5000000	2717			906			
lifemax_v	4	8000	8000000	3232			1078			
lifemax_v	5	12000	12000000	3754			1252			
lifemax_v	6	14000	14000000	3973			1325			
lifemax_v	7	16000	16000000	4174			1392			
lifemax_v	8	0	0	0			0			
lifemax_v	9	0	0	0			0			
lifemax_v	10	0	0	0			0			
lifemax_v	11	0	0	0			0			
lifemax_v	12	0	0	0			0			
lifemax_v	13	0	0	0			0			
lifemax_v	14	0	0	0			0			
lifemax_v	15	0	0	0			0			
basic_damage_v	1	1000	1000000	75		75	25		25	
basic_damage_v	2	2000	2000000	97		97	33		33	
basic_damage_v	3	5000	5000000	136		136	46		46	
basic_damage_v	4	8000	8000000	162		162	54		54	
basic_damage_v	5	12000	12000000	188		188	63		63	
basic_damage_v	6	14000	14000000	199		199	67		67	
basic_damage_v	7	16000	16000000	209		209	70		70	
basic_damage_v	8	0	0	0		0	0		0	
basic_damage_v	9	0	0	0		0	0		0	
basic_damage_v	10	0	0	0		0	0		0	
basic_damage_v	11	0	0	0		0	0		0	
basic_damage_v	12	0	0	0		0	0		0	
basic_damage_v	13	0	0	0		0	0		0	
basic_damage_v	14	0	0	0		0	0		0	
basic_damage_v	15	0	0	0		0	0		0	
resist_allseriesstate_time_v	1	1000	1000000	38			13			
resist_allseriesstate_time_v	2	2000	2000000	49			17			
resist_allseriesstate_time_v	3	5000	5000000	68			23			
resist_allseriesstate_time_v	4	8000	8000000	81			27			
resist_allseriesstate_time_v	5	12000	12000000	94			32			
resist_allseriesstate_time_v	6	14000	14000000	100			34			
resist_allseriesstate_time_v	7	16000	16000000	105			35			
resist_allseriesstate_time_v	8	0	0	0			0			
resist_allseriesstate_time_v	9	0	0	0			0			
resist_allseriesstate_time_v	10	0	0	0			0			
resist_allseriesstate_time_v	11	0	0	0			0			
resist_allseriesstate_time_v	12	0	0	0			0			
resist_allseriesstate_time_v	13	0	0	0			0			
resist_allseriesstate_time_v	14	0	0	0			0			
resist_allseriesstate_time_v	15	0	0	0			0			
metal_resist_v	1	1000	1000000	188			63			
metal_resist_v	2	2000	2000000	243			81			
metal_resist_v	3	5000	5000000	340			114			
metal_resist_v	4	8000	8000000	404			135			
metal_resist_v	5	12000	12000000	470			157			
metal_resist_v	6	14000	14000000	497			166			
