Level	MaxMember	MaxMemberAbroad	MaxNewer	MaxRetire	MaxMaster	MaxViceMaster	MaxCommander	MaxElder	MaxElite	MaxMascot	MaxFound
1	10	10	5	0	1	1	1	4	10	0	1000000000
2	13	15	5	0	1	1	1	5	15	0	1000000000
3	15	20	5	0	1	1	1	5	15	2	1000000000
4	20	20	5	0	1	1	1	5	15	2	1000000000
5	25	20	5	0	1	1	1	5	15	2	1000000000
6	25	20	5	0	1	1	1	5	15	2	1000000000
7	25	20	5	0	1	1	1	5	15	2	1000000000
8	25	20	5	0	1	1	1	5	15	2	1500000000
9	25	20	5	0	1	1	1	5	15	2	1500000000
10	25	20	5	0	1	1	1	5	15	2	2000000000
11	25	20	5	0	1	1	1	5	15	2	2000000000
12	25	20	5	0	1	1	1	5	15	2	2000000000
13	25	20	5	0	1	1	1	5	15	2	2500000000
14	25	20	5	0	1	1	1	5	15	2	2500000000
