DialogNpc	FightNpc	PosX	PosY	Series
228	229	2282	3437	1
228	229	8136	4849	1
228	229	7306	4715	1
228	229	7311	5843	1
228	229	7956	5764	1
228	229	2321	4621	1
228	229	1434	4253	1
228	229	4655	7370	1
228	229	5061	7854	1
228	229	6194	7844	1
228	229	7484	7661	1
228	229	6347	7109	1
228	229	5413	7089	1
228	229	7992	6618	1
228	229	3816	7687	1
228	229	1539	5181	1
228	229	2350	5478	1
228	229	1895	7038	1
228	229	3284	7200	1
228	229	3987	6970	1
228	229	1633	3517	1
228	229	1586	6650	1
228	229	5602	7528	1
228	229	7802	7241	1
228	229	7678	6158	1
228	229	7648	5152	1
228	229	4363	7775	1
228	229	5706	7838	1
228	229	6688	7740	1
228	229	6150	7442	1
228	229	4035	7394	1
228	229	2189	6631	1
228	229	2404	6162	1
228	229	2081	5039	1
228	229	1505	4707	1
228	229	1417	3852	1
228	229	1954	3109	1
228	229	2477	3065	1
228	229	1891	3994	1
228	229	1900	4487	1
228	229	6688	6705	1
228	229	7377	6915	1
228	229	7206	6480	1
228	229	1456	5703	1
228	229	1930	5694	1
228	229	1837	6206	1
228	229	2155	7770	1
228	229	2135	7398	1
228	229	3151	7604	1
228	229	2648	7799	1
228	229	2667	6573	1
228	229	3132	6749	1
228	229	2365	7008	1
228	229	2829	7164	1
228	229	2565	7472	1
228	229	5090	7394	1
228	229	6688	7335	1
228	229	7167	7296	1
