BuildingId	Level	MainBuildingLimit	LevelUpCost	Desc
1	1	1	0	●  主殿等级代表家族等级\n●  提升主殿等级可以开放其他作坊的建造\n●  其他作坊等级不能超过主殿的等级\n●  主殿达到 [FFFE0D]2级[-] 后新增 [FFFE0D]1名[-] 长老职位名额\n●  主殿达到 [FFFE0D]2级[-] 后开放建造 [FFFE0D]兵甲坊[-]、[FFFE0D]防具坊[-]、[FFFE0D]首饰坊[-]
1	2	1	600000	●  主殿等级代表家族等级\n●  提升主殿等级可以开放其他作坊的建造\n●  其他作坊等级不能超过主殿的等级\n●  主殿达到 [FFFE0D]3级[-] 后新增 [FFFE0D]2名[-] 家族宝贝职位名额
1	3	1	1800000	●  主殿等级代表家族等级\n●  提升主殿等级可以开放其他作坊的建造\n●  其他作坊等级不能超过主殿的等级
1	4	1	3600000	●  主殿等级代表家族等级\n●  提升主殿等级可以开放其他作坊的建造\n●  其他作坊等级不能超过主殿的等级
1	5	1	7200000	●  主殿等级代表家族等级\n●  提升主殿等级可以开放其他作坊的建造\n●  其他作坊等级不能超过主殿的等级
1	6	1	15000000	●  主殿等级代表家族等级\n●  提升主殿等级可以开放其他作坊的建造\n●  其他作坊等级不能超过主殿的等级
1	7	1	30000000	●  主殿等级代表家族等级\n●  提升主殿等级可以开放其他作坊的建造\n●  其他作坊等级不能超过主殿的等级
1	8	1	60000000	●  主殿等级代表家族等级\n●  提升主殿等级可以开放其他作坊的建造\n●  其他作坊等级不能超过主殿的等级
1	9	1	90000000	●  主殿等级代表家族等级\n●  提升主殿等级可以开放其他作坊的建造\n●  其他作坊等级不能超过主殿的等级
1	10	1	120000000	●  主殿等级代表家族等级\n●  提升主殿等级可以开放其他作坊的建造\n●  其他作坊等级不能超过主殿的等级
1	11	1	150000000	●  主殿等级代表家族等级\n●  提升主殿等级可以开放其他作坊的建造\n●  其他作坊等级不能超过主殿的等级
1	12	1	180000000	●  主殿等级代表家族等级\n●  提升主殿等级可以开放其他作坊的建造\n●  其他作坊等级不能超过主殿的等级
1	13	1	200000000	●  主殿等级代表家族等级\n●  提升主殿等级可以开放其他作坊的建造\n●  其他作坊等级不能超过主殿的等级
1	14	1	220000000	●  主殿等级代表家族等级\n●  提升主殿等级可以开放其他作坊的建造\n●  其他作坊等级不能超过主殿的等级
4	1	1	0	●  存储着家族建设资金以及家族礼盒\n●  等级越高领取的礼盒等级越高
4	2	2	250000	●  存储着家族建设资金以及家族礼盒\n●  等级越高领取的礼盒等级越高
4	3	3	500000	●  存储着家族建设资金以及家族礼盒\n●  等级越高领取的礼盒等级越高
4	4	4	1000000	●  存储着家族建设资金以及家族礼盒\n●  等级越高领取的礼盒等级越高
4	5	5	2000000	●  存储着家族建设资金以及家族礼盒\n●  等级越高领取的礼盒等级越高
4	6	6	4000000	●  存储着家族建设资金以及家族礼盒\n●  等级越高领取的礼盒等级越高
4	7	7	8000000	●  存储着家族建设资金以及家族礼盒\n●  等级越高领取的礼盒等级越高
4	8	8	16000000	●  存储着家族建设资金以及家族礼盒\n●  等级越高领取的礼盒等级越高
4	9	9	24000000	●  存储着家族建设资金以及家族礼盒\n●  等级越高领取的礼盒等级越高
4	10	10	32000000	●  存储着家族建设资金以及家族礼盒\n●  等级越高领取的礼盒等级越高
4	11	11	40000000	●  存储着家族建设资金以及家族礼盒\n●  等级越高领取的礼盒等级越高
4	12	12	50000000	●  存储着家族建设资金以及家族礼盒\n●  等级越高领取的礼盒等级越高
4	13	13	60000000	●  存储着家族建设资金以及家族礼盒\n●  等级越高领取的礼盒等级越高
4	14	14	70000000	●  存储着家族建设资金以及家族礼盒\n●  等级越高领取的礼盒等级越高
5	1	1	200000	●  珍宝坊出售各类 [FFFE0D]水晶[-]、[FFFE0D]魂石[-]、[FFFE0D]古董[-]\n●  等级越高上架的商品等级越高以及商品折扣越优惠\n●  每天凌晨 [FFFE0D]4点[-] 刷新上架商品
5	2	2	250000	●  珍宝坊出售各类 [FFFE0D]水晶[-]、[FFFE0D]魂石[-]、[FFFE0D]古董[-]\n●  等级越高上架的商品等级越高以及商品折扣越优惠\n●  每天凌晨 [FFFE0D]4点[-] 刷新上架商品
5	3	3	500000	●  珍宝坊出售各类 [FFFE0D]水晶[-]、[FFFE0D]魂石[-]、[FFFE0D]古董[-]\n●  等级越高上架的商品等级越高以及商品折扣越优惠\n●  每天凌晨 [FFFE0D]4点[-] 刷新上架商品
5	4	4	1000000	●  珍宝坊出售各类 [FFFE0D]水晶[-]、[FFFE0D]魂石[-]、[FFFE0D]古董[-]\n●  等级越高上架的商品等级越高以及商品折扣越优惠\n●  每天凌晨 [FFFE0D]4点[-] 刷新上架商品
5	5	5	2000000	●  珍宝坊出售各类 [FFFE0D]水晶[-]、[FFFE0D]魂石[-]、[FFFE0D]古董[-]\n●  等级越高上架的商品等级越高以及商品折扣越优惠\n●  每天凌晨 [FFFE0D]4点[-] 刷新上架商品
5	6	6	4000000	●  珍宝坊出售各类 [FFFE0D]水晶[-]、[FFFE0D]魂石[-]、[FFFE0D]古董[-]\n●  等级越高上架的商品等级越高以及商品折扣越优惠\n●  每天凌晨 [FFFE0D]4点[-] 刷新上架商品
5	7	7	8000000	●  珍宝坊出售各类 [FFFE0D]水晶[-]、[FFFE0D]魂石[-]、[FFFE0D]古董[-]\n●  等级越高上架的商品等级越高以及商品折扣越优惠\n●  每天凌晨 [FFFE0D]4点[-] 刷新上架商品
5	8	8	16000000	●  珍宝坊出售各类 [FFFE0D]水晶[-]、[FFFE0D]魂石[-]、[FFFE0D]古董[-]\n●  等级越高上架的商品等级越高以及商品折扣越优惠\n●  每天凌晨 [FFFE0D]4点[-] 刷新上架商品
5	9	9	24000000	●  珍宝坊出售各类 [FFFE0D]水晶[-]、[FFFE0D]魂石[-]、[FFFE0D]古董[-]\n●  等级越高上架的商品等级越高以及商品折扣越优惠\n●  每天凌晨 [FFFE0D]4点[-] 刷新上架商品
5	10	10	32000000	●  珍宝坊出售各类 [FFFE0D]水晶[-]、[FFFE0D]魂石[-]、[FFFE0D]古董[-]\n●  等级越高上架的商品等级越高以及商品折扣越优惠\n●  每天凌晨 [FFFE0D]4点[-] 刷新上架商品
5	11	11	40000000	●  珍宝坊出售各类 [FFFE0D]水晶[-]、[FFFE0D]魂石[-]、[FFFE0D]古董[-]\n●  等级越高上架的商品等级越高以及商品折扣越优惠\n●  每天凌晨 [FFFE0D]4点[-] 刷新上架商品
5	12	12	50000000	●  珍宝坊出售各类 [FFFE0D]水晶[-]、[FFFE0D]魂石[-]、[FFFE0D]古董[-]\n●  等级越高上架的商品等级越高以及商品折扣越优惠\n●  每天凌晨 [FFFE0D]4点[-] 刷新上架商品
5	13	13	60000000	●  珍宝坊出售各类 [FFFE0D]水晶[-]、[FFFE0D]魂石[-]、[FFFE0D]古董[-]\n●  等级越高上架的商品等级越高以及商品折扣越优惠\n●  每天凌晨 [FFFE0D]4点[-] 刷新上架商品
5	14	14	70000000	●  珍宝坊出售各类 [FFFE0D]水晶[-]、[FFFE0D]魂石[-]、[FFFE0D]古董[-]\n●  等级越高上架的商品等级越高以及商品折扣越优惠\n●  每天凌晨 [FFFE0D]4点[-] 刷新上架商品
6	1	2	250000	●  防具坊提供打造：[FFFE0D]帽子[-]、[FFFE0D]护腕[-]、[FFFE0D]腰带[-]、[FFFE0D]鞋子[-] \n●  防具坊等级越高打造成本折扣越优惠
6	2	3	500000	●  防具坊提供打造：[FFFE0D]帽子[-]、[FFFE0D]护腕[-]、[FFFE0D]腰带[-]、[FFFE0D]鞋子[-] \n●  防具坊等级越高打造成本折扣越优惠
6	3	4	1000000	●  防具坊提供打造：[FFFE0D]帽子[-]、[FFFE0D]护腕[-]、[FFFE0D]腰带[-]、[FFFE0D]鞋子[-] \n●  防具坊等级越高打造成本折扣越优惠
6	4	5	2000000	●  防具坊提供打造：[FFFE0D]帽子[-]、[FFFE0D]护腕[-]、[FFFE0D]腰带[-]、[FFFE0D]鞋子[-] \n●  防具坊等级越高打造成本折扣越优惠
6	5	6	4000000	●  防具坊提供打造：[FFFE0D]帽子[-]、[FFFE0D]护腕[-]、[FFFE0D]腰带[-]、[FFFE0D]鞋子[-] \n●  防具坊等级越高打造成本折扣越优惠
