nEventId	nTypeId	szTyepName	nTarget	nBaseGold	szAddGoldList	nCount	nAverageMin	nKind
1	1	充值次数	1	100	500_200_100	15	5	1
2	2	【剑侠V】等级	6	500	2500_1000_500	15	5	1
3	2	【剑侠V】等级	9	1500	7500_3000_1500	15	15	1
4	2	【剑侠V】等级	12	5000	25000_10000_5000	15	50	3
5	2	【剑侠V】等级	15	15000	75000_30000_15000	15	150	3
61	2	【剑侠V】等级	18	30000	150000_60000_30000	15	300	3
6	3	武神殿排名	100	100	500_200_100	15	5	1
7	3	武神殿排名	10	300	1500_600_300	15	5	1
8	3	武神殿排名	1	1000	5000_2000_1000	15	10	3
9	4	全身强化	20	100	500_200_100	15	5	1
10	4	全身强化	40	200	1000_400_200	15	5	1
11	4	全身强化	50	400	2000_800_400	15	5	1
12	4	全身强化	60	600	3000_1200_600	15	6	1
13	4	全身强化	70	1500	7500_3000_1500	15	15	1
14	4	全身强化	80	2000	10000_4000_2000	15	20	1
15	4	全身强化	90	5000	25000_10000_5000	15	50	1
16	4	全身强化	100	15000	75000_30000_15000	15	150	1
17	5	全身镶满	1	100	500_200_100	15	5	1
18	5	全身镶满	2	200	1000_400_200	15	5	1
19	5	全身镶满	3	400	2000_800_400	15	5	1
20	5	全身镶满	4	600	3000_1200_600	15	6	1
21	5	全身镶满	5	1500	7500_3000_1500	15	15	1
22	5	全身镶满	6	5000	25000_10000_5000	15	50	1
23	5	全身镶满	7	15000	75000_30000_15000	15	150	1
24	6	头衔	4	100	500_200_100	15	5	3
25	6	头衔	5	200	1000_400_200	15	5	3
26	6	头衔	6	400	2000_800_400	15	5	3
27	6	头衔	7	600	3000_1200_600	15	6	3
28	6	头衔	8	1200	6000_2400_1200	15	12	3
29	6	头衔	9	2000	10000_4000_2000	15	20	3
30	6	头衔	12	4000	20000_8000_4000	15	40	3
31	6	头衔	15	6000	30000_12000_6000	15	60	3
32	6	头衔	20	15000	75000_30000_15000	15	150	3
33	6	头衔	21	30000	150000_60000_30000	15	300	3
34	7	门派新人王		500	2500_1000_500	15	5	1
35	8	门派大师兄		2000	10000_4000_2000	15	20	3
36	9	白虎堂x层首领	4	200	1000_400_200	20	5	1
62	9	白虎堂x层首领	5	300	1500_600_300	20	5	1
37	10	战场排名	1	200	1000_400_200	20	5	1
63	34	跨服战场排名	1	300	1500_600_300	20	5	1
38	11	盟主排名	1	300	1500_600_300	20	5	1
39	12	通天塔层数	7	300	1500_600_300	20	5	1
64	12	通天塔层数	8	500	2500_1000_500	20	5	1
40	13	第一家族族长		10000	50000_30000_15000	20	100	1
41	14	十大家族族长		5000	25000_10000_5000	20	50	1
42	15	卓越家族族长		3000	15000_6000_3000	20	30	1
43	16	第一家族领袖		10000	50000_30000_15000	20	100	2
44	17	十大家族领袖		5000	25000_10000_5000	20	50	2
45	18	卓越家族领袖		3000	15000_6000_3000	20	30	2
46	19	金牌族长		2000	10000_4000_2000	20	20	1
47	20	卓越族长		1000	5000_2000_1000	20	10	1
48	21	优秀族长		500	2500_1000_500	20	5	1
49	22	合格族长		200	1000_400_200	20	5	1
50	23	金牌副族长		1000	5000_2000_1000	20	10	1
51	24	卓越副族长		500	2500_1000_500	20	5	1
52	25	优秀副族长		200	1000_400_200	20	5	1
53	26	合格副族长		100	500_200_100	20	5	1
54	27	金牌长老		500	2500_1000_500	20	5	1
55	28	卓越长老		200	1000_400_200	20	5	1
56	29	优秀长老		100	500_200_100	20	5	1
57	30	购买7日礼包		100	500_200_100	20	5	1
58	31	购买30日礼包		200	1000_400_200	20	5	1
59	32	购买一本万利		400	2000_800_400	20	5	1
60	33	购买一本万利（65级）		400	2000_800_400	20	5	1
65	35	购买一本万利（90级）		400	2000_800_400	20	5	1
66	36	心魔幻境优胜		600	3000_1200_600	20	6	1
67	37	百人战场排名	1	600	3000_1200_600	20	6	1
68	38	购买一本万利（尊享）		400	2000_800_400	30	5	1
69	39	购买新年如意礼包		1000	5000_2000_1000	20	10	1
70	40	购买新年吉祥礼包		600	3000_1200_600	20	6	1
71	41	购买新年欢乐礼包		400	2000_800_400	20	5	1
72	42	购买新年开运礼包		150	750_300_150	20	5	1
73	43	购买一本万利（100级）		400	2000_800_400	20	5	1
74	44	购买一本万利（110级）		400	2000_800_400	20	5	1
75	45	月度战场第一	1	2000	10000_4000_2000	20	20	3
76	46	群英会全胜	6	600	3000_1200_600	20	6	1
77	47	剑侠情缘周年庆		500	2500_1000_500	20	5	1
78	47	剑侠情缘周年庆		1000	5000_2000_1000	20	10	1
79	48	购买周年庆缘起礼包		1000	5000_2000_1000	20	10	1
80	49	购买周年庆情韵礼包		600	3000_1200_600	20	6	1
81	50	购买周年庆侠踪礼包		400	2000_800_400	20	5	1
82	51	购买周年庆剑影礼包		150	750_300_150	20	5	1
83	52	美女评选中获得海选赛第一		15000	75000_30000_15000	20	150	1
84	53	美女评选中获得海选赛前十		4000	20000_8000_4000	20	40	1
85	54	美女评选中海选赛获投199票	199	400	2000_800_400	20	5	1
86	55	美女评选中获得决赛第一		100000	500000_200000_100000	20	1000	1
87	56	美女评选海选赛第一（全服红包）		15000	75000_30000_15000	20	30	1
88	57	美女评选决赛前十（全服红包）		100000	500000_200000_100000	20	100	1
89	58	美女评选决赛第一（全服红包）		200000	1000000_400000_200000	20	200	1
90	59	美女评选中获得决赛前十		50000	250000_100000_50000	20	500	1
91	60	登上月度通天塔八层	8	2000	10000_4000_2000	20	20	3
92	61	购买每日礼包60元套包		300	1500_600_300	20	5	1
93	62	美女评选决赛获投8000	8000	15000	75000_30000_15000	20	150	1
94	63	美女评选决赛获投8000（全服红包）	8000	20000	100000_40000_20000	20	40	1
96	65	武林大会冠军		10000	50000_20000_10000	20	100	3
97	66	武林大会四强		5000	25000_10000_5000	20	50	3
98	67	武林大会十六强		3000	15000_6000_3000	20	30	1
99	68	武林大会精英		500	2500_1000_500	20	5	1
100	69	武林大会冠军（全服红包）		50000	250000_100000_50000	20	100	1
101	70	武林大会四强（全服红包）		10000	50000_20000_10000	20	50	1
102	71	购买盛夏骄阳礼包		1000	5000_2000_1000	20	20	1
103	72	购买盛夏苍翠礼包		600	3000_1200_600	20	15	1
104	73	购买盛夏莲碧礼包		400	2000_800_400	20	13	1
105	74	购买盛夏蝉鸣礼包		150	750_300_150	20	7	1
106	75	西域行商拍卖竞价超1千		500	2500_1000_500	20	10	1
107	76	西域行商拍卖竞价超2千		1000	5000_2000_1000	20	10	1
108	77	西域行商拍卖竞价超5千		2000	10000_4000_2000	20	10	1
109	78	西域行商拍卖竞价超1万		5000	25000_10000_5000	20	20	1
110	79	西域行商拍卖竞价超2万		10000	50000_20000_10000	20	30	1
111	80	西域行商拍卖竞价超5万		20000	100000_40000_20000	20	30	1
112	81	西域行商拍卖竞价超10万		50000	250000_100000_50000	20	50	1
113	82	西域行商拍卖竞价超12万		60000	300000_120000_60000	20	60	1
114	83	西域行商拍卖竞价超15万		80000	400000_160000_80000	20	80	1
115	84	西域行商拍卖竞价超18万		90000	450000_180000_90000	20	90	1
116	85	西域行商拍卖竞价超20万		100000	500000_200000_100000	20	100	1
117	86	名扬四海尊享礼包		1000	5000_2000_1000	50	10	1
118	87	名扬四海焕新礼包		600	3000_1200_600	40	6	1
119	88	名扬四海庆典礼包		400	2000_800_400	30	5	1
120	89	名扬四海暖心礼包		150	750_300_150	20	5	1
121	90	举办庄园·晚樱连理婚礼	5	500	2500_1000_500	20	10	1
122	90	举办庄园·晚樱连理婚礼	6	500	2500_1000_500	20	10	1
123	90	举办庄园·晚樱连理婚礼	7	800	4000_1600_800	20	15	1
124	90	举办庄园·晚樱连理婚礼	8	800	4000_1600_800	20	15	1
125	90	举办庄园·晚樱连理婚礼	9	1000	5000_2000_1000	20	20	1
126	90	举办庄园·晚樱连理婚礼	10	1000	5000_2000_1000	20	20	1
127	90	举办庄园·晚樱连理婚礼	11	1000	5000_2000_1000	20	20	1
128	90	举办庄园·晚樱连理婚礼	12	1000	5000_2000_1000	20	20	1
129	90	举办庄园·晚樱连理婚礼	13	1000	5000_2000_1000	20	20	1
130	90	举办庄园·晚樱连理婚礼	14	1000	5000_2000_1000	20	20	1
131	90	举办庄园·晚樱连理婚礼	15	1000	5000_2000_1000	20	20	1
132	90	举办庄园·晚樱连理婚礼	16	1000	5000_2000_1000	20	20	1
133	90	举办庄园·晚樱连理婚礼	17	1000	5000_2000_1000	20	20	1
134	90	举办庄园·晚樱连理婚礼	18	1000	5000_2000_1000	20	20	1
135	91	举办海岛·红鸾揽月婚礼	9	2000	10000_4000_2000	20	40	1
136	91	举办海岛·红鸾揽月婚礼	10	3000	15000_6000_3000	20	30	1
137	91	举办海岛·红鸾揽月婚礼	11	3000	15000_6000_3000	20	30	1
138	91	举办海岛·红鸾揽月婚礼	12	5000	25000_10000_5000	20	50	1
139	91	举办海岛·红鸾揽月婚礼	13	5000	25000_10000_5000	20	50	1
140	91	举办海岛·红鸾揽月婚礼	14	5000	25000_10000_5000	20	50	1
141	91	举办海岛·红鸾揽月婚礼	15	5000	25000_10000_5000	20	50	1
142	91	举办海岛·红鸾揽月婚礼	16	5000	25000_10000_5000	20	50	1
143	91	举办海岛·红鸾揽月婚礼	17	5000	25000_10000_5000	20	50	1
144	91	举办海岛·红鸾揽月婚礼	18	5000	25000_10000_5000	20	50	1
145	92	举办舫舟·乘龙配凤婚礼	12	5000	25000_10000_5000	20	50	1
146	92	举办舫舟·乘龙配凤婚礼	13	8000	40000_16000_8000	20	80	1
147	92	举办舫舟·乘龙配凤婚礼	14	8000	40000_16000_8000	20	80	1
148	92	举办舫舟·乘龙配凤婚礼	15	8000	40000_16000_8000	20	80	1
149	92	举办舫舟·乘龙配凤婚礼	16	10000	50000_20000_10000	20	100	1
150	92	举办舫舟·乘龙配凤婚礼	17	10000	50000_20000_10000	20	100	1
151	92	举办舫舟·乘龙配凤婚礼	18	10000	50000_20000_10000	20	100	1
152	93	登上季度通天塔八层	8	5000	25000_10000_5000	20	50	3
153	94	月度心魔幻境优胜		2000	10000_4000_2000	20	20	1
154	95	季度心魔幻境优胜		5000	25000_10000_5000	20	50	1
155	96	结婚满半年		1000	5000_2000_1000	20	10	2
