X	Y
6122	13316
6096	12824
5749	13070
6648	13050
6582	13450
6475	12631
5883	12238
5749	11825
6269	11585
6256	12098
6768	11845
6828	11432
7587	11425
7321	11938
8067	11978
8506	11618
8939	11958
8979	11086
8107	11146
9452	10713
9485	11432
10257	11898
9232	12338
8926	12830
9578	13509
8493	13443
7767	13356
9258	13177
8826	13117
10177	13616
10557	13922
10857	13536
11003	13862
11422	13543
11882	14042
11482	14002
13054	12644
13280	12238
13527	11712
13613	10973
13100	11792
12827	12098
12341	11805
11835	12038
11789	11545
11915	10926
11995	10280
12148	9694
12654	9821
13380	9821
13586	10340
13740	9401
13746	8682
13580	8063
13447	7570
13267	7184
12654	7137
12934	7497
12641	7823
12275	8329
12255	8882
11629	9075
11263	9601
11815	9488
11449	10140
10084	10633
10723	11885
9558	11905
8519	12051
7760	11838
6628	12198
6509	11625
7148	11638
7734	11079
11243	13190
11189	12790
11229	12338
10311	12244
12115	11539
12102	10600
13786	10054
14019	9028
12534	8802
11935	8642
13020	7910
12421	6818
13633	7064
7334	13296
6409	13829
5716	12604
6229	12451
8506	10973
8959	11579
8912	12398
11602	12444
11689	9867
12115	9228
12994	9874
13820	10586
13380	11372
