Type	X	Y
1	5270	3763
1	5762	4589
1	5673	3748
1	4871	4752
1	5636	4837
1	4965	3586
1	5770	3464
1	4480	4206
1	4486	3834
1	4822	3959
1	4681	4556
1	4983	4373
1	5258	4108
1	5673	4068
1	5468	4398
1	5301	4636
2	4807	7259
2	5425	7446
2	4789	6591
2	5134	6295
2	5276	6588
2	5133	7354
2	5073	6978
2	5571	6376
2	5761	6810
2	5798	7316
2	4744	6954
2	4494	6688
2	4603	7341
2	4429	7019
2	5474	6869
2	5539	7135
3	5721	9761
3	5727	8498
3	5975	9499
3	5941	8689
3	4774	8974
3	4753	9382
3	4679	9860
3	5512	9923
3	5062	8760
3	5393	8619
3	5305	9097
3	5076	9495
3	5386	9660
3	5565	9414
3	5881	9129
3	5660	8907
4	5722	12393
4	5101	11401
4	6024	12122
4	6113	11570
4	5790	11207
4	6197	11177
4	4737	11420
4	4833	11835
4	4718	12319
4	5130	12414
4	5192	11931
4	5498	12093
4	5480	11426
4	5740	11794
4	6328	11873
4	6372	12238
