nBornTime	nNpcId	nTeam	nLevel	nNum	nPosX	nPosY	nDir	nScore	nMovePath	nRespawnTime	AwardType	AwadParam	DieMsg	BornMsg	AllNotify
1	166	1	10	1	2916	3205	16	1000					你成功击败了敌军元帅，获得1000积分		
1	174	2	10	1	8112	3211	48	1000					你成功击败了敌军元帅，获得1000积分		
1	162	1	10	1	2539	3726	16	10					你击败了对方士兵，获得10积分		
1	162	1	10	1	2945	3699	16	10					你击败了对方士兵，获得10积分		
1	162	1	10	1	2566	2848	16	10					你击败了对方士兵，获得10积分		
1	162	1	10	1	2985	2839	16	10					你击败了对方士兵，获得10积分		
1	162	1	10	1	3797	3699	16	10					你击败了对方士兵，获得10积分		
1	162	1	10	1	3849	2809	16	10					你击败了对方士兵，获得10积分		
1	162	1	10	1	4495	3695	16	10					你击败了对方士兵，获得10积分		
1	162	1	10	1	4513	2778	16	10					你击败了对方士兵，获得10积分		
1	170	2	10	1	7982	3675	48	10					你击败了对方士兵，获得10积分		
1	170	2	10	1	8397	3675	48	10					你击败了对方士兵，获得10积分		
1	170	2	10	1	8000	2827	48	10					你击败了对方士兵，获得10积分		
1	170	2	10	1	8428	2850	48	10					你击败了对方士兵，获得10积分		
1	170	2	10	1	6710	3782	48	10					你击败了对方士兵，获得10积分		
1	170	2	10	1	7245	3787	48	10					你击败了对方士兵，获得10积分		
1	170	2	10	1	6670	2805	48	10					你击败了对方士兵，获得10积分		
1	170	2	10	1	7179	2823	48	10					你击败了对方士兵，获得10积分		
