Index	nX	nY
1	8126	3186
2	2849	3186
3	2229	3406
3	2729	3430
3	3306	3472
3	3882	3478
3	4489	3454
3	5095	3460
3	5785	3430
3	6415	3442
3	7069	3442
3	7646	3448
3	8122	3424
3	8609	3418
4	2253	2996
4	2723	2966
4	3294	2937
4	3870	2937
4	4453	2943
4	5077	2943
4	5779	2931
4	6415	2913
4	7057	2895
4	7628	2871
4	8116	2865
4	8603	2955
5	2170	3204
5	2729	3186
5	3311	3169
5	3888	3145
5	4507	3145
5	5101	3151
5	5779	3151
5	6391	3169
5	7087	3127
5	7634	3115
5	8122	3085
5	8538	3157
6	8609	3418
6	8122	3424
6	7646	3448
6	7069	3442
6	6415	3442
6	5785	3430
6	5095	3460
6	4489	3454
6	3882	3478
6	3306	3472
6	2729	3430
6	2229	3406
7	8603	2955
7	8116	2865
7	7628	2871
7	7057	2895
7	6415	2913
7	5779	2931
7	5077	2943
7	4453	2943
7	3870	2937
7	3294	2937
7	2723	2966
7	2253	2996
8	8538	3157
8	8122	3085
8	7634	3115
8	7087	3127
8	6391	3169
8	5779	3151
8	5101	3151
8	4507	3145
8	3888	3145
8	3311	3169
8	2729	3186
8	2170	3204
11	4935	3613
12	4935	3413
13	4935	3213
14	4935	3013
15	4935	2813
21	4685	3613
22	4685	3413
23	4685	3213
24	4685	3013
25	4685	2813
31	5981	3613
32	5981	3413
33	5981	3213
34	5981	3013
35	5981	2813
41	6231	3613
42	6231	3413
43	6231	3213
44	6231	3013
45	6231	2813
