nMapId	nIdx	nX	nY	nProbability	szRobNpcs
409	1	6248	6581		
409	2	6375	6001		
409	3	6852	5699		
409	4	7233	5039		
409	5	7448	4307		
409	6	7599	3321		
409	7	7536	2637		
409	8	6812	2606		
409	9	5802	2614		
409	10	4944	2804		
409	11	4538	3099		
409	12	3838	3464		
409	13	3377	3743		
409	14	2884	4259		
409	15	2988	5007		
409	16	3298	5500		
409	17	3425	6295		
409	18	3767	6860		
409	19	3958	7527		
409	20	3369	8418		
409	21	2852	8975		
409	22	2550	9881		
409	23	3003	10525		
409	24	4021	10628		
409	25	5270	10692		
409	26	6065	11169		
409	27	7265	11233		
409	28	8267	11312		
409	29	9372	11304		
409	30	10255	10795		
409	31	10740	10096		
409	32	11066	9658		
409	33	11050	9078		
409	34	11074	7965		
409	35	11122	7281		
409	36	11018	6573		
409	37	10955	5563		
409	38	10931	4737		
409	39	10915	4100		
409	40	10812	3258		
409	41	11464	3162		
409	42	12036	2629		
103	1	9997	5097		
103	2	9486	5057		
103	3	8911	4855		
103	4	8801	4298		
103	5	8536	3644		
103	6	8379	3314		
103	7	7477	3694		
103	8	6302	3702		
103	9	5583	3917		
103	10	4822	4025		
103	11	4152	4066		
103	12	3572	4761		
103	13	3448	5861		
103	14	3713	6962		
103	15	3506	7648		
103	16	4003	8517		
103	17	3308	8939		
103	18	3333	9642		
103	19	4425	9675		
103	20	5384	9766		
103	21	6360	10535		
103	22	6815	10932		
103	23	6666	11743		
103	24	7527	11975		
103	25	7874	11164		
103	26	8230	10568		
103	27	8949	10171		
103	28	9570	9832		
103	29	10364	9625		
103	30	11257	9807		
103	31	11745	10246		
103	32	12465	10196		
103	33	12854	10874		
103	34	13243	11478		
103	35	13764	11900		
101	1	11025	5053		
101	2	11526	5054		
101	3	11027	5055		
101	4	11526	5054		
101	5	11029	5057		
101	6	11526	5054		
102	1	11025	5053		
102	2	11526	5054		
102	3	11027	5055		
102	4	11526	5054		
102	5	11029	5057		
102	6	11526	5054		
