bMoney	szTitle	szA1	szA2	szA3	szA4	szA5	szA6	szA7	szA8
	%s最喜欢下列哪个角色？	独孤剑	杨影枫	南宫飞云	张如梦	紫轩	纳兰真	月眉儿	蔷薇
	%s最喜欢以下哪个门派？	昆仑	逍遥	桃花	五毒	藏剑	武当	天王	翠烟
	%s最喜欢以下哪个同伴？	完颜洪烈	武则天	项羽	秦始皇	荆轲	赵云	唐简	独孤剑
	%s最喜欢哪个历代名将？	李广	岳飞	荆轲	李元霸	鳌拜	哲别	韩世忠	赵云
	%s会选择以下哪个野外首领作为自己的坐骑？	寒玉鹿王	大地狼王	白眉猴王	双首异兽	九尾狐王	奔焰豹王	金翅鹏皇	定海金刚
	%s最喜欢以下哪个日常活动？	英雄挑战	惩恶任务	家族传功	野外修炼	阵法试炼	武神殿	商会任务	打坐冥想
	%s最喜欢以下哪个限时活动？	门派竞技	通天塔	宋金战场	白虎堂	家族运镖	家族烤火	武林盟主	心魔幻境
	%s最喜欢以下哪个系列的外装？	浮光系列	丝路流纱	樱落长空	墨芷幽兰	青竹觅影	君子如风	白玉琅环	千叶森罗
	%s最喜欢游戏中哪个节日的活动？	新年	双旦	腊八节	国庆节	情人节	清明节	师徒节	七夕节
	%s最喜欢以下哪个地图的景色？	临安城	襄阳城	忘忧岛	锁云渊	昆虚脉藏	剑门关	祁连山	长白山
	%s更钟爱以下哪条属性？	体质	力量	敏捷	灵巧	命中	闪避	会心	吸取生命
	%s最喜欢以下哪种水果？	香蕉	苹果	葡萄	火龙果	菠萝	草莓	香梨	荔枝
	%s在游戏中无事可做的时候怎么消遣时间？	挂机烤火	看看风景	各种聊天	静静发呆	默默下线	四处助人	四处挑衅	一通乱逛
	%s最喜欢游戏中的哪项福利活动？	元宝大礼	每日礼包	一本万利	签到领奖	摇钱树	离线托管	奖励找回	都喜欢
	%s在游戏中更看重以下哪个排行榜？	家族	战力	等级	装备	同伴	武林荣誉	家园	魅力
	%s最看重哪个方面的成就？	闯荡江湖	情义江湖	神兵宝甲	江湖福利	江湖历练	竞技比武	攻城夺宝	都看重
	%s最喜欢以下哪种负面效果？	受伤	眩晕	迟缓	致缠	麻痹	会心	都喜欢	减抗
	%s最喜欢下列哪个角色？	南宫灭	紫轩	纳兰真	月眉儿	蔷薇	方勉	完颜洪烈	耶律辟邪
	%s最喜欢以下哪个门派？	昆仑	丐帮	天山	峨嵋	长歌	唐门	少林	天忍
	%s最喜欢以下哪个日常活动？	凌绝峰	藏宝图	家族传功	野外修炼	山贼密窟	武神殿	商会任务	打坐冥想
	%s最喜欢以下哪个限时活动？	群英会	通天塔	历代名将	秦始皇陵	始皇降世	攻城战	家族试炼	心魔幻境
	%s最近元宝消耗在哪个方面最多？	强化	镶嵌	装备基础	家园	真元	同伴	经脉	头衔
	%s的元宝消耗在哪个途径最多？	拍卖行	摆摊	奖励找回	离线托管	摇钱树	同伴招募	珍宝阁	家族捐献
	%s的最亲密的人是什么关系？	师父	徒弟	仅是好友	结拜	侠侣	夫妻	敌人	仅同家族
	%s认为以下哪个方面能力最有用？	强化	镶嵌	装备基础	家园	真元	同伴	经脉	头衔
	%s最喜欢以下哪种花？	牡丹	玫瑰	月季	茉莉	曼陀罗	康乃馨	水仙	彼岸花
	%s最喜欢下面哪种运动？	篮球	足球	乒乓球	跑步	游泳	网球	羽毛球	射箭
	%s最喜欢下面哪种音乐？	通俗	流行	爵士	古典	民谣	电音	摇滚	说唱
	%s最喜欢以下哪种类型的书？	历史	武侠	推理	科幻	言情	哲学	设计	军事
	%s最喜欢看以下哪种电影？	喜剧	动作	爱情	科幻	历史	战争	武侠	悬疑
	%s喜欢做什么事情度过闲暇时光？	唱歌	运动	桌游	游戏	绘画	书法	阅读	看剧
	%s最喜欢以下哪种棋类？	军棋	中国象棋	围棋	五子棋	跳棋	国际象棋	斗兽棋	飞行棋
	%s最喜欢以下什么乐器？	弦乐器	木管乐器	铜管乐器	打击乐器	体鸣乐器	膜鸣乐器	气鸣乐器	弦鸣乐器
	%s最喜欢吃以下哪个菜系的菜？	川菜	鲁菜	粤菜	苏菜	闽菜	徽菜	湘菜	浙菜
