nId	nNpcTID	szTitle	nAnswerId	szA1	szA2	szA3	szA4
1	1966	古代四大美女在唐朝的是？	1	杨玉环	貂蝉	西施	王昭君
2	1966	唐代文宗曾向天下发布一个罕见的天下三绝诏书，请问以下哪个不是天下三绝？	4	张旭的草书	斐旻的剑舞	李白的诗歌	张萱的画卷
3	1966	李贺被誉为什么？	3	诗仙	诗圣	诗鬼	诗神
4	1966	唐太宗临终前被招为顾命大臣，又是初唐四家之一的是？	2	薛稷	褚遂良	欧阳询	虞世南
5	1966	在唐代以下哪个是真正的寺庙：	1	白马寺	鸿胪寺	大理寺	大雁寺
6	1966	汗血宝马起源的朝代？	1	西汉	东汉	唐朝	宋朝
7	1966	尼罗河由三条河汇流而成，以下哪条不是其中之一？	4	青尼罗河	白尼罗河	卡盖拉河	尼日尔河
8	1966	以下哪一个不是倚天屠龙记中三大神僧之一？	2	渡难	渡会	渡劫	渡厄
9	1966	月影传说中，蔷薇驯养了什么动物？	3	狗	豹	鹰	貂
10	1966	明代话本小说“三言”分别是和什么？	4	醒世恒言	喻世明言	警世通言	诉世良言
11	1967	意大利诗人阿利盖利、但丁的长诗《神曲》分为三部分，以下哪个不是其中之一？	3	天堂	地狱	深渊	炼狱
12	1967	雾月政变发生在哪一年？	2	1798	1799	1800	1801
13	1967	围棋棋盘纵横的线共构成多少个交叉点?	2	360	361	362	363
14	1967	托尔斯泰的自传体小说三部曲，以下哪个不是其中之一？	4	幼年	少年	青年	暮年
15	1967	围棋起源于哪个国家	1	中国	日本	韩国	印度
16	1967	仇士良一生弑杀了几个皇帝?	2	1	2	3	4
17	1967	以下哪一个不是世界三大短篇小说大师？	4	莫泊桑	契诃夫	欧亨利	卡夫卡
18	1967	第二次世界大战爆发在哪一年?	2	1938	1939	1940	1941
19	1967	有史以来第一个活着看到自己的作品被收藏进卢浮宫的世界著名画家是谁?	3	梵高	达芬奇	毕加索	卢梭
20	1967	什么花最没力？	1	茉莉花	玫瑰花	太阳花	月季花
21	1968	曹魏实际领袖司马昭在公元多少年决定向蜀汉发动战争？	2	262	263	264	265
22	1968	“圆明三园”不包括以下哪一个？	4	圆明园	长春园	绮春园	秀春园
23	1968	官渡之战发生在公元多少年？	2	199	200	201	202
24	1968	资治通鉴定战国时代开始于公元前多少年?	3	401	402	403	404
25	1968	王大婶有三个儿子，这三个儿子又分别有一个姐姐和一个妹妹，问王大婶一共有几个孩子？	3	3	4	5	6
26	1968	乌台诗案发生于公元多少年？	2	1078	1079	1080	1081
27	1968	赵武灵王所采用的军事和服饰改革历史上成为什么？	1	胡服骑射	铁骑远征	师夷长技	东施效颦
28	1968	圆明园在公元多少年被焚毁？	2	1859	1860	1861	1862
29	1968	《史记》定战国时代开始于公元前多少年？	3	474	475	476	477
30	1968	李世民有同母兄弟几人？	3	1	2	3	4
31	1969	有十支蜡烛，你吹灭了三支，还有几支？	4	7	8	9	10
32	1969	竹林七贤之一阮籍官至?	2	骑兵校尉	步兵校尉	百夫长	长史
33	1969	什么动物天天熬夜	2	老鼠	熊猫	猫头鹰	蟑螂
34	1969	赤壁之战发生在公元多少年?	3	206	207	208	209
35	1969	唐朝初年玄奘一共取回了多少经书?	1	657	658	659	660
36	1969	古时用“十二生肖”对应十二地支，其中“辰”对应的是	1	龙	虎	猴	牛
37	1969	陶渊明号？	2	赏菊先生	五柳先生	六柳先生	五斗先生
38	1969	以下哪一个不是初唐风尘三侠？	4	李靖	红拂女	虬髯客	寇仲
39	1969	以下哪一个不是黄巾起义的领导人之一？	3	张梁	张角	张照	张宝
40	1969	中国古代科举制度的起源于何时？	2	秦朝	隋朝	唐朝	宋朝
41	1970	郑和下了几次西洋？	2	6	7	8	9
42	1970	以下哪一个不是杨影枫的红颜知己？	4	纳兰真	蔷薇	紫轩	月明瑶
43	1970	以下哪一把不是藏剑山庄铸造的名剑？	3	御神	残雪	葬月	碎星
44	1970	我国发现的最早的青花瓷标本是什么朝代的?	1	唐朝	宋朝	明朝	清朝
45	1970	倚天屠龙记中，成昆在少林中的法号是什么？	2	圆昆	圆真	圆业	圆慈
46	1970	天龙八部中，钟灵的宠物叫什么？	3	飞雪狐	金爪雕	闪电貂	汗血马
47	1970	司马懿被其孙司马炎追尊为什么？	1	晋宣帝	晋文帝	晋武帝	晋惠帝
48	1970	以下哪一个不是唐朝中央官制中的三省之一？	4	中书省	尚书省	门下省	集书省
49	1970	空气中的音速，在标准大气压条件下约为多少米每秒？	3	320	330	340	350
50	1970	以下哪一个不是三藏是佛教典籍的三种形态？	2	经藏	莲藏	律藏	论藏
