szTimeFrame	nNpcTID	Name	Map	szTips1	szTips2	szTips3	Desc
OpenLevel39	1966	纳兰潜凛	锁云渊	无忧教主，位于10级地图南方	纳兰潜凛,位于锁云渊南方		牡丹凝血，无忧教主
OpenLevel39	1967	纳兰真	锁云渊	忘忧岛明珠，位于10级地图北方	纳兰真,位于锁云渊北方		牡丹凝血，银丝神草
OpenLevel39	1968	独孤剑	锁云渊	武林盟主，位于10级地图西北	独孤剑,位于锁云渊西北		牡丹凝血，侠之大者
OpenLevel39	1969	张琳心	武夷山	独孤剑之妻，位于10级地图东北	张琳心,位于武夷山东北		江南名山，如梦之妹
OpenLevel39	1970	南宫飞云	武夷山	剑中之剑，位于10级地图西方	南宫飞云,位于武夷山西方		江南名山，汉金混血
OpenLevel39	1971	燕若雪	武夷山	南宫飞云之妻，位于10级地图南方	燕若雪,位于武夷山南方		江南名山，飞云之妻
OpenLevel39	1972	孟知秋	雁荡山	蔷薇之父，位于10级地图西方	孟知秋,位于雁荡山西方		芙蓉名峰，落叶山庄
OpenLevel39	1973	月眉儿	雁荡山	飞龙堡少堡主，位于10级地图东方	月眉儿,位于雁荡山东方		芙蓉名峰，杀父之仇
OpenLevel39	1974	杨影枫	雁荡山	悲魔剑圣，位于10级地图北方	杨影枫,位于雁荡山北方		芙蓉名峰，天下第一
OpenLevel39	1975	蔷薇	洞庭湖畔	孟知秋之女，位于20级地图东方	蔷薇,位于洞庭湖东方		云梦大泽，训鹰少女
OpenLevel39	1976	张如梦	洞庭湖畔	南宫彩虹之父，位于20级地图西南	张如梦,位于洞庭湖西南		云梦大泽，大漠定情
OpenLevel39	1977	南宫彩虹	洞庭湖畔	张如梦之妻，位于20级地图北方	南宫彩虹,位于洞庭湖北方		云梦大泽，大漠定情
OpenLevel39	1978	卓非凡	苗岭	藏剑山庄庄主，位于20级地图西方	卓非凡,位于苗岭西方		惠水雷公，武道德经
OpenLevel39	1979	紫轩	苗岭	执伞的姑娘，位于20级地图南方	紫轩,位于苗岭南方		惠水雷公，红衣玉笛
OpenLevel39	1980	柴嵩	苗岭	长歌门门主，位于20级地图东方	柴嵩,位于苗岭东方		惠水雷公，心系无双
OpenLevel39	1981	杨瑛	点苍山	天王帮帮主，位于20级地图西方	杨瑛,位于点苍山西方		云岭山脉，山河社稷
OpenLevel39	1982	胡神医	点苍山	药王谷谷主，位于20级地图东方	胡神医,位于点苍山东方		云岭山脉，药王谷主
OpenLevel39	1983	秋依水	点苍山	翠烟门门主，位于20级地图北方	秋依水,位于点苍山北方		云岭山脉，心系唐影
OpenLevel39	1984	万金财	夜郎废墟	有钱的胖子，位于PK地图北方	万金财,位于夜郎废墟北方		运镖之所，行商坐贾
OpenLevel39	1985	虞姬	夜郎废墟	霸王别姬，位于PK地图南方	虞姬,位于夜郎废墟南方		运镖之所，和垓下歌
OpenLevel49	1966	纳兰潜凛	锁云渊	无忧教主，位于10级地图南方	纳兰潜凛,位于锁云渊南方		竹林幽幽，一代枭雄
OpenLevel49	1967	纳兰真	锁云渊	忘忧岛明珠，位于10级地图北方	纳兰真,位于锁云渊北方		竹林幽幽，蕙质兰心
OpenLevel49	1968	独孤剑	武夷山	武林盟主，位于10级地图东北	独孤剑,位于武夷山东北		竹林幽幽，抗金豪侠
OpenLevel49	1969	张琳心	武夷山	独孤剑之妻，位于10级地图西方	张琳心,位于武夷山西方		羽流禅家，清心之术
OpenLevel49	1970	南宫飞云	雁荡山	剑中之剑，位于10级地图西方	南宫飞云,位于雁荡山西方		羽流禅家，花飞蝴蝶
OpenLevel49	1971	燕若雪	雁荡山	南宫飞云之妻，位于10级地图东方	燕若雪,位于雁荡山东方		羽流禅家，金国公主
OpenLevel49	1972	孟知秋	洞庭湖畔	蔷薇之父，位于20级地图东方	孟知秋,位于洞庭湖畔东方		结草为荡，沧海月明
OpenLevel49	1973	月眉儿	洞庭湖畔	飞龙堡少堡主，位于20级地图西南	月眉儿,位于洞庭湖畔西南		结草为荡，冰心仙子
OpenLevel49	1974	杨影枫	苗岭	悲魔剑圣，位于20级地图西方	杨影枫,位于苗岭西方		结草为荡，烈火情天
OpenLevel49	1975	蔷薇	苗岭	孟知秋之女，位于20级地图南方	蔷薇,位于苗岭南方		岸芷汀兰，刁蛮姑娘
OpenLevel49	1976	张如梦	点苍山	南宫彩虹之父，位于20级地图西方	张如梦,位于点苍山西方		岸芷汀兰，孤山印月
OpenLevel49	1977	南宫彩虹	点苍山	张如梦之妻，位于20级地图东方	南宫彩虹,位于点苍山东方		岸芷汀兰，敢爱敢恨
OpenLevel49	1978	卓非凡	夜郎废墟	藏剑山庄庄主，位于PK地图北方	卓非凡,位于夜郎废墟北方		竹林幽幽，心狠手辣
OpenLevel49	1979	紫轩	夜郎废墟	执伞的姑娘，位于PK地图南方	紫轩,位于夜郎废墟南方		竹林幽幽，身世凄婉
OpenLevel49	1980	柴嵩	响水洞	长歌门门主，位于40级地图北方	柴嵩,位于响水洞北方		竹林幽幽，云海梦蝶
OpenLevel49	1981	杨瑛	响水洞	天王帮帮主，位于40级地图东南	杨瑛,位于响水洞东南		洱源下关，巾帼须眉
OpenLevel49	1982	胡神医	见性峰	药王谷谷主，位于40级地图南方	胡神医,位于见性峰南方		洱源下关，骑驴之人
OpenLevel49	1983	秋依水	见性峰	翠烟门门主，位于40级地图东北	秋依水,位于见性峰东北		洱源下关，雪映红尘
OpenLevel49	1984	万金财	剑门关	有钱的胖子，位于40级地图西南	万金财,位于剑门关西南		纷争之地，金牙胖子
OpenLevel49	1985	虞姬	剑门关	霸王别姬，位于40级地图北方	虞姬,位于剑门关北方		纷争之地，西楚美人
OpenLevel69	1966	纳兰潜凛	锁云渊	无忧教主，位于10级地图北方	纳兰潜凛,位于锁云渊北方		牡丹凝血，无忧教主
OpenLevel69	1967	纳兰真	武夷山	忘忧岛明珠，位于10级地图西方	纳兰真,位于武夷山西方		牡丹凝血，银丝神草
OpenLevel69	1968	独孤剑	雁荡山	武林盟主，位于10级地图东方	独孤剑,位于雁荡山东方		牡丹凝血，侠之大者
OpenLevel69	1969	张琳心	洞庭湖畔	独孤剑之妻，位于20级地图西南	张琳心,位于洞庭湖畔西南		江南名山，如梦之妹
OpenLevel69	1970	南宫飞云	苗岭	剑中之剑，位于20级地图南方	南宫飞云,位于苗岭南方		江南名山，汉金混血
OpenLevel69	1971	燕若雪	点苍山	南宫飞云之妻，位于20级地图东方	燕若雪,位于点苍山东方		江南名山，飞云之妻
OpenLevel69	1972	孟知秋	夜郎废墟	蔷薇之父，位于PK地图南方	孟知秋,位于夜郎废墟南方		芙蓉名峰，落叶山庄
OpenLevel69	1973	月眉儿	响水洞	飞龙堡少堡主，位于40级地图北方	月眉儿,位于响水洞北方		芙蓉名峰，杀父之仇
OpenLevel69	1974	杨影枫	响水洞	悲魔剑圣，位于40级地图东南	杨影枫,位于响水洞东南		芙蓉名峰，天下第一
OpenLevel69	1975	蔷薇	见性峰	孟知秋之女，位于40级地图南方	蔷薇,位于见性峰南方		云梦大泽，训鹰少女
OpenLevel69	1976	张如梦	见性峰	南宫彩虹之父，位于40级地图东北	张如梦,位于见性峰东北		云梦大泽，大漠定情
OpenLevel69	1977	南宫彩虹	剑门关	张如梦之妻，位于40级地图西南	南宫彩虹,位于剑门关西南		云梦大泽，大漠定情
OpenLevel69	1978	卓非凡	剑门关	藏剑山庄庄主，位于40级地图北方	卓非凡,位于剑门关北方		惠水雷公，武道德经
OpenLevel69	1979	紫轩	荐菊洞	执伞的姑娘，位于60级地图西南	紫轩,位于荐菊洞西南		惠水雷公，红衣玉笛
OpenLevel69	1980	柴嵩	荐菊洞	长歌门门主，位于60级地图北方	柴嵩,位于荐菊洞北方		惠水雷公，心系无双
OpenLevel69	1981	杨瑛	伏牛山	天王帮帮主，位于60级地图东北	杨瑛,位于伏牛山东北		云岭山脉，山河社稷
