Attrib	Group
lifemax_v	2
lifemax_p	1
recover_life_v	2
physics_potentialdamage_p	1
defense_v	2
ignore_defense_v	2
defense_p	1
ignore_defense_vp	2
deadlystrike_v	2
weaken_deadlystrike_v	1
deadlystrike_p	1
ignore_deadlystrike_vp	2
deadlystrike_damage_p	1
weaken_deadlystrike_damage_p	2
all_series_resist_v	2
ignore_all_resist_v	2
all_series_resist_p	2
ignore_all_resist_vp	2
enhance_final_damage_p	1
reduce_final_damage_p	1
steallife_p	1
steallife_resist_p	1
rangedamagereturn_p	2
meleedamagereturn_p	2
meleedamagereturn_v	2
rangedamagereturn_v	2
attackspeed_v	1
metal_resist_v	2
wood_resist_v	2
water_resist_v	2
fire_resist_v	2
earth_resist_v	2
series_enhance_v	2
series_abate_v	2
add_seriesstate_rate_v	2
add_seriesstate_time_v	2
resist_allseriesstate_rate_v	2
resist_allseriesstate_time_v	2
physical_damage_v	2
basic_damage_v	2
physical_metaldamage_v	1
physical_wooddamage_v	1
physical_waterdamage_v	1
physical_firedamage_v	1
physical_earthdamage_v	1
resist_allspecialstate_rate_v	2
resist_allspecialstate_time_v	2
add_allspecialstate_rate_v	2
add_allspecialstate_time_v	2
return_resist_p	2
