Attrib	AttribLevel	Val1From	Val2From	Val3From	Val1To	Val2To	Val3To
lifemax_v	1	1500	0	0	2000	0	0
lifemax_v	2	4000	0	0	5000	0	0
lifemax_v	3	9000	0	0	10000	0	0
lifemax_v	4	12000	0	0	15000	0	0
lifemax_v	5	18000	0	0	20000	0	0
lifemax_v	6	21000	0	0	25000	0	0
lifemax_p	1	5	0	0	10	0	0
lifemax_p	2	11	0	0	20	0	0
lifemax_p	3	21	0	0	30	0	0
lifemax_p	4	31	0	0	40	0	0
lifemax_p	5	41	0	0	50	0	0
lifemax_p	6	51	0	0	60	0	0
recover_life_v	1	50	75	0	100	75	0
recover_life_v	2	150	75	0	200	75	0
recover_life_v	3	400	75	0	500	75	0
recover_life_v	4	600	75	0	700	75	0
recover_life_v	5	800	75	0	900	75	0
recover_life_v	6	1000	75	0	1200	75	0
physics_potentialdamage_p	1	1	0	0	1	0	0
physics_potentialdamage_p	2	2	0	0	2	0	0
physics_potentialdamage_p	3	3	0	0	4	0	0
physics_potentialdamage_p	4	5	0	0	7	0	0
physics_potentialdamage_p	5	8	0	0	10	0	0
physics_potentialdamage_p	6	12	0	0	15	0	0
defense_v	1	200	0	0	300	0	0
defense_v	2	400	0	0	500	0	0
defense_v	3	800	0	0	1000	0	0
defense_v	4	1100	0	0	1300	0	0
defense_v	5	1500	0	0	1800	0	0
defense_v	6	2100	0	0	2500	0	0
ignore_defense_v	1	200	0	0	300	0	0
ignore_defense_v	2	400	0	0	500	0	0
ignore_defense_v	3	800	0	0	1000	0	0
ignore_defense_v	4	1100	0	0	1300	0	0
ignore_defense_v	5	1500	0	0	1800	0	0
ignore_defense_v	6	2100	0	0	2500	0	0
defense_p	1	5	0	0	10	0	0
defense_p	2	11	0	0	20	0	0
defense_p	3	21	0	0	30	0	0
defense_p	4	31	0	0	40	0	0
defense_p	5	41	0	0	50	0	0
defense_p	6	51	0	0	60	0	0
ignore_defense_vp	1	5	0	0	10	0	0
ignore_defense_vp	2	11	0	0	20	0	0
ignore_defense_vp	3	21	0	0	30	0	0
ignore_defense_vp	4	31	0	0	40	0	0
ignore_defense_vp	5	41	0	0	50	0	0
ignore_defense_vp	6	51	0	0	60	0	0
deadlystrike_v	1	100	0	0	150	0	0
deadlystrike_v	2	200	0	0	300	0	0
deadlystrike_v	3	400	0	0	500	0	0
deadlystrike_v	4	600	0	0	700	0	0
deadlystrike_v	5	800	0	0	900	0	0
deadlystrike_v	6	1000	0	0	1200	0	0
weaken_deadlystrike_v	1	100	0	0	150	0	0
weaken_deadlystrike_v	2	200	0	0	300	0	0
weaken_deadlystrike_v	3	400	0	0	500	0	0
weaken_deadlystrike_v	4	600	0	0	700	0	0
weaken_deadlystrike_v	5	800	0	0	900	0	0
weaken_deadlystrike_v	6	1000	0	0	1200	0	0
deadlystrike_p	1	5	0	0	10	0	0
deadlystrike_p	2	11	0	0	20	0	0
deadlystrike_p	3	21	0	0	30	0	0
deadlystrike_p	4	31	0	0	40	0	0
deadlystrike_p	5	41	0	0	50	0	0
deadlystrike_p	6	51	0	0	60	0	0
ignore_deadlystrike_vp	1	5	0	0	10	0	0
ignore_deadlystrike_vp	2	11	0	0	20	0	0
ignore_deadlystrike_vp	3	21	0	0	30	0	0
ignore_deadlystrike_vp	4	31	0	0	40	0	0
ignore_deadlystrike_vp	5	41	0	0	50	0	0
ignore_deadlystrike_vp	6	51	0	0	60	0	0
deadlystrike_damage_p	1	1	0	0	1	0	0
deadlystrike_damage_p	2	2	0	0	2	0	0
deadlystrike_damage_p	3	3	0	0	4	0	0
deadlystrike_damage_p	4	5	0	0	7	0	0
deadlystrike_damage_p	5	8	0	0	10	0	0
deadlystrike_damage_p	6	12	0	0	15	0	0
weaken_deadlystrike_damage_p	1	1	0	0	1	0	0
weaken_deadlystrike_damage_p	2	2	0	0	2	0	0
weaken_deadlystrike_damage_p	3	3	0	0	4	0	0
weaken_deadlystrike_damage_p	4	5	0	0	7	0	0
weaken_deadlystrike_damage_p	5	8	0	0	10	0	0
weaken_deadlystrike_damage_p	6	12	0	0	15	0	0
all_series_resist_v	1	40	0	0	60	0	0
all_series_resist_v	2	80	0	0	100	0	0
all_series_resist_v	3	150	0	0	200	0	0
all_series_resist_v	4	250	0	0	300	0	0
all_series_resist_v	5	350	0	0	400	0	0
all_series_resist_v	6	450	0	0	500	0	0
ignore_all_resist_v	1	100	40	0	100	60	0
ignore_all_resist_v	2	100	80	0	100	100	0
ignore_all_resist_v	3	100	150	0	100	200	0
ignore_all_resist_v	4	100	250	0	100	300	0
ignore_all_resist_v	5	100	350	0	100	400	0
ignore_all_resist_v	6	100	450	0	100	500	0
all_series_resist_p	1	5	0	0	10	0	0
all_series_resist_p	2	11	0	0	20	0	0
all_series_resist_p	3	21	0	0	30	0	0
all_series_resist_p	4	31	0	0	40	0	0
all_series_resist_p	5	41	0	0	50	0	0
all_series_resist_p	6	51	0	0	60	0	0
ignore_all_resist_vp	1	5	0	0	10	0	0
ignore_all_resist_vp	2	11	0	0	20	0	0
ignore_all_resist_vp	3	21	0	0	30	0	0
ignore_all_resist_vp	4	31	0	0	40	0	0
ignore_all_resist_vp	5	41	0	0	50	0	0
ignore_all_resist_vp	6	51	0	0	60	0	0
enhance_final_damage_p	1	1	0	0	1	0	0
enhance_final_damage_p	2	2	0	0	2	0	0
enhance_final_damage_p	3	3	0	0	4	0	0
enhance_final_damage_p	4	5	0	0	7	0	0
enhance_final_damage_p	5	8	0	0	10	0	0
enhance_final_damage_p	6	12	0	0	15	0	0
reduce_final_damage_p	1	1	0	0	1	0	0
reduce_final_damage_p	2	2	0	0	2	0	0
reduce_final_damage_p	3	3	0	0	4	0	0
reduce_final_damage_p	4	5	0	0	7	0	0
reduce_final_damage_p	5	8	0	0	10	0	0
reduce_final_damage_p	6	12	0	0	15	0	0
steallife_p	1	1	0	0	1	0	0
steallife_p	2	2	0	0	2	0	0
steallife_p	3	3	0	0	4	0	0
steallife_p	4	5	0	0	7	0	0
steallife_p	5	8	0	0	10	0	0
steallife_p	6	12	0	0	15	0	0
steallife_resist_p	1	2	0	0	4	0	0
steallife_resist_p	2	5	0	0	9	0	0
steallife_resist_p	3	10	0	0	14	0	0
steallife_resist_p	4	15	0	0	19	0	0
steallife_resist_p	5	20	0	0	24	0	0
steallife_resist_p	6	25	0	0	29	0	0
rangedamagereturn_p	1	1	0	0	2	0	0
rangedamagereturn_p	2	3	0	0	4	0	0
rangedamagereturn_p	3	5	0	0	6	0	0
rangedamagereturn_p	4	7	0	0	8	0	0
rangedamagereturn_p	5	9	0	0	12	0	0
rangedamagereturn_p	6	13	0	0	15	0	0
meleedamagereturn_p	1	1	0	0	2	0	0
meleedamagereturn_p	2	3	0	0	4	0	0
meleedamagereturn_p	3	5	0	0	6	0	0
meleedamagereturn_p	4	7	0	0	8	0	0
meleedamagereturn_p	5	9	0	0	12	0	0
meleedamagereturn_p	6	13	0	0	15	0	0
meleedamagereturn_v	1	200	0	0	300	0	0
meleedamagereturn_v	2	400	0	0	500	0	0
meleedamagereturn_v	3	800	0	0	900	0	0
meleedamagereturn_v	4	1200	0	0	1500	0	0
meleedamagereturn_v	5	1600	0	0	1800	0	0
meleedamagereturn_v	6	2000	0	0	2500	0	0
rangedamagereturn_v	1	200	0	0	300	0	0
rangedamagereturn_v	2	400	0	0	500	0	0
rangedamagereturn_v	3	800	0	0	900	0	0
rangedamagereturn_v	4	1200	0	0	1500	0	0
rangedamagereturn_v	5	1600	0	0	1800	0	0
rangedamagereturn_v	6	2000	0	0	2500	0	0
attackspeed_v	1	1	0	0	1	0	0
attackspeed_v	2	2	0	0	2	0	0
attackspeed_v	3	3	0	0	3	0	0
attackspeed_v	4	4	0	0	4	0	0
attackspeed_v	5	5	0	0	7	0	0
attackspeed_v	6	8	0	0	10	0	0
metal_resist_v	1	200	0	0	300	0	0
metal_resist_v	2	400	0	0	500	0	0
metal_resist_v	3	800	0	0	900	0	0
metal_resist_v	4	1200	0	0	1500	0	0
metal_resist_v	5	1600	0	0	1800	0	0
metal_resist_v	6	2000	0	0	2500	0	0
wood_resist_v	1	200	0	0	300	0	0
wood_resist_v	2	400	0	0	500	0	0
wood_resist_v	3	800	0	0	900	0	0
wood_resist_v	4	1200	0	0	1500	0	0
wood_resist_v	5	1600	0	0	1800	0	0
wood_resist_v	6	2000	0	0	2500	0	0
water_resist_v	1	200	0	0	300	0	0
water_resist_v	2	400	0	0	500	0	0
water_resist_v	3	800	0	0	900	0	0
water_resist_v	4	1200	0	0	1500	0	0
water_resist_v	5	1600	0	0	1800	0	0
water_resist_v	6	2000	0	0	2500	0	0
fire_resist_v	1	200	0	0	300	0	0
fire_resist_v	2	400	0	0	500	0	0
fire_resist_v	3	800	0	0	900	0	0
fire_resist_v	4	1200	0	0	1500	0	0
fire_resist_v	5	1600	0	0	1800	0	0
fire_resist_v	6	2000	0	0	2500	0	0
earth_resist_v	1	200	0	0	300	0	0
earth_resist_v	2	400	0	0	500	0	0
earth_resist_v	3	800	0	0	900	0	0
earth_resist_v	4	1200	0	0	1500	0	0
earth_resist_v	5	1600	0	0	1800	0	0
earth_resist_v	6	2000	0	0	2500	0	0
series_enhance_v	1	50	0	0	100	0	0
series_enhance_v	2	101	0	0	200	0	0
series_enhance_v	3	201	0	0	300	0	0
series_enhance_v	4	301	0	0	400	0	0
series_enhance_v	5	401	0	0	500	0	0
series_enhance_v	6	501	0	0	600	0	0
series_abate_v	1	50	0	0	100	0	0
series_abate_v	2	101	0	0	200	0	0
series_abate_v	3	201	0	0	300	0	0
series_abate_v	4	301	0	0	400	0	0
series_abate_v	5	401	0	0	500	0	0
series_abate_v	6	501	0	0	600	0	0
add_seriesstate_rate_v	1	50	0	0	60	0	0
add_seriesstate_rate_v	2	80	0	0	90	0	0
add_seriesstate_rate_v	3	100	0	0	120	0	0
add_seriesstate_rate_v	4	150	0	0	170	0	0
add_seriesstate_rate_v	5	200	0	0	250	0	0
add_seriesstate_rate_v	6	300	0	0	350	0	0
add_seriesstate_time_v	1	50	0	0	60	0	0
add_seriesstate_time_v	2	80	0	0	90	0	0
add_seriesstate_time_v	3	100	0	0	120	0	0
add_seriesstate_time_v	4	150	0	0	170	0	0
add_seriesstate_time_v	5	200	0	0	250	0	0
add_seriesstate_time_v	6	300	0	0	350	0	0
resist_allseriesstate_rate_v	1	50	0	0	60	0	0
resist_allseriesstate_rate_v	2	80	0	0	90	0	0
resist_allseriesstate_rate_v	3	100	0	0	120	0	0
resist_allseriesstate_rate_v	4	150	0	0	170	0	0
resist_allseriesstate_rate_v	5	200	0	0	250	0	0
resist_allseriesstate_rate_v	6	300	0	0	350	0	0
resist_allseriesstate_time_v	1	50	0	0	60	0	0
resist_allseriesstate_time_v	2	80	0	0	90	0	0
resist_allseriesstate_time_v	3	100	0	0	120	0	0
resist_allseriesstate_time_v	4	150	0	0	170	0	0
resist_allseriesstate_time_v	5	200	0	0	250	0	0
resist_allseriesstate_time_v	6	300	0	0	350	0	0
physical_damage_v	1	200	0	200	300	0	300
physical_damage_v	2	400	0	400	500	0	500
physical_damage_v	3	800	0	800	900	0	900
physical_damage_v	4	1200	0	1200	1500	0	1500
physical_damage_v	5	1600	0	1600	1800	0	1800
physical_damage_v	6	2000	0	2000	2500	0	2500
basic_damage_v	1	200	0	200	300	0	300
basic_damage_v	2	400	0	400	500	0	500
basic_damage_v	3	800	0	800	900	0	900
basic_damage_v	4	1200	0	1200	1500	0	1500
basic_damage_v	5	1600	0	1600	1800	0	1800
basic_damage_v	6	2000	0	2000	2500	0	2500
physical_metaldamage_v	1	200	0	200	300	0	300
physical_metaldamage_v	2	400	0	400	500	0	500
physical_metaldamage_v	3	800	0	800	900	0	900
physical_metaldamage_v	4	1200	0	1200	1500	0	1500
physical_metaldamage_v	5	1600	0	1600	1800	0	1800
physical_metaldamage_v	6	2000	0	2000	2500	0	2500
physical_wooddamage_v	1	200	0	200	300	0	300
physical_wooddamage_v	2	400	0	400	500	0	500
physical_wooddamage_v	3	800	0	800	900	0	900
physical_wooddamage_v	4	1200	0	1200	1500	0	1500
physical_wooddamage_v	5	1600	0	1600	1800	0	1800
physical_wooddamage_v	6	2000	0	2000	2500	0	2500
physical_waterdamage_v	1	200	0	200	300	0	300
physical_waterdamage_v	2	400	0	400	500	0	500
physical_waterdamage_v	3	800	0	800	900	0	900
physical_waterdamage_v	4	1200	0	1200	1500	0	1500
physical_waterdamage_v	5	1600	0	1600	1800	0	1800
physical_waterdamage_v	6	2000	0	2000	2500	0	2500
physical_firedamage_v	1	200	0	200	300	0	300
physical_firedamage_v	2	400	0	400	500	0	500
physical_firedamage_v	3	800	0	800	900	0	900
physical_firedamage_v	4	1200	0	1200	1500	0	1500
physical_firedamage_v	5	1600	0	1600	1800	0	1800
physical_firedamage_v	6	2000	0	2000	2500	0	2500
physical_earthdamage_v	1	200	0	200	300	0	300
physical_earthdamage_v	2	400	0	400	500	0	500
physical_earthdamage_v	3	800	0	800	900	0	900
physical_earthdamage_v	4	1200	0	1200	1500	0	1500
physical_earthdamage_v	5	1600	0	1600	1800	0	1800
physical_earthdamage_v	6	2000	0	2000	2500	0	2500
resist_allspecialstate_rate_v	1	50	0	0	60	0	0
resist_allspecialstate_rate_v	2	80	0	0	90	0	0
resist_allspecialstate_rate_v	3	100	0	0	120	0	0
resist_allspecialstate_rate_v	4	150	0	0	170	0	0
resist_allspecialstate_rate_v	5	200	0	0	250	0	0
resist_allspecialstate_rate_v	6	300	0	0	350	0	0
resist_allspecialstate_time_v	1	50	0	0	60	0	0
resist_allspecialstate_time_v	2	80	0	0	90	0	0
resist_allspecialstate_time_v	3	100	0	0	120	0	0
resist_allspecialstate_time_v	4	150	0	0	170	0	0
resist_allspecialstate_time_v	5	200	0	0	250	0	0
resist_allspecialstate_time_v	6	300	0	0	350	0	0
add_allspecialstate_rate_v	1	50	0	0	60	0	0
add_allspecialstate_rate_v	2	80	0	0	90	0	0
add_allspecialstate_rate_v	3	100	0	0	120	0	0
add_allspecialstate_rate_v	4	150	0	0	170	0	0
add_allspecialstate_rate_v	5	200	0	0	250	0	0
add_allspecialstate_rate_v	6	300	0	0	350	0	0
add_allspecialstate_time_v	1	50	0	0	60	0	0
add_allspecialstate_time_v	2	80	0	0	90	0	0
add_allspecialstate_time_v	3	100	0	0	120	0	0
add_allspecialstate_time_v	4	150	0	0	170	0	0
add_allspecialstate_time_v	5	200	0	0	250	0	0
add_allspecialstate_time_v	6	300	0	0	350	0	0
return_resist_p	1	2	0	0	4	0	0
return_resist_p	2	5	0	0	6	0	0
return_resist_p	3	7	0	0	9	0	0
return_resist_p	4	10	0	0	12	0	0
return_resist_p	5	13	0	0	15	0	0
return_resist_p	6	16	0	0	20	0	0
