Level	RandCount	Group1Count	Prob
1	1	0	1000
1	1	1	0
1	1	2	0
1	1	3	0
1	1	4	0
1	10	0	1000
1	10	1	0
1	10	2	0
1	10	3	0
1	10	4	0
1	20	0	980
1	20	1	20
1	20	2	0
1	20	3	0
1	20	4	0
1	30	0	960
1	30	1	40
1	30	2	0
1	30	3	0
1	30	4	0
1	40	0	935
1	40	1	60
1	40	2	5
1	40	3	0
1	40	4	0
1	60	0	910
1	60	1	80
1	60	2	10
1	60	3	0
1	60	4	0
1	80	0	895
1	80	1	90
1	80	2	15
1	80	3	0
1	80	4	0
1	100	0	880
1	100	1	100
1	100	2	20
1	100	3	0
1	100	4	0
1	120	0	870
1	120	1	100
1	120	2	25
1	120	3	5
1	120	4	0
1	140	0	860
1	140	1	100
1	140	2	30
1	140	3	10
1	140	4	0
1	160	0	850
1	160	1	100
1	160	2	35
1	160	3	15
1	160	4	0
1	180	0	840
1	180	1	100
1	180	2	40
1	180	3	20
1	180	4	0
1	200	0	830
1	200	1	100
1	200	2	45
1	200	3	25
1	200	4	0
