name1	name2	name3	name4	name5	name6	name7	name8	name9	name10
凤凰于飞	思绪万千	理直气壮	暖衣饱食	兰质蕙心	喜笑颜开	功不可没	枝繁叶茂	爱如己出	大喜过望
飞鸿踏雪	千言万语	壮志凌云	食为民天	心花怒放 	开花结果	没齿不忘	茂林修竹	出人意表	望穿秋水
雪月风花	语妙天下	云舒霞卷	天长地久	放言高论	果于自信	忘乎所以	竹马之友	表里如一	水色山光
花容月貌	下笔如神	卷土重来	久别重逢	论议风生	信以为真	以礼相待	友风子雨	一视同仁	光明正大
貌美如仙	神采飞扬	来日方长	逢山开路	生气蓬勃	真情实感	待字闺中	雨过天晴	仁义道德	大智若愚
仙姿玉色	扬扬自得	长治久安	路见不平	勃然大怒	感激不尽	中庸之道	晴空万里	德高望重	愚昧无知
色色俱全	得心应手	安居乐业	平易近人	怒发冲冠	尽善尽美	道听途说	里应外合	重振旗鼓	知过必改
全心全意	手足之情	业精于勤	人山人海	冠绝一时	美人如玉	说古道今	合家大吉	鼓舞欢欣	改邪归正
意气风发	情投意合	勤学好问	海阔天空	时来运转	玉堂金马	今非昔比	吉人天相	欣喜若狂	正经八百
发人深思	合情合理	问寒问暖	空谷幽兰	转悲为喜	马到成功	比翼连枝	相亲相爱	狂妄自大	百鸟朝凤
