GrpId	MaxLvl	FightPower	Value
10000	5	1000	1000000
10000	10	2000	2000000
10000	15	5000	5000000
10000	20	8000	8000000
10000	25	12000	12000000
10000	30	14000	14000000
10000	35	16000	16000000
10000	40	0	0
10000	45	0	0
10000	50	0	0
10000	55	0	0
10000	60	0	0
10000	65	0	0
10000	70	0	0
10000	75	0	0
10001	5	1000	1000000
10001	10	2000	2000000
10001	15	5000	5000000
10001	20	8000	8000000
10001	25	12000	12000000
10001	30	14000	14000000
10001	35	16000	16000000
10001	40	0	0
10001	45	0	0
10001	50	0	0
10001	55	0	0
10001	60	0	0
10001	65	0	0
10001	70	0	0
10001	75	0	0
10002	5	1000	1000000
10002	10	2000	2000000
10002	15	5000	5000000
10002	20	8000	8000000
10002	25	12000	12000000
10002	30	14000	14000000
10002	35	16000	16000000
10002	40	0	0
10002	45	0	0
10002	50	0	0
10002	55	0	0
10002	60	0	0
10002	65	0	0
10002	70	0	0
10002	75	0	0
10003	5	1000	1000000
10003	10	2000	2000000
10003	15	5000	5000000
10003	20	8000	8000000
10003	25	12000	12000000
10003	30	14000	14000000
10003	35	16000	16000000
10003	40	0	0
10003	45	0	0
10003	50	0	0
10003	55	0	0
10003	60	0	0
10003	65	0	0
10003	70	0	0
10003	75	0	0
10004	5	1000	1000000
10004	10	2000	2000000
10004	15	5000	5000000
10004	20	8000	8000000
10004	25	12000	12000000
10004	30	14000	14000000
10004	35	16000	16000000
10004	40	0	0
10004	45	0	0
10004	50	0	0
10004	55	0	0
10004	60	0	0
10004	65	0	0
10004	70	0	0
10004	75	0	0
10005	5	1000	1000000
10005	10	2000	2000000
10005	15	5000	5000000
10005	20	8000	8000000
10005	25	12000	12000000
10005	30	14000	14000000
10005	35	16000	16000000
10005	40	0	0
10005	45	0	0
10005	50	0	0
10005	55	0	0
10005	60	0	0
10005	65	0	0
10005	70	0	0
10005	75	0	0
10006	5	1000	1000000
10006	10	2000	2000000
10006	15	5000	5000000
10006	20	8000	8000000
10006	25	12000	12000000
10006	30	14000	14000000
10006	35	16000	16000000
10006	40	0	0
10006	45	0	0
10006	50	0	0
10006	55	0	0
10006	60	0	0
10006	65	0	0
10006	70	0	0
10006	75	0	0
10007	5	1000	1000000
10007	10	2000	2000000
10007	15	5000	5000000
10007	20	8000	8000000
10007	25	12000	12000000
10007	30	14000	14000000
10007	35	16000	16000000
10007	40	0	0
10007	45	0	0
10007	50	0	0
10007	55	0	0
10007	60	0	0
10007	65	0	0
10007	70	0	0
10007	75	0	0
10008	5	1000	1000000
10008	10	2000	2000000
10008	15	5000	5000000
10008	20	8000	8000000
10008	25	12000	12000000
10008	30	14000	14000000
10008	35	16000	16000000
10008	40	0	0
10008	45	0	0
10008	50	0	0
10008	55	0	0
10008	60	0	0
10008	65	0	0
10008	70	0	0
10008	75	0	0
10009	5	1000	1000000
10009	10	2000	2000000
10009	15	5000	5000000
10009	20	8000	8000000
10009	25	12000	12000000
10009	30	14000	14000000
10009	35	16000	16000000
10009	40	0	0
10009	45	0	0
10009	50	0	0
10009	55	0	0
10009	60	0	0
10009	65	0	0
10009	70	0	0
10009	75	0	0
10010	5	1000	1000000
10010	10	2000	2000000
10010	15	5000	5000000
10010	20	8000	8000000
10010	25	12000	12000000
10010	30	14000	14000000
10010	35	16000	16000000
10010	40	0	0
10010	45	0	0
10010	50	0	0
10010	55	0	0
10010	60	0	0
10010	65	0	0
10010	70	0	0
10010	75	0	0
10011	5	1000	1000000
10011	10	2000	2000000
10011	15	5000	5000000
10011	20	8000	8000000
10011	25	12000	12000000
10011	30	14000	14000000
10011	35	16000	16000000
10011	40	0	0
10011	45	0	0
10011	50	0	0
10011	55	0	0
10011	60	0	0
10011	65	0	0
10011	70	0	0
10011	75	0	0
