nLevel	nComfort	nChuangGongRatio	nEnergy	nAddLevel
1	0	10	2200	1
2	200	20	2400	1
3	400	30	2800	1
4	600	40	3200	1
5	800	50	4000	1
6	1000	60	4400	1
7	2000	70	4800	1
8	3000	80	5200	1
9	4000	90	5600	1
10	5000	100	6000	2
11	6000	110	6400	2
12	8000	120	6800	2
13	10000	130	7200	2
14	12000	140	7600	3
15	15000	150	8000	3
16	18000	160	8600	4
17	22000	170	9200	4
18	26000	180	9800	5
19	30000	190	10400	5
20	35000	200	11000	6
21	40000	210	11800	6
22	50000	220	12600	7
23	65000	230	13400	7
24	80000	240	14200	8
25	100000	250	15000	8
26	130000	260	15300	8
27	160000	260	15600	8
28	190000	270	15900	8
29	220000	270	16200	8
30	250000	280	16500	8
