nHorseShowId	szMoneyType	nPrice	nGiveItemId
4867	Contrib	20000	10659
4868	Contrib	20000	10659
10645	Contrib	5000	10942
10646	Contrib	5000	10942
10647	Contrib	5000	10942
10648	Contrib	5000	10942
10649	Contrib	5000	10942
10650	Contrib	5000	10942
10529	Contrib	20000	10943
10530	Contrib	20000	10943
10610	Contrib	20000	10943
10531	Contrib	20000	10944
10532	Contrib	20000	10944
11234	Contrib	20000	10944
10197	Contrib	20000	10945
10198	Contrib	20000	10945
11344	Contrib	20000	10945
4047	Contrib	2000	11252
10967	Contrib	2000	11252
4735	Contrib	2000	11252
4048	Contrib	10000	11253
4736	Contrib	10000	11253
7280	Contrib	2000	11254
7423	Contrib	2000	11254
4049	Contrib	1000	11255
4737	Contrib	1000	11255
4861	Contrib	3000	11256
4865	Contrib	3000	11256
4862	Contrib	5000	11257
4866	Contrib	5000	11257
7296	Contrib	2000	11258
10968	Contrib	2000	11258
10152	Contrib	20000	11259
7712	Contrib	10000	11260
7713	Contrib	20000	11261
8282	Contrib	5000	11262
8252	Contrib	5000	11263
8253	Contrib	3000	11264
8273	Contrib	3000	11265
10258	Contrib	20000	11266
10259	Contrib	20000	11266
11343	Contrib	20000	11266
10954	Contrib	20000	11267
10955	Contrib	20000	11267
10956	Contrib	20000	11268
10957	Contrib	20000	11268
11801	Contrib	5000	11826
11802	Contrib	20000	11827
11803	Contrib	5000	11828
11804	Contrib	20000	11829
11910	Contrib	20000	11915
