nTemplateId	nValueRate	szDesc
4296	100	松木
4297	100	桦木
4298	100	核桃木
4299	100	香樟木
4300	100	紫檀木
4301	100	麻布
4302	100	府绸
4303	100	素软缎
4304	100	宋锦
4305	100	织金锦
4306	100	生铁
4307	100	铜锭
4308	100	百炼钢
4309	100	银锭
4310	100	金锭
4311	100	玛瑙
4312	100	琉璃
4313	100	珍珠
4314	100	岫岩玉
4315	100	翡翠
4316	100	鹿皮
4317	100	羊皮
4318	100	貂皮
4319	100	虎皮
4320	100	熊皮
4321	100	青石
4322	100	花岗岩
4323	100	大理石
4324	100	雨花石
4325	100	天河石
7689	25	1阶铭文
7690	25	2阶铭文
7691	25	3阶铭文
7692	25	4阶铭文
7693	25	5阶铭文
1234	50	玫瑰花
1235	50	幸运草
6149	50	任脉·曲骨通穴秘卷
6150	50	督脉·长强通穴秘卷
6276	50	冲脉·幽门通穴秘卷
6277	50	阳跷脉·睛明通穴秘卷
2840	50	夜明珠
3714	100	洗髓经（上卷）
3715	100	洗髓经（中卷）
3716	100	洗髓经（下卷）
7912	100	易骨经·卷一
7913	100	易骨经·卷二
