nId	nMapId	Desc	szName	nPosType	nWaiYiId	nIconId	nQuality
1	4003	4级家园1楼-红木地板		1	1	6825	5
1	4004	5级家园1楼-红木地板		1	1	6825	5
1	4005	6级家园1楼-红木地板		1	1	6825	5
1	4008	7级家园1楼-红木地板		1	1	6825	5
2	4003	4级家园1楼-青石地板		1	2	7074	3
2	4004	5级家园1楼-青石地板		1	2	7074	3
2	4005	6级家园1楼-青石地板		1	2	7074	3
2	4008	7级家园1楼-青石地板		1	2	7074	3
3	4003	4级家园1楼-瓷砖地板		1	3	7075	3
3	4004	5级家园1楼-瓷砖地板		1	3	7075	3
3	4005	6级家园1楼-瓷砖地板		1	3	7075	3
3	4008	7级家园1楼-瓷砖地板		1	3	7075	3
4	4000	1级家园1楼-橡木地板		1	4	7076	4
4	4001	2级家园1楼-橡木地板		1	4	7076	4
4	4002	3级家园1楼-橡木地板		1	4	7076	4
4	4003	4级家园1楼-橡木地板		1	4	7076	4
4	4004	5级家园1楼-橡木地板		1	4	7076	4
4	4005	6级家园1楼-橡木地板		1	4	7076	4
4	4008	7级家园1楼-橡木地板		1	4	7076	4
1000	4003	4级家园1楼-寿纹鎏金墙壁		2	1	6826	5
1000	4004	5级家园1楼-寿纹鎏金墙壁		2	1	6826	5
1000	4005	6级家园1楼-寿纹鎏金墙壁		2	1	6826	5
1000	4008	7级家园1楼-寿纹鎏金墙壁		2	1	6826	5
1001	4003	4级家园1楼-墙2		2	2	7077	4
1001	4004	5级家园1楼-墙2		2	2	7077	4
1001	4005	6级家园1楼-墙2		2	2	7077	4
1001	4008	7级家园1楼-墙2		2	2	7077	4
1002	4000	1级家园1楼-墙3		2	3	7078	3
1002	4001	2级家园1楼-墙3		2	3	7078	3
1002	4002	3级家园1楼-墙3		2	3	7078	3
1002	4003	4级家园1楼-墙3		2	3	7078	3
1002	4004	5级家园1楼-墙3		2	3	7078	3
1002	4005	6级家园1楼-墙3		2	3	7078	3
1002	4008	7级家园1楼-墙3		2	3	7078	3
1003	4000	1级家园1楼-墙4		2	4	7079	3
1003	4001	2级家园1楼-墙4		2	4	7079	3
1003	4002	3级家园1楼-墙4		2	4	7079	3
1003	4003	4级家园1楼-墙4		2	4	7079	3
1003	4004	5级家园1楼-墙4		2	4	7079	3
1003	4005	6级家园1楼-墙4		2	4	7079	3
1003	4008	7级家园1楼-墙4		2	4	7079	3
2000	4008	7级家园2楼-红木地板		3	1	6825	5
2001	4008	7级家园2楼-青石地板		3	2	7074	3
3000	4008	7级家园2楼-墙1		4	1	7082	5
